language,key,category,lvSource,current,detail
lt,card.sessionLabel,NEEDS_OWNER_REVIEW,Sesija,Sesija,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lt,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lt,kurss.sections.grammar,NEEDS_OWNER_REVIEW,Gramatika,Gramatika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
lt,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
pl,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
et,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
et,tools.problemShort,NEEDS_OWNER_REVIEW,Probl.,Probl.,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.1.title,NEEDS_OWNER_REVIEW,Lekcija 1,Lekcija 1,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.10.title,NEEDS_OWNER_REVIEW,Lekcija 10,Lekcija 10,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.11.title,NEEDS_OWNER_REVIEW,Lekcija 11,Lekcija 11,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.12.title,NEEDS_OWNER_REVIEW,Lekcija 12,Lekcija 12,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.13.title,NEEDS_OWNER_REVIEW,Lekcija 13,Lekcija 13,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.14.title,NEEDS_OWNER_REVIEW,Lekcija 14,Lekcija 14,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.15.title,NEEDS_OWNER_REVIEW,Lekcija 15,Lekcija 15,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.16.title,NEEDS_OWNER_REVIEW,Lekcija 16,Lekcija 16,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.17.title,NEEDS_OWNER_REVIEW,Lekcija 17,Lekcija 17,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.18.title,NEEDS_OWNER_REVIEW,Lekcija 18,Lekcija 18,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.19.title,NEEDS_OWNER_REVIEW,Lekcija 19,Lekcija 19,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.2.title,NEEDS_OWNER_REVIEW,Lekcija 2,Lekcija 2,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.20.title,NEEDS_OWNER_REVIEW,Lekcija 20,Lekcija 20,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.21.title,NEEDS_OWNER_REVIEW,Lekcija 21,Lekcija 21,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.3.title,NEEDS_OWNER_REVIEW,Lekcija 3,Lekcija 3,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.4.title,NEEDS_OWNER_REVIEW,Lekcija 4,Lekcija 4,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.5.title,NEEDS_OWNER_REVIEW,Lekcija 5,Lekcija 5,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.6.title,NEEDS_OWNER_REVIEW,Lekcija 6,Lekcija 6,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.7.title,NEEDS_OWNER_REVIEW,Lekcija 7,Lekcija 7,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.8.title,NEEDS_OWNER_REVIEW,Lekcija 8,Lekcija 8,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
sl,kurss.lessonItems.9.title,NEEDS_OWNER_REVIEW,Lekcija 9,Lekcija 9,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,card.sessionLabel,NEEDS_OWNER_REVIEW,Sesija,Sesija,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,extra.statistics,NEEDS_OWNER_REVIEW,Statistika,Statistika,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.1.title,NEEDS_OWNER_REVIEW,Lekcija 1,Lekcija 1,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.10.title,NEEDS_OWNER_REVIEW,Lekcija 10,Lekcija 10,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.11.title,NEEDS_OWNER_REVIEW,Lekcija 11,Lekcija 11,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.12.title,NEEDS_OWNER_REVIEW,Lekcija 12,Lekcija 12,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.13.title,NEEDS_OWNER_REVIEW,Lekcija 13,Lekcija 13,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.14.title,NEEDS_OWNER_REVIEW,Lekcija 14,Lekcija 14,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.15.title,NEEDS_OWNER_REVIEW,Lekcija 15,Lekcija 15,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.16.menuDesc,NEEDS_OWNER_REVIEW,"Dativs, geben, sich nähern.","Dativs, geben, sich nähern.",Jaukts LV + DE mācību apraksts — nepieciešams OWNER vērtējums
bs,kurss.lessonItems.16.title,NEEDS_OWNER_REVIEW,Lekcija 16,Lekcija 16,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
bs,kurss.lessonItems.17.title,NEEDS_OWNER_REVIEW,Lekcija 17,Lekcija 17,"Kognāts vai saīsinājums — iespējams pareizs mērķvalodā, bet identisks LV avotam"
