source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,provenance_type
"BATCH-113","3896c43f6af7694b","3896c43f6af7694b422f7dca8d999f6b9579ea0b27b9224cb058b94a96979671","DISC-G2-A1-NN-L0007","g2/a1/nn|Kraftwagen|idx:343|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Kraftwagen|idx:343","lv","automašīna","Kraftwagen","","Bil","Bil","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN Kraftwagen/lv: «Bil» is idiomatic Nynorsk for car/automašīna.","INDIVIDUAL_LINGUISTIC"
"BATCH-113","6610313298a8ef41","6610313298a8ef418f0fd5957d41cdfb2e84b983cda4ebd56f8b1f45bef36367","DISC-G2-A1-NN-L0013","g2/a1/nn|Lampe|idx:350|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Lampe|idx:350","lv","lampa","Lampe","","Lampe","Lampe","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN Lampe/lv: «Lampe» is valid Nynorsk for lamp/lampa; spelling matches target language.","INDIVIDUAL_LINGUISTIC"
"BATCH-113","3d812913da381317","3d812913da38131743d4cabb8ffdae7466760be8a35b296b2087995d7659593e","DISC-G2-A1-NN-L0023","g2/a1/nn|leider|idx:367|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","leider|idx:367","lv","diemžēl","leider","","Dessverre","Dessverre","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN leider/lv: «Dessverre» correctly translates unfortunately/diemžēl.","INDIVIDUAL_LINGUISTIC"
"BATCH-112","00b3e10827a1751b","00b3e10827a1751b3501fb711d88c58ff867e963821f0251d055357bb7db057d","DISC-G2-A1-NN-L0016","g2/a1/nn|Mai|idx:389|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Mai|idx:389","lv","maijs","Mai","","Mai","Mai","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN Mai/lv: «Mai» matches Nynorsk month name for maijs.","INDIVIDUAL_LINGUISTIC"
"BATCH-116","f589c5e004771e4f","f589c5e004771e4fcc66b26fefadb2447d8d7eb174b737f2fd9de122ae95be64","DISC-G2-A1-NN-L0019","g2/a1/nn|Mandarine|idx:393|lv|WRONG_LANGUAGE|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Mandarine|idx:393","lv","mandarīns","Mandarine","","Mandarin","Mandarin","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN Mandarine/lv: «Mandarin» is correct Nynorsk for mandarin/mandarīns.","INDIVIDUAL_LINGUISTIC"
"BATCH-174","e711eaf952a26cd5","e711eaf952a26cd5e0d39ea97db05ee9510705d5c1376b4324b927736902901e","DISC-G2-A1-NN-L0021","g2/a1/nn|März|idx:396|lv|TRANSLATION_ERROR|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","März|idx:396","lv","marts","März","","Mars","Mars","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","mars","NN März/lv: production «Mars» confuses month March/marts with planet Mars; LABOT to lowercase Nynorsk month «mars».","INDIVIDUAL_LINGUISTIC"
"BATCH-174","e52dcde6e73878a5","e52dcde6e73878a584c1d4e179b6a3f4b93a8e59865d2fd94eac44777f12ecdc","DISC-G2-A1-NN-L0018","g2/a1/nn|Musik|idx:422|lv|MISTRANSLATION|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Musik|idx:422","lv","mūzika","Musik","","Musikk","Musikk","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN Musik/lv: «Musikk» is standard Nynorsk for music/mūzika.","INDIVIDUAL_LINGUISTIC"
"BATCH-113","4498825c022dde80","4498825c022dde80d20bab052fdd1aaef3ee934f2c88988334e3ab65bc7a7952","DISC-G2-A1-NN-L0015","g2/a1/nn|nie|idx:449|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","nie|idx:449","lv","nekad","nie","","Aldri","Aldri","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN nie/lv: «Aldri» correctly translates never/nekad.","INDIVIDUAL_LINGUISTIC"
"BATCH-113","47c7312357ae3b86","47c7312357ae3b8645200155cbf49883bc62f7290f926970d7ed806e3ae0f434","DISC-G2-A1-NN-L0018","g2/a1/nn|November|idx:453|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","November|idx:453","lv","novembris","November","","November","November","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN November/lv: «November» matches Nynorsk month name for novembris.","INDIVIDUAL_LINGUISTIC"
"BATCH-112","1214463285c73dfa","1214463285c73dfae11f634529bab805ae297b6c4328966cc8234b2b3c69204c","DISC-G2-A1-NN-L0019","g2/a1/nn|Null|idx:454|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","Null|idx:454","lv","nulle","Null","","Null","Null","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN Null/lv: «Null» is valid Nynorsk for zero/nulle.","INDIVIDUAL_LINGUISTIC"
"BATCH-116","ff171eeb0419668f","ff171eeb0419668fe0af7e9bee0e116e8c215f8a2ade88b52a328111d5551623","DISC-G2-A1-NN-L0023","g2/a1/nn|oft|idx:461|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","nn","","crowdin-staging/g2/nn-a1.json","oft|idx:461","lv","bieži","oft","","Ofte","Ofte","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NN oft/lv: «Ofte» correctly translates often/bieži.","INDIVIDUAL_LINGUISTIC"
