source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category
"BATCH-099","9fd528ba5ea25e20","9fd528ba5ea25e20388656cf883e9eef362db8755292c916bdc7c08cdf79810e","DISC-G2-A1-IS-L0003","g2/a1/is|Wasser|idx:2|lv|WRONG_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Wasser|idx:2","lv","ūdens","Wasser","","Vesi","Vesi","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «Wasser» / LV «ūdens» laukā «lv»: current «Vesi» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-099","abe552eec4022992","abe552eec402299225b1775cd269d59b982bb443acaecbb8fd5e73e9e124645a","DISC-G2-A1-IS-L0001","g2/a1/is|sprechen|idx:5|lv and study|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","sprechen|idx:5","lv and study","runāt","sprechen","","{""lv"":""Pratsom"",""study.translation"":""Pratsom"",""study.explanation"":""[\""Põhiidee: Käläma, vestlema või keeltämä.\"",\""The sprechen gejättättättä: å snakke või vestlema.\"",\""Sagelie descriptab: kjelt/vestlust.\"",\""Sprechen descriptab rääkimist või keele käustät.\""]"",""study.examples"":""[{\""de\"":\""Ich spreche Deutsch.\"",\""lv\"":\""Jeg snakker saxa keelt.\""},{\""de\"":\""Wir sprechen über die Arbeit.\"",\""lv\"":\""Me søleme töost.\""},{\""de\"":\""Sie spricht mit ihrer Lehrerin.\"",\""lv\"":\""Jeg snakker saxa keelt.\""}]"",""study.comparison"":""[{\""word\"":\""sprechen\"",\""meaning\"":\""Språk (protsess, kjøl)\"",\""example\"":\""Wir sprechen über die Arbeit. – Me søleme töost.\""},{\""word\"":\""sagen\"",\""meaning\"":\""Ütlema (konkret tekst)\"",\""example\"":\""Sag mir die Wahrheit. – Ütle multe raskt.\""}]"",""study.tip"":""[\""sprechen = tala\"",\""Notaðu sprechen þegar samhengið passar við þessa merkingu.\""]"",""study.important"":""[\""sprechen = tala.\"",\""Tala, ræða eða nota tungumál.\""]""}","{""lv"":""Pratsom"",""study.translation"":""Pratsom"",""study.explanation"":""[\""Põhiidee: Käläma, vestlema või keeltämä.\"",\""The sprechen gejättättättä: å snakke või vestlema.\"",\""Sagelie descriptab: kjelt/vestlust.\"",\""Sprechen descriptab rääkimist või keele käustät.\""]"",""study.examples"":""[{\""de\"":\""Ich spreche Deutsch.\"",\""lv\"":\""Jeg snakker saxa keelt.\""},{\""de\"":\""Wir sprechen über die Arbeit.\"",\""lv\"":\""Me søleme töost.\""},{\""de\"":\""Sie spricht mit ihrer Lehrerin.\"",\""lv\"":\""Jeg snakker saxa keelt.\""}]"",""study.comparison"":""[{\""word\"":\""sprechen\"",\""meaning\"":\""Språk (protsess, kjøl)\"",\""example\"":\""Wir sprechen über die Arbeit. – Me søleme töost.\""},{\""word\"":\""sagen\"",\""meaning\"":\""Ütlema (konkret tekst)\"",\""example\"":\""Sag mir die Wahrheit. – Ütle multe raskt.\""}]"",""study.tip"":""[\""sprechen = tala\"",\""Notaðu sprechen þegar samhengið passar við þessa merkingu.\""]"",""study.important"":""[\""sprechen = tala.\"",\""Tala, ræða eða nota tungumál.\""]""}","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","Individuāli pārbaudīts «sprechen» / LV «runāt»: «lv and study» apvieno vairākus laukus, current sākas ar «{""lv"":""Pratsom"",""study.translation"":""Pratsom"",""study.explanation"":""[\""Põhiidee: Käläma, vestlema või keeltämä.\"",\""The …». Pirms lēmuma OWNER jāizdala konkrētais labojamais apakšlauks un katram jānosaka precīzs mērķvalodas teksts.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER"
"BATCH-098","785d11e96ba695e5","785d11e96ba695e59192c6036cf64bc9016f3c9549b3fc00979b0f74426cb3f4","DISC-G2-A1-IS-L0007","g2/a1/is|Schwimmbad|idx:66|lv|WRONG_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Schwimmbad|idx:66","lv","peldbaseins","Schwimmbad","","Ujumis basseng","Ujumis basseng","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «Schwimmbad» / LV «peldbaseins» laukā «lv»: current «Ujumis basseng» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-097","29ac9e4c5a60c3a5","29ac9e4c5a60c3a5d06f71a55d7c6e4b30f59302223739b9bd2aadeecf5cf5d4","DISC-G2-A1-IS-L0008","g2/a1/is|Sauna|idx:67|lv|WRONG_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Sauna|idx:67","lv","sauna","Sauna","","Badstue","Badstue","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «Sauna» / LV «sauna» laukā «lv»: current «Badstue» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-164","380a8238a4fa3acd","380a8238a4fa3acd0b0122d7cfdb9ad7ede2d93f338712b2ddd087b3dab03a15","DISC-G2-A1-IS-L0025","g2/a1/is|Wochenende|idx:181|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Wochenende|idx:181","lv","nedēļas nogale","Wochenende","","Bytte av nål","Bytte av nål","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «Wochenende» / LV «nedēļas nogale» laukā «lv»: current «Bytte av nål» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","SEMANTIC_MEANING_REVIEW_REQUIRED"
"BATCH-098","7431fd390ce1cb74","7431fd390ce1cb74c91154fd602cc7f5b4d09e570b27c9ba77587a43b2f2f2d4","DISC-G2-A1-IS-L0005","g2/a1/is|wissen|idx:311|lv, study|WRONG_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","wissen|idx:311","lv, study","zināt","wissen","","{""lv"":""Teadma"",""study.translation"":""Teadma"",""study.explanation"":""[\""Põhiidee: Teada fakti, verskust või utsätä.\"",\""Wissen geschäfte sichte: teave/fakt.\"",\""Sagelie speltstab: sägelseiid, sätsät.\"",\""Wissen brukes når du kjenner fakta, svar eller informasjon.\""]"",""study.examples"":""[{\""de\"":\""Ich weiß, wo er wohnt.\"",\""lv\"":\""Mor tean, for ta elab.\""},{\""de\"":\""Woher wissen Sie das?\"",\""lv\"":\""Kan du se tete?\""},{\""de\"":\""Ich weiß die Antwort.\"",\""lv\"":\""Jeg vet svaret.\""}]"",""study.comparison"":""[{\""word\"":\""wissen\"",\""meaning\"":\""Teadma (fakta, informasjon)\"",\""example\"":\""Ich weiß, wo er wohnt. – Mor tean, for ta elab.\""},{\""word\"":\""kennen\"",\""meaning\"":\""Tundma (inimest, kohta, asja)\"",\""example\"":\""Ich kenne die Stadt. – Ma tun linna.\""}]"",""study.tip"":""[\""wissen = vita\"",\""Notaðu wissen þegar samhengið passar við þessa merkingu.\""]"",""study.important"":""[\""wissen = vita staðreyndir.\"",\""wissen = vita.\"",\""Vita staðreyndir, svör eða upplýsingar.\""]""}","{""lv"":""Teadma"",""study.translation"":""Teadma"",""study.explanation"":""[\""Põhiidee: Teada fakti, verskust või utsätä.\"",\""Wissen geschäfte sichte: teave/fakt.\"",\""Sagelie speltstab: sägelseiid, sätsät.\"",\""Wissen brukes når du kjenner fakta, svar eller informasjon.\""]"",""study.examples"":""[{\""de\"":\""Ich weiß, wo er wohnt.\"",\""lv\"":\""Mor tean, for ta elab.\""},{\""de\"":\""Woher wissen Sie das?\"",\""lv\"":\""Kan du se tete?\""},{\""de\"":\""Ich weiß die Antwort.\"",\""lv\"":\""Jeg vet svaret.\""}]"",""study.comparison"":""[{\""word\"":\""wissen\"",\""meaning\"":\""Teadma (fakta, informasjon)\"",\""example\"":\""Ich weiß, wo er wohnt. – Mor tean, for ta elab.\""},{\""word\"":\""kennen\"",\""meaning\"":\""Tundma (inimest, kohta, asja)\"",\""example\"":\""Ich kenne die Stadt. – Ma tun linna.\""}]"",""study.tip"":""[\""wissen = vita\"",\""Notaðu wissen þegar samhengið passar við þessa merkingu.\""]"",""study.important"":""[\""wissen = vita staðreyndir.\"",\""wissen = vita.\"",\""Vita staðreyndir, svör eða upplýsingar.\""]""}","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","Individuāli pārbaudīts «wissen» / LV «zināt»: «lv, study» apvieno vairākus laukus, current sākas ar «{""lv"":""Teadma"",""study.translation"":""Teadma"",""study.explanation"":""[\""Põhiidee: Teada fakti, verskust või utsätä.\"",\""Wis…». Pirms lēmuma OWNER jāizdala konkrētais labojamais apakšlauks un katram jānosaka precīzs mērķvalodas teksts.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER"
"BATCH-100","cef90d8cb75bc808","cef90d8cb75bc808e77ba40c68393caefa28f8b3a58973342e7bcbfecf0ac4cb","DISC-G2-A1-IS-L0016","g2/a1/is|zwölfte|idx:686|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","zwölfte|idx:686","lv","divpadsmitais","zwölfte","","Kahetíšík sin","Kahetíšík sin","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «zwölfte» / LV «divpadsmitais» laukā «lv»: current «Kahetíšík sin» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-165","c32eab845e935ff6","c32eab845e935ff69aa492626b496ca4737532cf9327ebd29e7248dc7344f117","DISC-G2-A1-IS-L0005","g2/a1/is|Urlaub|idx:695|lv; study.translation; study.explanation; study.examples[].lv|TRANSLATION_ERROR|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Urlaub|idx:695","lv; study.translation; study.explanation; study.examples[].lv","atvaļinājums","Urlaub","","{""lv"":""Puhkus"",""study.translation"":""Puhkus"",""study.explanation"":""[\""Hovedidé: bare ainsus. Puhkus töolt — alati ainsuses.\"",\""Der Urlaub geichnätt geicht: vaba aeg töölt.\"",\""Sageli occertab: sagi ainsus.\"",\""Der Urlaub på bare ainsuses - puhkus töölt (im Urlaub).\""]"",""study.examples[].lv"":null}","{""lv"":""Puhkus"",""study.translation"":""Puhkus"",""study.explanation"":""[\""Hovedidé: bare ainsus. Puhkus töolt — alati ainsuses.\"",\""Der Urlaub geichnätt geicht: vaba aeg töölt.\"",\""Sageli occertab: sagi ainsus.\"",\""Der Urlaub på bare ainsuses - puhkus töölt (im Urlaub).\""]"",""study.examples[].lv"":null}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","CRITICAL","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","Individuāli pārbaudīts «Urlaub» / LV «atvaļinājums»: norādītais mērķis «lv; study.translation; study.explanation; study.examples[].lv» production datos neeksistē un current ir «{""lv"":""Puhkus"",""study.translation"":""Puhkus"",""study.explanation"":""[\""Hovedidé: bare ainsus. Puhkus töolt — alati ainsuse…». OWNER jānorāda reāls lauks vai jāapstiprina, ka šim finding nav piemērojama lauka līmeņa darbība.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-163","07769f989d21fa5a","07769f989d21fa5a14037d27a0cbbf5c9fa1e02f44d7131d4b472440b1bfebfb","DISC-G2-A1-IS-L0017","g2/a1/is|Stadt|idx:696|lv|MEANING_ERROR|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Stadt|idx:696","lv","pilsēta","Stadt","","Sengetøy","Sengetøy","PASS","","MEANING_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «Stadt» / LV «pilsēta» laukā «lv»: current «Sengetøy» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","SEMANTIC_MEANING_REVIEW_REQUIRED"
"BATCH-098","753c439a372a331f","753c439a372a331f489a0a4b6a518c34422094b3ee6e2ef747f6540fa5dda2f5","DISC-G2-A1-IS-L0018","g2/a1/is|Staat|idx:697|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Staat|idx:697","lv","valsts","Staat","","Riik","Riik","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","Individuāli pārbaudīts islandiešu ieraksts «Staat» / LV «valsts» laukā «lv»: current «Riik» nedod droši apstiprināmu islandiešu ekvivalentu. Nepieciešams islandiešu OWNER apstiprināts lemmas vai teikuma teksts.","TARGET_LANGUAGE_REWRITE_REQUIRED"
