sample_id,sample_type,review_track,language,audit_id,finding_stable_id,card_object_id,field_path,flat_key,lv_source_value,de_reference_value,crowdin_target_value,luna_category,luna_severity,luna_reason,canonical_review_bucket,audit_status,audit_rationale,linked_to_staging
FLAG-bg-wrong_or_mixed-DISC-G2-A1-BG-L0014,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0014,g2/a1/bg|nichts|idx:448|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna,nichts|idx:448,lv,a1.card.nichts.native,nekas,nichts,Нищо,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-bg-wrong_or_mixed-DISC-G2-A1-BG-L0016,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0016,g2/a1/bg|Haar|idx:260|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,Haar|idx:260,lv,a1.card.haar.native,mats,Haar,Коса,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-bg-semantic-DISC-G2-A1-BG-L0005,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0005,g2/a1/bg|Sekunde|idx:545|lv|MISTRANSLATION|gpt-5.6-luna,Sekunde|idx:545,lv,a1.card.sekunde.native,sekunde,Sekunde,Второ,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-bg-semantic-DISC-G2-A1-BG-L0023,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0023,g2/a1/bg|Augenblick|idx:55|lv|TRANSLATION_ERROR|gpt-5.6-luna,Augenblick|idx:55,lv,a1.card.augenblick.native,acumirklis,Augenblick,Моментално,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-bg-multi-G2A1P3-BG-0055,FLAGGED,TARGET_LANGUAGE,bg,G2A1P3-BG-0055,g2/a1/bg|a1-halten|a1.card.a1-halten.native|MULTI_TRANSLATION|deterministic/multi-translation,a1-halten,a1.card.a1-halten.native,a1.card.a1-halten.native,turēt,halten,Задръж • Спри,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,LIKELY_REAL_ERROR,Multiple meanings in primary native translation field (• delimiter) likely violates one-card-one-meaning convention.,true
FLAG-bg-missing-DISC-G2-A1-BG-L0005,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0005,g2/a1/bg|etwas|idx:169|study.important|INCOMPLETE_TEXT|gpt-5.6-luna,etwas|idx:169,study.important,a1.card.a1-etwas.study.important[0],Pie īpašības vārdiem etwas bieži nozīmē nedaudz.,Pie īpašības vārdiem etwas bieži nozīmē nedaudz.,"Etwas не е същото като nichts: etwas означава нещо, но nichts не означава нищо.",,MEDIUM,study.important,MISSING_OR_UNTRANSLATED,FALSE_POSITIVE,Finding claims missing/untranslated but staging contains a non-empty target value.,true
FLAG-bg-grammar_ortho-DISC-G2-A1-BG-L0004,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0004,g2/a1/bg|fragen|idx:197|lv|GRAMMAR|gpt-5.6-luna,fragen|idx:197,lv,a1.card.fragen.native,jautāt,fragen,Попитайте,,HIGH,lv,GRAMMAR_MORPHOLOGY_OR_FORM,LIKELY_REAL_ERROR,Grammar/orthography bucket (GRAMMAR_MORPHOLOGY_OR_FORM) with non-empty divergent target; likely needs human review.,true
FLAG-bg-other-DISC-G2-A1-BG-L0004,FLAGGED,TARGET_LANGUAGE,bg,DISC-G2-A1-BG-L0004,g2/a1/bg|jetzt|idx:302|lv|DUPLICATION|gpt-5.6-luna,jetzt|idx:302,lv,a1.card.jetzt.native,tagad • pašlaik,jetzt,Сега • Сега,,LOW,lv,DUPLICATION,LIKELY_REAL_ERROR,Other bucket (DUPLICATION) flagged with resolvable staging context.,true
FLAG-bs-wrong_or_mixed-DISC-G2-A1-BS-L0023,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0023,g2/a1/bs|dreizehn|idx:147|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,dreizehn|idx:147,lv,a1.card.dreizehn.native,trīspadsmit,dreizehn,trinaest,,CRITICAL,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-bs-wrong_or_mixed-DISC-G2-A1-BS-L0025,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0025,g2/a1/bs|anziehen|idx:30|lv|LANGUAGE_MISMATCH|gpt-5.6-luna,anziehen|idx:30,lv,a1.card.anziehen.native,uzvilkt,anziehen,obući,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-bs-semantic-DISC-G2-A1-BS-L0004,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0004,g2/a1/bs|Land|idx:351|lv|MISTRANSLATION|gpt-5.6-luna,Land|idx:351,lv,a1.card.a1-land.native,valsts • zeme,Land,zemlja,,HIGH,lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-bs-semantic-DISC-G2-A1-BS-L0003,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0003,g2/a1/bs|um|idx:611|study.examples[1].lv|SEMANTIC_MISMATCH|gpt-5.6-luna,um|idx:611,study.examples[1].lv,a1.card.a1-um.study.examples[1].native,mēs sēžam ap galdu.,mēs sēžam ap galdu.,Sedimo za stolom.,,MEDIUM,study.examples[1].lv,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-bs-multi-G2A1P3-BS-0041,FLAGGED,TARGET_LANGUAGE,bs,G2A1P3-BS-0041,g2/a1/bs|a1-was|a1.card.a1-was.study.tip[0]|MULTI_TRANSLATION|deterministic/multi-translation,a1-was,a1.card.a1-was.study.tip[0],a1.card.a1-was.study.tip[0],was pats nemainās — vācu valodā tas vienmēr ir was; latviski izvēlies kas vai ko pēc teikuma daļas.,was pats nemainās — vācu valodā tas vienmēr ir was; latviski izvēlies kas vai ko pēc teikuma daļas.,Samo was se ne mijenja — u njemačkom je to uvijek was • Na bosanskom biraj ko ili koga prema dijelu rečenice.,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-bs-missing-DISC-G2-A1-BS-L0001,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0001,g2/a1/bs|Butterbrot|idx:112|lv|UNDERTRANSLATION|gpt-5.6-luna,Butterbrot|idx:112,lv,a1.card.butterbrot.native,sviestmaize,Butterbrot,sendvič,,MEDIUM,lv,MISSING_OR_UNTRANSLATED,FALSE_POSITIVE,Finding claims missing/untranslated but staging contains a non-empty target value.,true
FLAG-bs-grammar_ortho-DISC-G2-A1-BS-L0001,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0001,g2/a1/bs|ein|idx:154|study.comparison[2].example|TYPO|gpt-5.6-luna,ein|idx:154,study.comparison[2].example,a1.card.a1-ein.study.comparison[2].example,Ich habe ein Buch.,Ich habe ein Buch.,Ja imam jednu knjagu.,,LOW,study.comparison[2].example,ORTHOGRAPHY_SPELLING_OR_DIACRITICS,LIKELY_REAL_ERROR,Grammar/orthography bucket (ORTHOGRAPHY_SPELLING_OR_DIACRITICS) with non-empty divergent target; likely needs human review.,true
FLAG-bs-other-DISC-G2-A1-BS-L0012,FLAGGED,TARGET_LANGUAGE,bs,DISC-G2-A1-BS-L0012,g2/a1/bs|Möhre|idx:414|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,Möhre|idx:414,lv,a1.card.moehre.native,burkāns,Möhre,mrkva,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-cs-wrong_or_mixed-DISC-G2-A1-CS-L0003,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0003,g2/a1/cs|schön|idx:522|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,schön|idx:522,lv,a1.card.schoen.native,skaists,schön,Krásný,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-cs-wrong_or_mixed-DISC-G2-A1-CS-L0015,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0015,g2/a1/cs|Huhn|idx:326|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,Huhn|idx:326,lv,a1.card.huhn.native,vista,Huhn,Kuře,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-cs-semantic-DISC-G2-A1-CS-L0002,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0002,g2/a1/cs|mit|idx:408|lv; study.explanation; study.examples[].lv; study.comparison[].meaning; study.important|TRANSLATION_ERROR|gpt-5.6-luna,mit|idx:408,lv; study.explanation; study.examples[].lv; study.comparison[].meaning; study.important,a1.card.a1-mit.native,ar,mit,S,,HIGH,lv; study.explanation; study.examples[].lv; study.comparison[].meaning; study.important,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-cs-semantic-DISC-G2-A1-CS-L0005,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0005,g2/a1/cs|Morgen|idx:418|lv; study.explanation; study.examples[].lv; study.tip; study.important|TRANSLATION_ERROR|gpt-5.6-luna,Morgen|idx:418,lv; study.explanation; study.examples[].lv; study.tip; study.important,a1.card.a1-morgen-study.native,rīts,Morgen,Ráno,,HIGH,lv; study.explanation; study.examples[].lv; study.tip; study.important,SEMANTIC_OR_MEANING_ERROR,LIKELY_REAL_ERROR,"Target differs from both LV and DE references on linked field; semantic review warranted (sample-level, not definitive).",true
FLAG-cs-multi-G2A1P3-CS-0112,FLAGGED,TARGET_LANGUAGE,cs,G2A1P3-CS-0112,g2/a1/cs|a1-machen|a1.card.a1-machen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation,a1-machen,a1.card.a1-machen.study.translation,a1.card.a1-machen.study.translation,darīt • taisīt,darīt • taisīt,Dělat • Vyrábět,,MEDIUM,Multiple translation candidates separated by •,MULTI_TRANSLATION_REVIEW_REQUIRED,FALSE_POSITIVE,• delimiter appears inside Study sub-structure where multiple elements may be intentional.,true
FLAG-cs-missing-DISC-G2-A1-CS-L0014,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0014,g2/a1/cs|sechste|idx:534|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,sechste|idx:534,lv,a1.card.sechste.native,sestais,sechste,Šestý,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-cs-grammar_ortho-DISC-G2-A1-CS-L0021,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0021,g2/a1/cs|jemand|idx:301|lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna,jemand|idx:301,lv,a1.card.jemand.native,kāds,jemand,Někdo,,CRITICAL,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-cs-other-DISC-G2-A1-CS-L0013,FLAGGED,TARGET_LANGUAGE,cs,DISC-G2-A1-CS-L0013,g2/a1/cs|Bauch|idx:73|lv|WRONG_LANGUAGE|gpt-5.6-luna,Bauch|idx:73,lv,a1.card.bauch.native,vēders,Bauch,Břicho,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-da-wrong_or_mixed-DISC-G2-A1-DA-L0006,FLAGGED,TARGET_LANGUAGE,da,DISC-G2-A1-DA-L0006,g2/a1/da|alle|idx:7|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,alle|idx:7,lv,a1.card.alle.native,visi,alle,Alle sammen,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
FLAG-da-wrong_or_mixed-DISC-G2-A1-DA-L0020,FLAGGED,TARGET_LANGUAGE,da,DISC-G2-A1-DA-L0020,g2/a1/da|vierzehnte|idx:629|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna,vierzehnte|idx:629,lv,a1.card.vierzehnte.native,četrpadsmitais,vierzehnte,Den fjortende,,HIGH,lv,WRONG_OR_MIXED_TARGET_LANGUAGE,LIKELY_REAL_ERROR,Target value differs from LV/DE references and is not an obvious shared international form; language-mix claim plausible.,true
