sequence,language,key,lvSource,current,newValue,ownerStatus,placeholderTokens,htmlTags,reason
1,lb,buttons.autoplayAriaOff,{label} (automātiski izslēgts),{label} (automātiski izslēgts),,PENDING,label,,REAL_UNTRANSLATED
2,lb,buttons.autoplayAriaOn,{label} (automātiski ieslēgts),{label} (automātiski ieslēgts),,PENDING,label,,REAL_UNTRANSLATED
3,lb,buttons.autoplayLabel,Automātiska izruna,Automātiska izruna,,PENDING,,,REAL_UNTRANSLATED
4,lb,buttons.autoplayOff,Automātiska izruna izslēgta,Automātiska izruna izslēgta,,PENDING,,,REAL_UNTRANSLATED
5,lb,buttons.autoplayOn,Automātiska izruna ieslēgta,Automātiska izruna ieslēgta,,PENDING,,,REAL_UNTRANSLATED
6,lb,buttons.cancel,Atcelt,Atcelt,,PENDING,,,REAL_UNTRANSLATED
7,lb,buttons.check,Pārbaudīt,Pārbaudīt,,PENDING,,,REAL_UNTRANSLATED
8,lb,buttons.chooseAnotherGroup,Izvēlēties citu grupu,Izvēlēties citu grupu,,PENDING,,,REAL_UNTRANSLATED
9,lb,buttons.close,Aizvērt,Aizvērt,,PENDING,,,REAL_UNTRANSLATED
10,lb,buttons.continue,Turpināt,Turpināt,,PENDING,,,REAL_UNTRANSLATED
11,lb,buttons.delete,Dzēst,Dzēst,,PENDING,,,REAL_UNTRANSLATED
12,lb,buttons.disableAutoplay,Izslēgt automātisko izrunu,Izslēgt automātisko izrunu,,PENDING,,,REAL_UNTRANSLATED
13,lb,buttons.enableAutoplay,Ieslēgt automātisko izrunu,Ieslēgt automātisko izrunu,,PENDING,,,REAL_UNTRANSLATED
14,lb,buttons.known,Zinu pareizi,Zinu pareizi,,PENDING,,,REAL_UNTRANSLATED
15,lb,buttons.knownWithCount,Zināmi ({count}),Zināmi ({count}),,PENDING,count,,REAL_UNTRANSLATED
16,lb,buttons.knownWords,Zināmi,Zināmi,,PENDING,,,REAL_UNTRANSLATED
17,lb,buttons.listen,Klausīties,Klausīties,,PENDING,,,REAL_UNTRANSLATED
18,lb,buttons.listenPlural,Klausīties daudzskaitli,Klausīties daudzskaitli,,PENDING,,,REAL_UNTRANSLATED
19,lb,buttons.listenWithWord,Klausīties: {word},Klausīties: {word},,PENDING,word,,REAL_UNTRANSLATED
20,lb,buttons.markMastered,100% zinu,100% zinu,,PENDING,,,REAL_UNTRANSLATED
21,lb,buttons.markSessionLearned,🏅 Atzīmēt sesiju kā iemācītu,🏅 Atzīmēt sesiju kā iemācītu,,PENDING,,,REAL_UNTRANSLATED
22,lb,buttons.markUnwanted,Atzīmēt kā nevajadzīgu,Atzīmēt kā nevajadzīgu,,PENDING,,,REAL_UNTRANSLATED
23,lb,buttons.masteredWords,100% zināmi,100% zināmi,,PENDING,,,REAL_UNTRANSLATED
