sequence,key,current,newValue,before_json,before_ui,after_json,after_ui,repo_status,crowdin_status,crowdin_verified,verification_status
1,buttons.autoplayAriaOff,{label} (automātiski izslēgts),{label} (automatesch ausgeschalt),{label} (automatesch ausgeschalt),{label} (automatesch ausgeschalt),{label} (automatesch ausgeschalt),{label} (automatesch ausgeschalt),already_applied,already_applied,YES,already_pass
2,buttons.autoplayAriaOn,{label} (automātiski ieslēgts),{label} (automatesch ageschalt),{label} (automatesch ageschalt),{label} (automatesch ageschalt),{label} (automatesch ageschalt),{label} (automatesch ageschalt),already_applied,already_applied,YES,already_pass
3,buttons.autoplayLabel,Automātiska izruna,Automatesch Aussprooch,Automatesch Aussprooch,Automatesch Aussprooch,Automatesch Aussprooch,Automatesch Aussprooch,already_applied,already_applied,YES,already_pass
4,buttons.autoplayOff,Automātiska izruna izslēgta,Automatesch Aussprooch ausgeschalt,Automatesch Aussprooch ausgeschalt,Automatesch Aussprooch ausgeschalt,Automatesch Aussprooch ausgeschalt,Automatesch Aussprooch ausgeschalt,already_applied,already_applied,YES,already_pass
5,buttons.autoplayOn,Automātiska izruna ieslēgta,Automatesch Aussprooch ageschalt,Automatesch Aussprooch ageschalt,Automatesch Aussprooch ageschalt,Automatesch Aussprooch ageschalt,Automatesch Aussprooch ageschalt,already_applied,already_applied,YES,already_pass
6,buttons.cancel,Atcelt,Ofbriechen,Ofbriechen,Ofbriechen,Ofbriechen,Ofbriechen,already_applied,already_applied,YES,already_pass
7,buttons.check,Pārbaudīt,Iwwerpréiwen,Iwwerpréiwen,Iwwerpréiwen,Iwwerpréiwen,Iwwerpréiwen,already_applied,already_applied,YES,already_pass
8,buttons.chooseAnotherGroup,Izvēlēties citu grupu,Eng aner Grupp auswielen,Eng aner Grupp auswielen,Eng aner Grupp auswielen,Eng aner Grupp auswielen,Eng aner Grupp auswielen,already_applied,already_applied,YES,already_pass
9,buttons.close,Aizvērt,Zoumaachen,Zoumaachen,Zoumaachen,Zoumaachen,Zoumaachen,already_applied,already_applied,YES,already_pass
10,buttons.continue,Turpināt,Weider,Weider,Weider,Weider,Weider,already_applied,already_applied,YES,already_pass
11,buttons.delete,Dzēst,Läschen,Läschen,Läschen,Läschen,Läschen,already_applied,already_applied,YES,already_pass
12,buttons.disableAutoplay,Izslēgt automātisko izrunu,Automatesch Aussprooch ausschalten,Automatesch Aussprooch ausschalten,Automatesch Aussprooch ausschalten,Automatesch Aussprooch ausschalten,Automatesch Aussprooch ausschalten,already_applied,already_applied,YES,already_pass
13,buttons.enableAutoplay,Ieslēgt automātisko izrunu,Automatesch Aussprooch aschalten,Automatesch Aussprooch aschalten,Automatesch Aussprooch aschalten,Automatesch Aussprooch aschalten,Automatesch Aussprooch aschalten,already_applied,already_applied,YES,already_pass
14,buttons.known,Zinu pareizi,Ech weess et,Ech weess et,Ech weess et,Ech weess et,Ech weess et,already_applied,already_applied,YES,already_pass
15,buttons.knownWithCount,Zināmi ({count}),Bekannt ({count}),Bekannt ({count}),Bekannt ({count}),Bekannt ({count}),Bekannt ({count}),already_applied,already_applied,YES,already_pass
16,buttons.knownWords,Zināmi,Bekannt,Bekannt,Bekannt,Bekannt,Bekannt,already_applied,already_applied,YES,already_pass
17,buttons.listen,Klausīties,Lauschteren,Lauschteren,Lauschteren,Lauschteren,Lauschteren,already_applied,already_applied,YES,already_pass
