review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"5056e218d25f6287","5056e218d25f6287ba3dd90d664406d568187c43d9fbd1963d4133a4a5e6d8f9","DISC-G2-A1-LB-L0021","g2/a1/lb|Punkt|idx:486|lv|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Punkt|idx:486","lv","punkts","Punkt","","Punkt","Punkt","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Punkt|idx:486 / lv: exact Luxembourgish wording for German 'Punkt' (Latvian 'punkts') is not established by the supplied evidence; production currently has 'Punkt' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"5620b22340fc43e5","5620b22340fc43e54295bc1392b256e107a00d6f92138298425bf9dd3ef7c34b","DISC-G2-A1-LB-L0004","g2/a1/lb|bringen|idx:111|lv, study|TRANSLATION_ERROR|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","bringen|idx:111","lv, study","atnest","bringen","","{""lv"":""Atnest • Aiznest"",""study.translation"":""Atnest • Aiznest"",""study.explanation"":""[\""Haaptiddi: Bréngt, dréit oder liwwert eppes un een.\"",\""CAA-BHUA CAA-BHUB CAA-BHUC CAA-BHUD CAA-BHUE CAA-BHUF CAA-BHUG CAA-BHUH CAA-BHUI CAA-BHUJ CAA-BHUK CAA-BHUL CAA-BHUM CAA-BHUN CAA-BHUO CAA-BHUP CAA-BHUQ CAA-BHUR CAA-BHUS CAA-BHUT CAA-BHUU CAA-BHUV CAA-BHUW CAA-BHUX CAA-BHUY CAA-BHUZ CAA-BHU0 CAA-BHU1 CAA-BHU2 CAA-BHU3 CAA-BHU4 CAA-BHU5 CAA-BHU6 CAA-BHU7 CAA-BHU8 CAA-BHU9\"",\""CAA-BHKA CAA-BHKB CAA-BHKC CAA-BHKD CAA-BHKE CAA-BHKF CAA-BHKG CAA-BHKH CAA-BHKI CAA-BHKJ CAA-BHKK CAA-BHKL CAA-BHKM CAA-BHKN CAA-BHKO CAA-BHKP CAA-BHKQ CAA-BHKR CAA-BHKS CAA-BHKT CAA-BHKU CAA-BHKV CAA-BHKW CAA-BHKX CAA-BHKY CAA-BHKZ CAA-BHK0 CAA-BHK1 CAA-BHK2 CAA-BHK3 CAA-BHK4 CAA-BHK5 CAA-BHK6 CAA-BHK7 CAA-BHK8 CAA-BHK9\"",\""Fëscherei heescht nofueren an ofhuelen oder huelen.\"",\""D'Iwwersetzung gëtt duerch de Kontext festgesat.\""]"",""study.examples"":""[{\""de\"":\""Ich bringe dir ein Buch.\"",\""lv\"":\""Atnes Mann, lūdzu, ūdeni.\""},{\""de\"":\""Ich bringe das Paket zur Post.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren wir nie! '\""},{\""de\"":\""Ich bringe die Kinder zur Schule.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren wir nie! '\""},{\""de\"":\""Ich nehme das Buch.\"",\""lv\"":\""Et ass grāmatu.\""}]"",""study.comparison"":""[{\""word\"":\""bringen\"",\""meaning\"":\""Atnest / aiznest / nogādāt\"",\""example\"":\""Ich bringe dir ein Buch. – Bring mir Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""CAA -\"",\""example\"":\""Ich bringe das Paket zur Post. – Ich nehme das Buch.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Aiziet pakaệ / atnest\"",\""example\"":\""Ich bringe die Kinder zur Schule. – Ich hole Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Nimm mit Dir und nimm mit Dir\"",\""example\"":\""Ich bringe dir ein Buch. – Bringst du Brot mit?\""},{\""word\"":\""nehmen\"",\""meaning\"":\""huelen\"",\""example\"":\""Ich nehme das Buch. – Ech hunn d'Bréck.\""}]"",""study.tip"":""{\""text\"":\""Atceries: pārvieto pie kāda → bringen; paņem sev → nehmen.\""}"",""study.important"":""[\""bringen rāda virzienu pie kāda vai uz kādu vietu.\"",\""nehmen nozīmē paņemt, bet ne obligāti nogādāt citam.\"",\""De letteschen Iwwersetzung hänkt vum Kontext of.\""]""}","{""lv"":""Atnest • Aiznest"",""study.translation"":""Atnest • Aiznest"",""study.explanation"":""[\""Haaptiddi: Bréngt, dréit oder liwwert eppes un een.\"",\""CAA-BHUA CAA-BHUB CAA-BHUC CAA-BHUD CAA-BHUE CAA-BHUF CAA-BHUG CAA-BHUH CAA-BHUI CAA-BHUJ CAA-BHUK CAA-BHUL CAA-BHUM CAA-BHUN CAA-BHUO CAA-BHUP CAA-BHUQ CAA-BHUR CAA-BHUS CAA-BHUT CAA-BHUU CAA-BHUV CAA-BHUW CAA-BHUX CAA-BHUY CAA-BHUZ CAA-BHU0 CAA-BHU1 CAA-BHU2 CAA-BHU3 CAA-BHU4 CAA-BHU5 CAA-BHU6 CAA-BHU7 CAA-BHU8 CAA-BHU9\"",\""CAA-BHKA CAA-BHKB CAA-BHKC CAA-BHKD CAA-BHKE CAA-BHKF CAA-BHKG CAA-BHKH CAA-BHKI CAA-BHKJ CAA-BHKK CAA-BHKL CAA-BHKM CAA-BHKN CAA-BHKO CAA-BHKP CAA-BHKQ CAA-BHKR CAA-BHKS CAA-BHKT CAA-BHKU CAA-BHKV CAA-BHKW CAA-BHKX CAA-BHKY CAA-BHKZ CAA-BHK0 CAA-BHK1 CAA-BHK2 CAA-BHK3 CAA-BHK4 CAA-BHK5 CAA-BHK6 CAA-BHK7 CAA-BHK8 CAA-BHK9\"",\""Fëscherei heescht nofueren an ofhuelen oder huelen.\"",\""D'Iwwersetzung gëtt duerch de Kontext festgesat.\""]"",""study.examples"":""[{\""de\"":\""Ich bringe dir ein Buch.\"",\""lv\"":\""Atnes Mann, lūdzu, ūdeni.\""},{\""de\"":\""Ich bringe das Paket zur Post.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren wir nie! '\""},{\""de\"":\""Ich bringe die Kinder zur Schule.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren wir nie! '\""},{\""de\"":\""Ich nehme das Buch.\"",\""lv\"":\""Et ass grāmatu.\""}]"",""study.comparison"":""[{\""word\"":\""bringen\"",\""meaning\"":\""Atnest / aiznest / nogādāt\"",\""example\"":\""Ich bringe dir ein Buch. – Bring mir Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""CAA -\"",\""example\"":\""Ich bringe das Paket zur Post. – Ich nehme das Buch.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Aiziet pakaệ / atnest\"",\""example\"":\""Ich bringe die Kinder zur Schule. – Ich hole Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Nimm mit Dir und nimm mit Dir\"",\""example\"":\""Ich bringe dir ein Buch. – Bringst du Brot mit?\""},{\""word\"":\""nehmen\"",\""meaning\"":\""huelen\"",\""example\"":\""Ich nehme das Buch. – Ech hunn d'Bréck.\""}]"",""study.tip"":""{\""text\"":\""Atceries: pārvieto pie kāda → bringen; paņem sev → nehmen.\""}"",""study.important"":""[\""bringen rāda virzienu pie kāda vai uz kādu vietu.\"",\""nehmen nozīmē paņemt, bet ne obligāti nogādāt citam.\"",\""De letteschen Iwwersetzung hänkt vum Kontext of.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","CRITICAL","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING after individual inspection of bringen|idx:111 / lv, study: the row bundles several production values; the snapshot begins '{""lv"":""Atnest • Aiznest"",""study.translation"":""Atnest • Aiznest"",""study.explanation"":""[\""Haaptiddi: Bréngt, dréit oder liwwert epp…'. For German 'bringen' / Latvian 'atnest', OWNER must name the exact subfield and provide its complete Luxembourgish replacement; one row-level owner_new would be ambiguous."
"56ea7552afb29189","56ea7552afb2918996389644825be8af9ea7494ad4e230636282b1067140483e","DISC-G2-A1-LB-L0001","g2/a1/lb|Student|idx:581|lv|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Student|idx:581","lv","students","Student","","D'Schülerinnen","D'Schülerinnen","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Student|idx:581 / lv: exact Luxembourgish wording for German 'Student' (Latvian 'students') is not established by the supplied evidence; production currently has 'D'Schülerinnen' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"5ccd63afbcaf4a2c","5ccd63afbcaf4a2c970ff72358df9f8cc107e96a1a4e98832a2e2fe3dab69f7b","DISC-G2-A1-LB-L0019","g2/a1/lb|Programm|idx:484|lv|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Programm|idx:484","lv","programma","Programm","","Programm","Programm","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Programm|idx:484 / lv: exact Luxembourgish wording for German 'Programm' (Latvian 'programma') is not established by the supplied evidence; production currently has 'Programm' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"5e7a08d479051348","5e7a08d47905134835dd2f1c9641e46b7be8a460951d531467a4f18349ce06a2","DISC-G2-A1-LB-L0003","g2/a1/lb|finden|idx:187|lv, study.examples, study.explanation|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","finden|idx:187","lv, study.examples, study.explanation","atrast","finden","","{""lv"":""Fannt • Betruecht"",""study.examples"":""[{\""de\"":\""Ich finde meinen Schlüssel.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren wir nie! '\""},{\""de\"":\""Ich finde das gut.\"",\""lv\"":\""Hutt Dir Ären Telefon fonnt?\""},{\""de\"":\""Wie findest du den Film?\"",\""lv\"":\""MAN TASSSIET LABI.\""},{\""de\"":\""Wie findest du den Film?\"",\""lv\"":\""Wat haalt Dir vum Film?\""}]"",""study.explanation"":""[\""Galvenā doma: fënns visbiežāk nozīmē atrast.\"",\""Sarunās fannen Ōoti bieži nozīmē arī uzskatīt vai domāt par kaut ko.\"",\""Jo runa ir par pazaudētu lietu, tulko kā atrast.\"",\""Et geet ëm e puer, tulko ka uzskatīt wai šķist.\""]""}","{""lv"":""Fannt • Betruecht"",""study.examples"":""[{\""de\"":\""Ich finde meinen Schlüssel.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren wir nie! '\""},{\""de\"":\""Ich finde das gut.\"",\""lv\"":\""Hutt Dir Ären Telefon fonnt?\""},{\""de\"":\""Wie findest du den Film?\"",\""lv\"":\""MAN TASSSIET LABI.\""},{\""de\"":\""Wie findest du den Film?\"",\""lv\"":\""Wat haalt Dir vum Film?\""}]"",""study.explanation"":""[\""Galvenā doma: fënns visbiežāk nozīmē atrast.\"",\""Sarunās fannen Ōoti bieži nozīmē arī uzskatīt vai domāt par kaut ko.\"",\""Jo runa ir par pazaudētu lietu, tulko kā atrast.\"",\""Et geet ëm e puer, tulko ka uzskatīt wai šķist.\""]""}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING after individual inspection of finden|idx:187 / lv, study.examples, study.explanation: the row bundles several production values; the snapshot begins '{""lv"":""Fannt • Betruecht"",""study.examples"":""[{\""de\"":\""Ich finde meinen Schlüssel.\"",\""lv\"":\""Dat ass dat „wir\\\""., Hier waren w…'. For German 'finden' / Latvian 'atrast', OWNER must name the exact subfield and provide its complete Luxembourgish replacement; one row-level owner_new would be ambiguous."
"5eb3c94fea83b574","5eb3c94fea83b5747cd6cddda959ecd76a1dc1661282496f464aaa74fbb90395","DISC-G2-A1-LB-L0019","g2/a1/lb|Null|idx:454|lv|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Null|idx:454","lv","nulle","Null","","Null","Null","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Null|idx:454 / lv: exact Luxembourgish wording for German 'Null' (Latvian 'nulle') is not established by the supplied evidence; production currently has 'Null' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"633878962d4f17e0","633878962d4f17e08e519bd829c21c5b1e44a444b55f7fead290323a66b146ef","DISC-G2-A1-LB-L0003","g2/a1/lb|kein|idx:308|study.explanation; study.examples; study.tip|TRANSLATION_ERROR|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","kein|idx:308","study.explanation; study.examples; study.tip","neviens • nekāds","kein","","{""study.explanation"":""[\""Galvenā doma: keine ir nolieguma artikuls, kas noliedz lietvārdu — latviski atkarībā no konteksta neviens vai nekāds.\"",\""Kein locījas tāpat kā ein (kein/keine/keinen...) un stāv latevārda priekšā.\"",\""Ar skaitāmiem lietvārdiem (cilvēkiem) no bieži tulko kā neviens (no man = neviens cilvēks).\"",\""Ar nesaitāmiem vai abstraiem lietvārdiem no bieži tulko kā nekāds/nav vispār (no money = nekādas naudas/nav naudas).\"",\""No noliedz veselu lietvārdu, ne tikai darbības vārdu (salīdzini ar nicht).\""]"",""study.examples"":""[{\""de\"":\""Ich habe kein Geld.\"",\""lv\"":\""Man naudas ass naudas.\""},{\""de\"":\""Es gibt keine Milch mehr.\"",\""lv\"":\""Piena vairs nav nemaz.\""},{\""de\"":\""Kein Mensch war da.\"",\""lv\"":\""Neviens cilvēks tur nebija.\""},{\""de\"":\""Ich habe keine Zeit.\"",\""lv\"":\""MAN NAV VILA.\""},{\""de\"":\""Das ist kein Problem.\"",\""lv\"":\""Et ass kee Problem.\""},{\""de\"":\""Wir haben keine Kinder.\"",\""lv\"":\""Mums nav bērnu. - Mums nav bērnu.\""}]"",""study.tip"":""[\""kein noliedt e Substantiv (kein + Substantiv), nicht noliedt e Verb oder Saz.\"",\""kein Dekliniéiert wéi ein: kein/keine/keinen/keiner.\""]""}","{""study.explanation"":""[\""Galvenā doma: keine ir nolieguma artikuls, kas noliedz lietvārdu — latviski atkarībā no konteksta neviens vai nekāds.\"",\""Kein locījas tāpat kā ein (kein/keine/keinen...) un stāv latevārda priekšā.\"",\""Ar skaitāmiem lietvārdiem (cilvēkiem) no bieži tulko kā neviens (no man = neviens cilvēks).\"",\""Ar nesaitāmiem vai abstraiem lietvārdiem no bieži tulko kā nekāds/nav vispār (no money = nekādas naudas/nav naudas).\"",\""No noliedz veselu lietvārdu, ne tikai darbības vārdu (salīdzini ar nicht).\""]"",""study.examples"":""[{\""de\"":\""Ich habe kein Geld.\"",\""lv\"":\""Man naudas ass naudas.\""},{\""de\"":\""Es gibt keine Milch mehr.\"",\""lv\"":\""Piena vairs nav nemaz.\""},{\""de\"":\""Kein Mensch war da.\"",\""lv\"":\""Neviens cilvēks tur nebija.\""},{\""de\"":\""Ich habe keine Zeit.\"",\""lv\"":\""MAN NAV VILA.\""},{\""de\"":\""Das ist kein Problem.\"",\""lv\"":\""Et ass kee Problem.\""},{\""de\"":\""Wir haben keine Kinder.\"",\""lv\"":\""Mums nav bērnu. - Mums nav bērnu.\""}]"",""study.tip"":""[\""kein noliedt e Substantiv (kein + Substantiv), nicht noliedt e Verb oder Saz.\"",\""kein Dekliniéiert wéi ein: kein/keine/keinen/keiner.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING after individual inspection of kein|idx:308 / study.explanation; study.examples; study.tip: the row bundles several production values; the snapshot begins '{""study.explanation"":""[\""Galvenā doma: keine ir nolieguma artikuls, kas noliedz lietvārdu — latviski atkarībā no konteksta nevien…'. For German 'kein' / Latvian 'neviens • nekāds', OWNER must name the exact subfield and provide its complete Luxembourgish replacement; one row-level owner_new would be ambiguous."
"638054dec6caabfa","638054dec6caabfa81abe977d4075e9bd19f19be3ee4ae4b58e960d4243b47ab","DISC-G2-A1-LB-L0010","g2/a1/lb|neunzehnte|idx:444|lv|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","neunzehnte|idx:444","lv","deviņpadsmitais","neunzehnte","","Den Nineteen","Den Nineteen","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of neunzehnte|idx:444 / lv: exact Luxembourgish wording for German 'neunzehnte' (Latvian 'deviņpadsmitais') is not established by the supplied evidence; production currently has 'Den Nineteen' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"6432bc9659e7ea35","6432bc9659e7ea35f08cb240d3df8449a954dbf69de8c10a48a78e8f800d437d","DISC-G2-A1-LB-L0004","g2/a1/lb|Meter|idx:404|lv|MISTRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Meter|idx:404","lv","metrs","Meter","","Meter","Meter","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Meter|idx:404 / lv: exact Luxembourgish wording for German 'Meter' (Latvian 'metrs') is not established by the supplied evidence; production currently has 'Meter' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
"64a8627a416a87b8","64a8627a416a87b89e7ed0919ba19480c48ec0ef3a0db2a2435a6275d4267fb8","DISC-G2-A1-LB-L0016","g2/a1/lb|Hund|idx:327|lv|WRONG_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Hund|idx:327","lv","suns","Hund","","Sonnenënnergang","Sonnenënnergang","PASS","","WRONG_TRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING after individual lexical review of Hund|idx:327 / lv: exact Luxembourgish wording for German 'Hund' (Latvian 'suns') is not established by the supplied evidence; production currently has 'Sonnenënnergang' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma."
