escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-068","BATCH-179","bc123bde70e772a4","bc123bde70e772a45aab83e9a052b1fe5612fac6c40428c9a532114230b968a4","DISC-G2-A1-RO-L0020","g2/a1/ro|Sprache|idx:574|lv|MISTRANSLATION|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","Sprache|idx:574","lv","valoda","Sprache","","Limbă","Limbă","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","","TARGET_VALUE_VALID: row-level review confirms an acceptable target-language lemma or form against the DE reference; semantic finding is a false positive. lang=ro field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=SEMANTIC_OR_MEANING_ERROR production_current=""Limbă"" de_reference=""Sprache"""
"ESC-068","BATCH-122","2d6a6d1ad12e4640","2d6a6d1ad12e46409a73469c1cd29192230f8aa098438413c7d83eb13389b56c","DISC-G2-A1-RO-L0001","g2/a1/ro|sprechen|idx:5|lv / study|LANGUAGE_MISMATCH|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","sprechen|idx:5","lv / study","runāt","sprechen","","{""lv"":""A vorbi"",""study.translation"":""A vorbi"",""study.explanation"":""[\""Ideea principală: A vorbi, a conversa sau a folosi limbajul.\"",\""Sprechen înseamnă în principal: a vorbi sau a conversa.\"",\""Caracterizat adesea prin: limbaj/conversație.\"",\""Sprechen descrie vorbirea sau utilizarea limbajului.\""]"",""study.examples"":""[{\""de\"":\""Ich spreche Deutsch.\"",\""lv\"":\""Vorbesc germana.\""},{\""de\"":\""Wir sprechen über die Arbeit.\"",\""lv\"":\""Vorbim despre muncă.\""},{\""de\"":\""Sie spricht mit ihrer Lehrerin.\"",\""lv\"":\""Vorbesc germana\""}]"",""study.comparison"":""[{\""word\"":\""sprechen\"",\""meaning\"":\""Vorbi (proces, limba)\"",\""example\"":\""Wir sprechen über die Arbeit. – Vorbim de muncă.\""},{\""word\"":\""sagen\"",\""meaning\"":\""Spune (un text anume)\"",\""example\"":\""Sag mir die Wahrheit. – mi adevărul.\""}]"",""study.tip"":""[\""Sprechen = a vorbi\"",\""Folosește sprechen atunci când contextul se potrivește cu acest sens.\""]"",""study.important"":""[\""Sprechen = a vorbi.\"",\""A vorbi, a conversa sau a folosi limbajul.\""]""}","{""lv"":""A vorbi"",""study.translation"":""A vorbi"",""study.explanation"":""[\""Ideea principală: A vorbi, a conversa sau a folosi limbajul.\"",\""Sprechen înseamnă în principal: a vorbi sau a conversa.\"",\""Caracterizat adesea prin: limbaj/conversație.\"",\""Sprechen descrie vorbirea sau utilizarea limbajului.\""]"",""study.examples"":""[{\""de\"":\""Ich spreche Deutsch.\"",\""lv\"":\""Vorbesc germana.\""},{\""de\"":\""Wir sprechen über die Arbeit.\"",\""lv\"":\""Vorbim despre muncă.\""},{\""de\"":\""Sie spricht mit ihrer Lehrerin.\"",\""lv\"":\""Vorbesc germana\""}]"",""study.comparison"":""[{\""word\"":\""sprechen\"",\""meaning\"":\""Vorbi (proces, limba)\"",\""example\"":\""Wir sprechen über die Arbeit. – Vorbim de muncă.\""},{\""word\"":\""sagen\"",\""meaning\"":\""Spune (un text anume)\"",\""example\"":\""Sag mir die Wahrheit. – mi adevărul.\""}]"",""study.tip"":""[\""Sprechen = a vorbi\"",\""Folosește sprechen atunci când contextul se potrivește cu acest sens.\""]"",""study.important"":""[\""Sprechen = a vorbi.\"",\""A vorbi, a conversa sau a folosi limbajul.\""]""}","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=ro field=lv / study composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-068","BATCH-178","a40ce469621ae546","a40ce469621ae546aff38e39d46b753711e984b2dce978cdb592055ab27b02d3","DISC-G2-A1-RO-L0021","g2/a1/ro|stark|idx:575|lv|MISTRANSLATION|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","stark|idx:575","lv","stiprs","stark","","Puternic","Puternic","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","","TARGET_VALUE_VALID: row-level review confirms an acceptable target-language lemma or form against the DE reference; semantic finding is a false positive. lang=ro field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=SEMANTIC_OR_MEANING_ERROR production_current=""Puternic"" de_reference=""stark"""
"ESC-068","BATCH-179","f080b5d581277be6","f080b5d581277be6f382daea8a643e1e27e7e14e710718a050ef1a870f9109ec","DISC-G2-A1-RO-L0001","g2/a1/ro|stehen|idx:576|lv, study.*|TRANSLATION_ERROR|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","stehen|idx:576","lv, study.*","stāvēt","stehen","","{""lv"":""A sta în picioare"",""study.translation"":""A sta în picioare"",""study.explanation"":""[\""Ideea principală: stehen înseamnă a sta în picioare sau a sta în picioare.\"",\""Pentru o persoană, stehen înseamnă a sta în picioare.\"",\""Pentru un obiect, stehen înseamnă că este în picioare sau într-un anumit loc.\"",\""Este important să distingem: stehen = a sta, sitzen = a sta, liegen = a se întinde.\""]"",""study.examples"":""[{\""de\"":\""Ich stehe an der Tür.\"",\""lv\"":\""Stau la usa.\""},{\""de\"":\""Der Stuhl steht in der Küche.\"",\""lv\"":\""Scaunul este în bucătărie.\""},{\""de\"":\""Er sitzt am Tisch.\"",\""lv\"":\""El stă la masă.\""},{\""de\"":\""Das Buch liegt auf dem Tisch.\"",\""lv\"":\""Cartea este pe masă.\""}]"",""study.comparison"":""[{\""word\"":\""stehen\"",\""meaning\"":\""Stai / fi în picioare\"",\""example\"":\""Stau aici.\""},{\""word\"":\""sitzen\"",\""meaning\"":\""A sta\"",\""example\"":\""El stă la masă.\""},{\""word\"":\""liegen\"",\""meaning\"":\""Dormi / culca\"",\""example\"":\""Cartea este acolo.\""},{\""word\"":\""stellen\"",\""meaning\"":\""Pune în picioare\"",\""example\"":\""Pun sticla.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: în picioare → stehen • Asezat → sitzen • Culcat → liegen.\""}"",""study.important"":""[\""Stehen arată o stare, nu acțiunea de a „da jos”.\"",\""A pune un obiect în poziție verticală este stellen, nu stehen.\""]""}","{""lv"":""A sta în picioare"",""study.translation"":""A sta în picioare"",""study.explanation"":""[\""Ideea principală: stehen înseamnă a sta în picioare sau a sta în picioare.\"",\""Pentru o persoană, stehen înseamnă a sta în picioare.\"",\""Pentru un obiect, stehen înseamnă că este în picioare sau într-un anumit loc.\"",\""Este important să distingem: stehen = a sta, sitzen = a sta, liegen = a se întinde.\""]"",""study.examples"":""[{\""de\"":\""Ich stehe an der Tür.\"",\""lv\"":\""Stau la usa.\""},{\""de\"":\""Der Stuhl steht in der Küche.\"",\""lv\"":\""Scaunul este în bucătărie.\""},{\""de\"":\""Er sitzt am Tisch.\"",\""lv\"":\""El stă la masă.\""},{\""de\"":\""Das Buch liegt auf dem Tisch.\"",\""lv\"":\""Cartea este pe masă.\""}]"",""study.comparison"":""[{\""word\"":\""stehen\"",\""meaning\"":\""Stai / fi în picioare\"",\""example\"":\""Stau aici.\""},{\""word\"":\""sitzen\"",\""meaning\"":\""A sta\"",\""example\"":\""El stă la masă.\""},{\""word\"":\""liegen\"",\""meaning\"":\""Dormi / culca\"",\""example\"":\""Cartea este acolo.\""},{\""word\"":\""stellen\"",\""meaning\"":\""Pune în picioare\"",\""example\"":\""Pun sticla.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: în picioare → stehen • Asezat → sitzen • Culcat → liegen.\""}"",""study.important"":""[\""Stehen arată o stare, nu acțiunea de a „da jos”.\"",\""A pune un obiect în poziție verticală este stellen, nu stehen.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=SEMANTIC_OR_MEANING_ERROR lang=ro field=lv, study.* composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-068","BATCH-179","c8cffbe756c3ac94","c8cffbe756c3ac94d6731c4ef91d13023e457bd987f67f0e6984698b1afc975c","DISC-G2-A1-RO-L0023","g2/a1/ro|Straße|idx:578|lv|MISTRANSLATION|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","Straße|idx:578","lv","iela","Straße","","Stradă","Stradă","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","","TARGET_VALUE_VALID: row-level review confirms an acceptable target-language lemma or form against the DE reference; semantic finding is a false positive. lang=ro field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=SEMANTIC_OR_MEANING_ERROR production_current=""Stradă"" de_reference=""Straße"""
"ESC-068","BATCH-178","80ed311a09b3b589","80ed311a09b3b589aea65e7ee999fa5b36fd6a0cf6811418762d170cee5c2d20","DISC-G2-A1-RO-L0024","g2/a1/ro|Straßenbahn|idx:579|lv|MISTRANSLATION|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","Straßenbahn|idx:579","lv","tramvajs","Straßenbahn","","Tramvai","Tramvai","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","","TARGET_VALUE_VALID: row-level review confirms an acceptable target-language lemma or form against the DE reference; semantic finding is a false positive. lang=ro field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=SEMANTIC_OR_MEANING_ERROR production_current=""Tramvai"" de_reference=""Straßenbahn"""
"ESC-068","BATCH-178","a28e4c6a83021d07","a28e4c6a83021d0731a488f907a8481aebb782175e51057ba6a418297e567002","DISC-G2-A1-RO-L0025","g2/a1/ro|Stück|idx:580|lv|MISTRANSLATION|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","Stück|idx:580","lv","gabals","Stück","","Bucată","Bucată","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","","TARGET_VALUE_VALID: row-level review confirms an acceptable target-language lemma or form against the DE reference; semantic finding is a false positive. lang=ro field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=SEMANTIC_OR_MEANING_ERROR production_current=""Bucată"" de_reference=""Stück"""
"ESC-068","BATCH-178","6f6a822338de1639","6f6a822338de16394b6362e31b296203dac89edf71ed24d486cfe657cdbdc5f7","DISC-G2-A1-RO-L0002","g2/a1/ro|über|idx:608|lv, study.*|TRANSLATION_ERROR|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","über|idx:608","lv, study.*","virs • par","über","","{""lv"":""Peste • Pentru"",""study.translation"":""Peste • Pentru"",""study.explanation"":""[\""Ideea principală: über înseamnă deasupra sau despre în funcție de context.\"",\""Când vine vorba de locație, über înseamnă adesea mai sus.\"",\""Când vine vorba de o conversație, text sau subiect, über înseamnă despre.\"",\""În mișcare, über poate însemna peste.\""]"",""study.examples"":""[{\""de\"":\""Die Lampe hängt über dem Tisch.\"",\""lv\"":\""Deasupra mesei atârnă o lampă.\""},{\""de\"":\""Wir sprechen über das Wetter.\"",\""lv\"":\""Vorbim despre timp.\""},{\""de\"":\""Das Kind läuft über die Straße.\"",\""lv\"":\""Copilul fuge peste strada.\""},{\""de\"":\""Ich freue mich über das Geschenk.\"",\""lv\"":\""Sunt multumit de cadou.\""}]"",""study.comparison"":""[{\""word\"":\""über\"",\""meaning\"":\""Peste / peste / peste\"",\""example\"":\""Vorbim despre vreme.\""},{\""word\"":\""auf\"",\""meaning\"":\""La suprafata\"",\""example\"":\""Cartea se află pe masă.\""},{\""word\"":\""unter\"",\""meaning\"":\""Sub\"",\""example\"":\""Geanta este sub masă.\""},{\""word\"":\""von\"",\""meaning\"":\""Din / despre de la vreo sursă\"",\""example\"":\""Aud de la tine.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: subiect în conversație → über • Deasupra tabelului → über.\""}"",""study.important"":""[\""Über nu este doar un nume de loc.\"",\""Sprechen über înseamnă „a vorbi despre”.\""]""}","{""lv"":""Peste • Pentru"",""study.translation"":""Peste • Pentru"",""study.explanation"":""[\""Ideea principală: über înseamnă deasupra sau despre în funcție de context.\"",\""Când vine vorba de locație, über înseamnă adesea mai sus.\"",\""Când vine vorba de o conversație, text sau subiect, über înseamnă despre.\"",\""În mișcare, über poate însemna peste.\""]"",""study.examples"":""[{\""de\"":\""Die Lampe hängt über dem Tisch.\"",\""lv\"":\""Deasupra mesei atârnă o lampă.\""},{\""de\"":\""Wir sprechen über das Wetter.\"",\""lv\"":\""Vorbim despre timp.\""},{\""de\"":\""Das Kind läuft über die Straße.\"",\""lv\"":\""Copilul fuge peste strada.\""},{\""de\"":\""Ich freue mich über das Geschenk.\"",\""lv\"":\""Sunt multumit de cadou.\""}]"",""study.comparison"":""[{\""word\"":\""über\"",\""meaning\"":\""Peste / peste / peste\"",\""example\"":\""Vorbim despre vreme.\""},{\""word\"":\""auf\"",\""meaning\"":\""La suprafata\"",\""example\"":\""Cartea se află pe masă.\""},{\""word\"":\""unter\"",\""meaning\"":\""Sub\"",\""example\"":\""Geanta este sub masă.\""},{\""word\"":\""von\"",\""meaning\"":\""Din / despre de la vreo sursă\"",\""example\"":\""Aud de la tine.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: subiect în conversație → über • Deasupra tabelului → über.\""}"",""study.important"":""[\""Über nu este doar un nume de loc.\"",\""Sprechen über înseamnă „a vorbi despre”.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=SEMANTIC_OR_MEANING_ERROR lang=ro field=lv, study.* composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-068","BATCH-179","ac6bd235c51fd1a9","ac6bd235c51fd1a9ccf11615619ac8f2ff3fb371c28fbdf0b2b5d76c99b8dd2e","DISC-G2-A1-RO-L0003","g2/a1/ro|um|idx:611|lv, study.*|TRANSLATION_ERROR|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","um|idx:611","lv, study.*","ap • pulksten","um","","{""lv"":""În jurul orei • "",""study.translation"":""În jurul orei • "",""study.explanation"":""[\""Ideea principală: um de foarte multe ori înseamnă ceas cu timpul sau în jurul/în jurul locului.\"",\""Cu ora exactă, înseamnă ora.\"",\""Cu un loc, înseamnă în jur sau în jur.\"",\""În sintagma um ... zu, ajută la exprimarea intenției: să.\""]"",""study.examples"":""[{\""de\"":\""Ich komme um acht Uhr.\"",\""lv\"":\""Vin la ora opt.\""},{\""de\"":\""Wir sitzen um den Tisch.\"",\""lv\"":\""Stăm în jurul mesei.\""},{\""de\"":\""Er geht um die Ecke.\"",\""lv\"":\""Se duce după colţ.\""},{\""de\"":\""Ich lerne, um Deutsch zu sprechen.\"",\""lv\"":\""Invat sa vorbesc germana.\""}]"",""study.comparison"":""[{\""word\"":\""um\"",\""meaning\"":\""La / în jurul / la\"",\""example\"":\""Vin la ora opt.\""},{\""word\"":\""am\"",\""meaning\"":\""Pe zi / la\"",\""example\"":\""Luni vin.\""},{\""word\"":\""gegen\"",\""meaning\"":\""În jurul timpului / vs\"",\""example\"":\""Vin pe la ora opt.\""},{\""word\"":\""für\"",\""meaning\"":\""Pentru / în favoarea\"",\""example\"":\""Asta e pentru tine.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: um acht = ora opt.\""}"",""study.important"":""[\""Um cu timpul este de obicei „ceas”.\"",\""Um ... zu înseamnă adesea „să...”.\""]""}","{""lv"":""În jurul orei • "",""study.translation"":""În jurul orei • "",""study.explanation"":""[\""Ideea principală: um de foarte multe ori înseamnă ceas cu timpul sau în jurul/în jurul locului.\"",\""Cu ora exactă, înseamnă ora.\"",\""Cu un loc, înseamnă în jur sau în jur.\"",\""În sintagma um ... zu, ajută la exprimarea intenției: să.\""]"",""study.examples"":""[{\""de\"":\""Ich komme um acht Uhr.\"",\""lv\"":\""Vin la ora opt.\""},{\""de\"":\""Wir sitzen um den Tisch.\"",\""lv\"":\""Stăm în jurul mesei.\""},{\""de\"":\""Er geht um die Ecke.\"",\""lv\"":\""Se duce după colţ.\""},{\""de\"":\""Ich lerne, um Deutsch zu sprechen.\"",\""lv\"":\""Invat sa vorbesc germana.\""}]"",""study.comparison"":""[{\""word\"":\""um\"",\""meaning\"":\""La / în jurul / la\"",\""example\"":\""Vin la ora opt.\""},{\""word\"":\""am\"",\""meaning\"":\""Pe zi / la\"",\""example\"":\""Luni vin.\""},{\""word\"":\""gegen\"",\""meaning\"":\""În jurul timpului / vs\"",\""example\"":\""Vin pe la ora opt.\""},{\""word\"":\""für\"",\""meaning\"":\""Pentru / în favoarea\"",\""example\"":\""Asta e pentru tine.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: um acht = ora opt.\""}"",""study.important"":""[\""Um cu timpul este de obicei „ceas”.\"",\""Um ... zu înseamnă adesea „să...”.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=SEMANTIC_OR_MEANING_ERROR lang=ro field=lv, study.* composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-068","BATCH-178","30efa9fe66552519","30efa9fe66552519ee03d84a49b5b8f97bb8c8d86515ec4967b300b74147bc08","DISC-G2-A1-RO-L0004","g2/a1/ro|unter|idx:615|lv, study.*|TRANSLATION_ERROR|gpt-5.6-luna","ro","","crowdin-staging/g2/ro-a1.json","unter|idx:615","lv, study.*","zem","unter","","{""lv"":""Sub"",""study.translation"":""Sub"",""study.explanation"":""[\""Ideea principală: unter înseamnă sub sau între în funcție de context.\"",\""Dacă ceva este sub o masă, scaun sau alt obiect, utilizați unter.\"",\""Când vorbim despre un grup de oameni, unter poate însemna între.\"",\""Este opusul über când ne referim la direcția sus/jos.\""]"",""study.examples"":""[{\""de\"":\""Die Tasche ist unter dem Tisch.\"",\""lv\"":\""Geanta este sub masă.\""},{\""de\"":\""Die Katze liegt unter dem Stuhl.\"",\""lv\"":\""Pisica doarme sub scaun.\""},{\""de\"":\""Unter Freunden sagt man das so.\"",\""lv\"":\""Printre prieteni se spune.\""},{\""de\"":\""Die Lampe hängt über dem Tisch.\"",\""lv\"":\""Deasupra mesei atârnă o lampă.\""}]"",""study.comparison"":""[{\""word\"":\""unter\"",\""meaning\"":\""Sub / între\"",\""example\"":\""Geanta este sub masă.\""},{\""word\"":\""über\"",\""meaning\"":\""Peste / pentru\"",\""example\"":\""Lampa atârnă deasupra mesei.\""},{\""word\"":\""zwischen\"",\""meaning\"":\""Între două lucruri\"",\""example\"":\""Între case.\""},{\""word\"":\""auf\"",\""meaning\"":\""La suprafata\"",\""example\"":\""Pe masă.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: sub masă → unter dem Tisch.\""}"",""study.important"":""[\""Unter poate însemna și „între”, mai ales cu persoane sau grupuri.\"",\""Unter și über sunt adesea opuse în sensul de loc.\""]""}","{""lv"":""Sub"",""study.translation"":""Sub"",""study.explanation"":""[\""Ideea principală: unter înseamnă sub sau între în funcție de context.\"",\""Dacă ceva este sub o masă, scaun sau alt obiect, utilizați unter.\"",\""Când vorbim despre un grup de oameni, unter poate însemna între.\"",\""Este opusul über când ne referim la direcția sus/jos.\""]"",""study.examples"":""[{\""de\"":\""Die Tasche ist unter dem Tisch.\"",\""lv\"":\""Geanta este sub masă.\""},{\""de\"":\""Die Katze liegt unter dem Stuhl.\"",\""lv\"":\""Pisica doarme sub scaun.\""},{\""de\"":\""Unter Freunden sagt man das so.\"",\""lv\"":\""Printre prieteni se spune.\""},{\""de\"":\""Die Lampe hängt über dem Tisch.\"",\""lv\"":\""Deasupra mesei atârnă o lampă.\""}]"",""study.comparison"":""[{\""word\"":\""unter\"",\""meaning\"":\""Sub / între\"",\""example\"":\""Geanta este sub masă.\""},{\""word\"":\""über\"",\""meaning\"":\""Peste / pentru\"",\""example\"":\""Lampa atârnă deasupra mesei.\""},{\""word\"":\""zwischen\"",\""meaning\"":\""Între două lucruri\"",\""example\"":\""Între case.\""},{\""word\"":\""auf\"",\""meaning\"":\""La suprafata\"",\""example\"":\""Pe masă.\""}]"",""study.tip"":""{\""text\"":\""Amintiți-vă: sub masă → unter dem Tisch.\""}"",""study.important"":""[\""Unter poate însemna și „între”, mai ales cu persoane sau grupuri.\"",\""Unter și über sunt adesea opuse în sensul de loc.\""]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=SEMANTIC_OR_MEANING_ERROR lang=ro field=lv, study.* composite scope does not isolate the reported field; an exact field-level decision is unsafe."
