language,appCode,cardId,fieldPath,currentTarget,AUDIT_VERDICT,AUDIT_FINDING_TYPE,AUDIT_PROPOSED_NEW,AUDIT_EVIDENCE_URL,AUDIT_EVIDENCE_SHA256,AUDIT_EVIDENCE_STATUS,AUDIT_CHECKED_AT,OWNER_AUTHORIZATION_CLASS,APPLY_STATUS,OWNER_STATUS,OWNER_NEW,OWNER_NOTE,OWNER_EVIDENCE_ACCEPTED,OWNER_REVIEWED_AT
en,en,a1-haus-en-3,cards[3].lv,House,FINDING,CAPITALIZATION_ERROR,house,https://www.oxfordlearnersdictionaries.com/definition/english/house_1,3e10d87dbbdd074b0f72734210d7ca6afa4322ab90013b7ae1cfc717dc51a276,SOURCE_ENTRY_VALIDATED,2026-09-20T12:21:17.575Z,OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY,LABOT,LABOT,house,"OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY: official TARGET headword confirms lowercase dictionary lemma; CURRENT and NEW differ only by initial-letter case; no lexical, semantic, script, grammatical or DE-side change.",YES,2026-09-20T12:21:17.575Z
da,da,a1-haus-da-3,cards[3].lv,Hus,FINDING,CAPITALIZATION_ERROR,hus,https://ordnet.dk/ddo/ordbog/Hus,f74c65de9e204eaf48cc732610c7e4e66599b6079b91d78cebcf0dde43d62a78,SOURCE_ENTRY_VALIDATED,2026-09-20T12:21:18.444Z,OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY,LABOT,LABOT,hus,"OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY: official TARGET headword confirms lowercase dictionary lemma; CURRENT and NEW differ only by initial-letter case; no lexical, semantic, script, grammatical or DE-side change.",YES,2026-09-20T12:21:18.444Z
tr,tr,a1-haus-tr-3,cards[3].lv,Ev,FINDING,CAPITALIZATION_ERROR,ev,https://sozluk.gov.tr/gts?ara=Ev,bc4fa8a3a9b62fca9b815702721f6a96bcd5f0df90db4dbe9483eba707ee0f8b,SOURCE_ENTRY_VALIDATED,2026-09-20T12:27:31.589Z,OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY,LABOT,LABOT,ev,"OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY: official TARGET headword confirms lowercase dictionary lemma; CURRENT and NEW differ only by initial-letter case; no lexical, semantic, script, grammatical or DE-side change.",YES,2026-09-20T12:27:31.589Z
gr,gr,a1-haus-gr-3,cards[3].lv,Σπίτι,FINDING,CAPITALIZATION_ERROR,σπίτι,https://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/search.html?lq=%CE%A3%CF%80%CE%AF%CF%84%CE%B9,87b558e93c6af1a49a905edd5eb6272b74be886c5c1a0d84250df88b2630c4f4,SOURCE_ENTRY_VALIDATED,2026-09-20T12:27:31.882Z,OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY,LABOT,LABOT,σπίτι,"OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY: official TARGET headword confirms lowercase dictionary lemma; CURRENT and NEW differ only by initial-letter case; no lexical, semantic, script, grammatical or DE-side change.",YES,2026-09-20T12:27:31.882Z
ru,ru,a1-haus-ru-3,cards[3].lv,Дом,FINDING,CAPITALIZATION_ERROR,дом,https://orfo.ruslang.ru/search?word=%D0%B4%D0%BE%D0%BC,e6a31e8e4c485c0326311bd917063e3039ee05dd7d98e713201bd88b1da139f0,SOURCE_ENTRY_VALIDATED,2026-09-20T12:28:00.156Z,OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY,LABOT,LABOT,дом,"OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY: official TARGET headword confirms lowercase dictionary lemma; CURRENT and NEW differ only by initial-letter case; no lexical, semantic, script, grammatical or DE-side change.",YES,2026-09-20T12:28:00.156Z
cs,cs,a1-haus-cs-3,cards[3].lv,Dům,FINDING,CAPITALIZATION_ERROR,dům,https://prirucka.ujc.cas.cz/?id=915#ref_id_2019_15_1,1876c6c100357a4126a20ca88eff1787dddc810d69cef8d63298689baf630aea,SOURCE_ENTRY_VALIDATED,2026-09-20T12:21:18.159Z,OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY,LABOT,LABOT,dům,"OWNER_PREAUTHORIZED_CAPITALIZATION_ONLY: official TARGET headword confirms lowercase dictionary lemma; CURRENT and NEW differ only by initial-letter case; no lexical, semantic, script, grammatical or DE-side change.",YES,2026-09-20T12:21:18.159Z
sk,sk,a1-haus-sk-3,cards[3].lv,Domov,FINDING,WRONG_TRANSLATION,dom,https://slovnik.juls.savba.sk/?w=dom&s=exact&k=Md03&cs=&d=kssj4&d=psp&d=ogs&d=sssj&d=orter&d=scs&d=sss&d=peciar&d=ssn&d=hssj&d=bernolak&d=noundb&d=orient&d=locutio&d=obce&d=priezviska&d=un&d=onom&d=pskfr&d=pskcs&d=psken#,36920edd98ab9f0d5af6deb5cd4e5809f62be348155d8e2d397327f93fba0965,SOURCE_ENTRY_VALIDATED,2026-09-20T12:27:01.424Z,,,,,,,
nb,nb,a1-haus-nb-3,cards[3].lv,Maya,FINDING,WRONG_TRANSLATION,hus,https://ordbokene.no/nob/bm/hus,7def1d680d33e0148424ebd7df3824e42343ace0b03d88e0f0d4b0a61ecd98e8,SOURCE_ENTRY_VALIDATED,2026-09-20T12:25:13.721Z,,,,,,,
nn,nn,a1-haus-nn-3,cards[3].lv,Maya,FINDING,WRONG_TRANSLATION,hus,https://ordbokene.no/nob/nn/hus,201c28ab75ef0ffd2cb81687c8c0a9d3db3401a52a872531a5e50642bb89c6db,SOURCE_ENTRY_VALIDATED,2026-09-20T12:25:14.741Z,,,,,,,
fi,fi,a1-haus-fi-3,cards[3].lv,Maja,FINDING,WRONG_TRANSLATION,talo,https://www.kielitoimistonsanakirja.fi/#/talo?source=suggestion&searchMode=all,3448e61a7cd99d6286416f6404764c62af44e39c0c0df9b45776784c21842452,SOURCE_ENTRY_VALIDATED,2026-09-20T12:27:03.535Z,,,,,,,
