review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"f72cbbf3302cb0b1","f72cbbf3302cb0b1646a40bfdfcd63468587475ac5186ea500232e546103cd69","DISC-G2-A1-CS-L0001","g2/a1/cs|Geschwister|idx:234|lv and study.*|SOURCE_LV_ISSUE|gpt-5.6-luna","cs","SRC-LV-5c42323cf9d1005e","crowdin-staging/g2/cs-a1.json","Geschwister|idx:234","lv and study.*","brāļi un māsas","Geschwister","","{""lv"":""Bratři a sestry"",""study.translation"":""Bratři a sestry • Sourozenci"",""study.explanation"":""[\""Hlavní myšlenka: Geschwister znamená sourozence, tedy bratry a sestry dohromady.\"",\""Toto slovo se běžně používá v množném čísle.\"",\""Pro jednu osobu se používá Bruder nebo Schwester.\""]"",""study.examples"":""[{\""de\"":\""Ich habe zwei Geschwister.\"",\""lv\"":\""Mám dva sourozence.\""},{\""de\"":\""Meine Geschwister wohnen in Berlin.\"",\""lv\"":\""Moji sourozenci žijí v Berlíně.\""}]"",""study.comparison"":""[{\""word\"":\""Geschwister\"",\""meaning\"":\""sourozenci • bratři a sestry\"",\""example\"":\""Meine Geschwister – moji sourozenci\""},{\""word\"":\""Bruder\"",\""meaning\"":\""bratr\"",\""example\"":\""mein Bruder – můj bratr\""},{\""word\"":\""Schwester\"",\""meaning\"":\""sestra\"",\""example\"":\""meine Schwester – moje sestra\""}]"",""study.tip"":""[\""Geschwister se běžně používá v množném čísle.\"",\""Pro jednu osobu použijte Bruder nebo Schwester.\""]"",""study.important"":""[\""Pro běžnou A1 němčinu nepoužívejte ein Geschwister jako standardní jednotné číslo.\""]""}","{""lv"":""Bratři a sestry"",""study.translation"":""Bratři a sestry • Sourozenci"",""study.explanation"":""[\""Hlavní myšlenka: Geschwister znamená sourozence, tedy bratry a sestry dohromady.\"",\""Toto slovo se běžně používá v množném čísle.\"",\""Pro jednu osobu se používá Bruder nebo Schwester.\""]"",""study.examples"":""[{\""de\"":\""Ich habe zwei Geschwister.\"",\""lv\"":\""Mám dva sourozence.\""},{\""de\"":\""Meine Geschwister wohnen in Berlin.\"",\""lv\"":\""Moji sourozenci žijí v Berlíně.\""}]"",""study.comparison"":""[{\""word\"":\""Geschwister\"",\""meaning\"":\""sourozenci • bratři a sestry\"",\""example\"":\""Meine Geschwister – moji sourozenci\""},{\""word\"":\""Bruder\"",\""meaning\"":\""bratr\"",\""example\"":\""mein Bruder – můj bratr\""},{\""word\"":\""Schwester\"",\""meaning\"":\""sestra\"",\""example\"":\""meine Schwester – moje sestra\""}]"",""study.tip"":""[\""Geschwister se běžně používá v množném čísle.\"",\""Pro jednu osobu použijte Bruder nebo Schwester.\""]"",""study.important"":""[\""Pro běžnou A1 němčinu nepoužívejte ein Geschwister jako standardní jednotné číslo.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"c229831592af4f33","c229831592af4f334d9e21c24d778ece84fa072fc1bf26159ed9d4cf0b0e95cb","DISC-G2-A1-UK-L0003","g2/a1/uk|Fernsehen|idx:688|lv; study.translation; study.explanation; study.examples; study.tip; study.important|SOURCE_LV_ISSUE|gpt-5.6-luna","uk","SRC-LV-5c81b415c00645fc","crowdin-staging/g2/uk-a1.json","Fernsehen|idx:688","lv; study.translation; study.explanation; study.examples; study.tip; study.important","televīzija","Fernsehen","","{""lv"":""телебачення"",""study.translation"":""телебачення"",""study.explanation"":""[\""Головна думка: Іменник, тільки однина. Описує телебачення як засіб масової інформації або мовлення загалом.\"",\""das Fernsehen в основному означає: дивитися шоу.\"",\""Часто описує: дію.\"",\""das Fernsehen насамперед означає: телебачення як засіб масової інформації.\"",\""Часто описує: іменник (лише в однині).\"",\""fernsehen - це дієслово, який можна розділити на: ich sehe fern, du siehst fern.\"",\""das Fernsehen має іменник і тільки однина - він не має форми множини.\""]"",""study.examples"":""[{\""de\"":\""Was gibt es heute im Fernsehen?\"",\""lv\"":\""Що сьогодні по телевізору?\""},{\""de\"":\""Was gibt es heute im Fernsehen?\"",\""lv\"":\""що сьогодні по телевізору?\""},{\""de\"":\""Im Fernsehen läuft ein Film.\"",\""lv\"":\""по телевізору показують фільм.\""},{\""de\"":\""Das Fernsehen ist heute langweilig.\"",\""lv\"":\""телепрограма сьогодні нудна.\""},{\""de\"":\""Ich sehe heute Abend fern.\"",\""lv\"":\""Я сьогодні ввечері дивлюся телевізор.\""},{\""de\"":\""Was gibt es im Fernsehen?\"",\""lv\"":\""Що показують по телевізору?\""}]"",""study.tip"":""[\""Якщо мова йде про дію, використовуйте fernsehen (ich sehe fern). Говорячи про телепрограму чи ЗМІ, використовуйте das Fernsehen.\"",\""Іменник, тільки однина. Описує телебачення як засіб масової інформації або мовлення загалом.\""]"",""study.important"":""[\""fernsehen ділиться: sehen + fern.\"",\""das Fernsehen ні в множині - ні *die Fernsehen.\"",\""Неправильно: die Fernsehen → Правильно: das Fernsehen\"",\""Дія: fernsehen → ich sehe fern.\""]""}","{""lv"":""телебачення"",""study.translation"":""телебачення"",""study.explanation"":""[\""Головна думка: Іменник, тільки однина. Описує телебачення як засіб масової інформації або мовлення загалом.\"",\""das Fernsehen в основному означає: дивитися шоу.\"",\""Часто описує: дію.\"",\""das Fernsehen насамперед означає: телебачення як засіб масової інформації.\"",\""Часто описує: іменник (лише в однині).\"",\""fernsehen - це дієслово, який можна розділити на: ich sehe fern, du siehst fern.\"",\""das Fernsehen має іменник і тільки однина - він не має форми множини.\""]"",""study.examples"":""[{\""de\"":\""Was gibt es heute im Fernsehen?\"",\""lv\"":\""Що сьогодні по телевізору?\""},{\""de\"":\""Was gibt es heute im Fernsehen?\"",\""lv\"":\""що сьогодні по телевізору?\""},{\""de\"":\""Im Fernsehen läuft ein Film.\"",\""lv\"":\""по телевізору показують фільм.\""},{\""de\"":\""Das Fernsehen ist heute langweilig.\"",\""lv\"":\""телепрограма сьогодні нудна.\""},{\""de\"":\""Ich sehe heute Abend fern.\"",\""lv\"":\""Я сьогодні ввечері дивлюся телевізор.\""},{\""de\"":\""Was gibt es im Fernsehen?\"",\""lv\"":\""Що показують по телевізору?\""}]"",""study.tip"":""[\""Якщо мова йде про дію, використовуйте fernsehen (ich sehe fern). Говорячи про телепрограму чи ЗМІ, використовуйте das Fernsehen.\"",\""Іменник, тільки однина. Описує телебачення як засіб масової інформації або мовлення загалом.\""]"",""study.important"":""[\""fernsehen ділиться: sehen + fern.\"",\""das Fernsehen ні в множині - ні *die Fernsehen.\"",\""Неправильно: die Fernsehen → Правильно: das Fernsehen\"",\""Дія: fernsehen → ich sehe fern.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"57e186e83d9acb0b","57e186e83d9acb0b16edeef8f488def704bb99e620ef9627a7cabb724e9f0546","DISC-G2-A1-BG-L0019","g2/a1/bg|wieder|idx:661|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bg","SRC-LV-5ccea89fe5366a83","crowdin-staging/g2/bg-a1.json","wieder|idx:661","lv","atkal","wieder","","Отново","Отново","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"784168de15446b67","784168de15446b67bece2d3b05533f734767fdf44a49568a6e8f373e681fdb04","DISC-G2-A1-LT-L0019","g2/a1/lt|wieder|idx:661|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","lt","SRC-LV-5ccea89fe5366a83","crowdin-staging/g2/lt-a1.json","wieder|idx:661","lv","atkal","wieder","","vėl","vėl","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"7be90f092b0bf713","7be90f092b0bf7132365a8f90619aa2d76ca24af2f3248f46abbf1bd62ec3a96","DISC-G2-A1-NB-L0019","g2/a1/nb|wieder|idx:661|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","nb","SRC-LV-5ccea89fe5366a83","crowdin-staging/g2/nb-a1.json","wieder|idx:661","lv","atkal","wieder","","Helvete","Helvete","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"82fb8da752d819a9","82fb8da752d819a932870b4c550f99fa56cf5ed315876f7f9f7ac78fad6bdf57","DISC-G2-A1-RO-L0019","g2/a1/ro|wieder|idx:661|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","ro","SRC-LV-5ccea89fe5366a83","crowdin-staging/g2/ro-a1.json","wieder|idx:661","lv","atkal","wieder","","Din nou","Din nou","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"70989b12faf3e734","70989b12faf3e7341b2b555a04c6d3d9279c5675513a0df4166215cbae6ea2f8","DISC-G2-A1-TR-L0019","g2/a1/tr|wieder|idx:661|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","tr","SRC-LV-5ccea89fe5366a83","crowdin-staging/g2/tr-a1.json","wieder|idx:661","lv","atkal","wieder","","Tekrar","Tekrar","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"d09c39963f9957fd","d09c39963f9957fd4250d98ba65a2d0d14825f9843427531dbb89d13152fe0cf","DISC-G2-A1-UK-L0019","g2/a1/uk|wieder|idx:661|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","uk","SRC-LV-5ccea89fe5366a83","crowdin-staging/g2/uk-a1.json","wieder|idx:661","lv","atkal","wieder","","знову","знову","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"584475b30bfcc053","584475b30bfcc0536418ac605d248b36a77eaf56202f7209b4a7fce7fc1d9466","DISC-G2-A1-GR-L0005","g2/a1/gr|Geschichte|idx:233|lv and study|SOURCE_LV_ISSUE|gpt-5.6-luna","gr","SRC-LV-5cef54913d9ed5c7","crowdin-staging/g2/gr-a1.json","Geschichte|idx:233","lv and study","stāsts","Geschichte","","{""lv"":""ιστορία"",""study.translation"":""ιστορία"",""study.explanation"":""[\""Κύρια ιδέα: Geschichte μπορεί να σημαίνει ιστορία ή ιστορία.\"",\""Ο πληθυντικός die Geschichten συνήθως σημαίνει ιστορίες.\"",\""Όταν σημαίνει ιστορία, ο λόγος Geschichte συνήθως χρησιμοποιείται στον ενικό.\""]"",""study.examples"":""[{\""de\"":\""Er erzählt eine Geschichte.\"",\""lv\"":\""viņš stāsta stāstu.\""},{\""de\"":\""Ich lerne Geschichte.\"",\""lv\"":\""es mācos vēsturi.\""},{\""de\"":\""Das ist die Geschichte Deutschlands.\"",\""lv\"":\""tā ir Vācijas vēsture.\""}]"",""study.comparison"":""[{\""word\"":\""eine Geschichte\"",\""meaning\"":\""ιστορία\"",\""example\"":\""eine interessante Geschichte – μια ενδιαφέρουσα ιστορία\""},{\""word\"":\""Geschichte\"",\""meaning\"":\""ιστορία\"",\""example\"":\""Geschichte lernen – μάθε ιστορία\""}]"",""study.tip"":""[\""Με ein και πληθυντικό, συνήθως πρόκειται για ιστορία.\"",\""Ως μάθημα, Geschichte σημαίνει ιστορία.\""]"",""study.important"":""[\""die Geschichten = ιστορίες.\"",\""Geschichte ως ιστορία συνήθως είναι στον ενικό.\""]""}","{""lv"":""ιστορία"",""study.translation"":""ιστορία"",""study.explanation"":""[\""Κύρια ιδέα: Geschichte μπορεί να σημαίνει ιστορία ή ιστορία.\"",\""Ο πληθυντικός die Geschichten συνήθως σημαίνει ιστορίες.\"",\""Όταν σημαίνει ιστορία, ο λόγος Geschichte συνήθως χρησιμοποιείται στον ενικό.\""]"",""study.examples"":""[{\""de\"":\""Er erzählt eine Geschichte.\"",\""lv\"":\""viņš stāsta stāstu.\""},{\""de\"":\""Ich lerne Geschichte.\"",\""lv\"":\""es mācos vēsturi.\""},{\""de\"":\""Das ist die Geschichte Deutschlands.\"",\""lv\"":\""tā ir Vācijas vēsture.\""}]"",""study.comparison"":""[{\""word\"":\""eine Geschichte\"",\""meaning\"":\""ιστορία\"",\""example\"":\""eine interessante Geschichte – μια ενδιαφέρουσα ιστορία\""},{\""word\"":\""Geschichte\"",\""meaning\"":\""ιστορία\"",\""example\"":\""Geschichte lernen – μάθε ιστορία\""}]"",""study.tip"":""[\""Με ein και πληθυντικό, συνήθως πρόκειται για ιστορία.\"",\""Ως μάθημα, Geschichte σημαίνει ιστορία.\""]"",""study.important"":""[\""die Geschichten = ιστορίες.\"",\""Geschichte ως ιστορία συνήθως είναι στον ενικό.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"ec466b682cadf5c2","ec466b682cadf5c28072922ea6214991c10f16ec160e4d3b6b8eab29a11dc4f3","DISC-G2-A1-DA-L0016","g2/a1/da|Erdbeere|idx:76|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","da","SRC-LV-5d16f6192a1313cc","crowdin-staging/g2/da-a1.json","Erdbeere|idx:76","lv","zemene","Erdbeere","","Jordbær","Jordbær","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"08638a8556135be5","08638a8556135be598bebebc9f6fcd564a117623a779f24351a5c48b3cc773dc","DISC-G2-A1-ET-L0016","g2/a1/et|Erdbeere|idx:76|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","et","SRC-LV-5d16f6192a1313cc","crowdin-staging/g2/et-a1.json","Erdbeere|idx:76","lv","zemene","Erdbeere","","maasikas","maasikas","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
