review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"9a75c72b922c3e2d","9a75c72b922c3e2d6baea040efd898a931609e435d8f9d178676d7a0d190a950","DISC-G2-A1-IT-L0002","g2/a1/it|klein|idx:6|lv, study.translation, study.explanation, study.examples, study.tip|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","klein|idx:6","lv, study.translation, study.explanation, study.examples, study.tip","mazs","klein","","{""lv"":""Mazes"",""study.translation"":""Mazes"",""study.explanation"":""[\""Idea principale: dimensioni ridotte o portata.\"",\""Piccolo galvenokārt nozīmē: mazs izmērs.\"",\""Bieži raksturo: lateas/personas izmēru.\""]"",""study.examples"":""[{\""de\"":\""Das Zimmer ist klein.\"",\""lv\"":\""La stanza è piccola.\""},{\""de\"":\""Das Kind ist noch klein.\"",\""lv\"":\""Istaba ir maza.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Bērns vēl ir mazs.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Ne prendo solo un po'.\""},{\""de\"":\""Das Kind ist klein.\"",\""lv\"":\""Il bambino è piccolo.\""}]"",""study.tip"":""[\""klein = piccolo\"",\""Usa klein quando il contesto corrisponde a questo significato.\""]""}","{""lv"":""Mazes"",""study.translation"":""Mazes"",""study.explanation"":""[\""Idea principale: dimensioni ridotte o portata.\"",\""Piccolo galvenokārt nozīmē: mazs izmērs.\"",\""Bieži raksturo: lateas/personas izmēru.\""]"",""study.examples"":""[{\""de\"":\""Das Zimmer ist klein.\"",\""lv\"":\""La stanza è piccola.\""},{\""de\"":\""Das Kind ist noch klein.\"",\""lv\"":\""Istaba ir maza.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Bērns vēl ir mazs.\""},{\""de\"":\""Ich habe eine kleine Tasche.\"",\""lv\"":\""Ne prendo solo un po'.\""},{\""de\"":\""Das Kind ist klein.\"",\""lv\"":\""Il bambino è piccolo.\""}]"",""study.tip"":""[\""klein = piccolo\"",\""Usa klein quando il contesto corrisponde a questo significato.\""]""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"9b6e0607142bd5ef","9b6e0607142bd5ef7d380c614e70afb696f7c0228c4165aa912ab997dc900665","DISC-G2-A1-IT-L0017","g2/a1/it|März|idx:396|lv|WRONG_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","März|idx:396","lv","marts","März","","Marzo","Marzo","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"9f9e35bc6bebbd5a","9f9e35bc6bebbd5ac4c6876ea7f12790d448ac63c81eadb6cc22d52ee76c59bb","DISC-G2-A1-IT-L0003","g2/a1/it|sein|idx:542|study|TARGET_LANGUAGE_MIXED|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","sein|idx:542","study","būt","sein","","{""study.translation"":""Siamo entrambi incasinati a causa delle nostre famiglie,"",""study.explanation"":""[\""Galvenā doma: seno nozīmē būt.\"",\""Seno ir vieni no svarīgākajiem vacu darbības vārdiem.\"",\""A1 līmenī īpaši svarīgas formas ir ich bin, du bist, er ist een wir sind.\"",\""Sein lateo arī daudzos teikumos ar atrašanās vietu vai īpašību.\""]"",""study.examples"":""[{\""de\"":\""Ich bin hier.\"",\""lv\"":\""Sono certo.\""},{\""de\"":\""Du bist müde.\"",\""lv\"":\""Sei un nuovo.\""},{\""de\"":\""Er ist Lehrer.\"",\""lv\"":\""Vite ir skolotājs.\""},{\""de\"":\""Wir sind zu Hause.\"",\""lv\"":\""- Siamo all'approdo. - Siamo a casa.\""}]"",""study.comparison"":""[{\""word\"":\""sein\"",\""meaning\"":\""Siamo entrambi incasinati a causa delle nostre famiglie,\"",\""example\"":\""Sono qui.\""},{\""word\"":\""haben\"",\""meaning\"":\""J\"",\""example\"":\""Ho tempo.\""},{\""word\"":\""werden\"",\""meaning\"":\""Kļût\"",\""example\"":\""Mi stanco.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Palikt\"",\""example\"":\""Rimango qui.\""}]"",""study.tip"":""{\""text\"":\""Atceries: ich bin = es esmu; du bist = tu esi.\""}"",""study.important"":""[\""Le forme di sein devono essere imparate separatamente: bin, bist, ist, sind.\"",\""Ich bin è \\\""io sono\\\"", non \\\""io stare\\\"".\""]""}","{""study.translation"":""Siamo entrambi incasinati a causa delle nostre famiglie,"",""study.explanation"":""[\""Galvenā doma: seno nozīmē būt.\"",\""Seno ir vieni no svarīgākajiem vacu darbības vārdiem.\"",\""A1 līmenī īpaši svarīgas formas ir ich bin, du bist, er ist een wir sind.\"",\""Sein lateo arī daudzos teikumos ar atrašanās vietu vai īpašību.\""]"",""study.examples"":""[{\""de\"":\""Ich bin hier.\"",\""lv\"":\""Sono certo.\""},{\""de\"":\""Du bist müde.\"",\""lv\"":\""Sei un nuovo.\""},{\""de\"":\""Er ist Lehrer.\"",\""lv\"":\""Vite ir skolotājs.\""},{\""de\"":\""Wir sind zu Hause.\"",\""lv\"":\""- Siamo all'approdo. - Siamo a casa.\""}]"",""study.comparison"":""[{\""word\"":\""sein\"",\""meaning\"":\""Siamo entrambi incasinati a causa delle nostre famiglie,\"",\""example\"":\""Sono qui.\""},{\""word\"":\""haben\"",\""meaning\"":\""J\"",\""example\"":\""Ho tempo.\""},{\""word\"":\""werden\"",\""meaning\"":\""Kļût\"",\""example\"":\""Mi stanco.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Palikt\"",\""example\"":\""Rimango qui.\""}]"",""study.tip"":""{\""text\"":\""Atceries: ich bin = es esmu; du bist = tu esi.\""}"",""study.important"":""[\""Le forme di sein devono essere imparate separatamente: bin, bist, ist, sind.\"",\""Ich bin è \\\""io sono\\\"", non \\\""io stare\\\"".\""]""}","PASS","","TARGET_LANGUAGE_MIXED","WRONG_OR_MIXED_TARGET_LANGUAGE","","CRITICAL","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"9fddafb05e426be1","9fddafb05e426be1d8d0a7368c5ecd21916fabdebaaa47c37466820d72a8a00f","DISC-G2-A1-IT-L0004","g2/a1/it|neunzehnte|idx:444|lv|WRONG_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","neunzehnte|idx:444","lv","deviņpadsmitais","neunzehnte","","Il diciannovesimo","Il diciannovesimo","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"a48f5ee2809aada9","a48f5ee2809aada9a6c578148bcb8aa14f2c6b331244f96720d91a9dd2b5537d","DISC-G2-A1-IT-L0012","g2/a1/it|immer|idx:294|lv|WRONG_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","immer|idx:294","lv","vienmēr","immer","","Sempre","Sempre","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"a550644ab1e7d352","a550644ab1e7d3520979bc8bb56b0fdf5f7c191a11949849a34495e71b2ab784","DISC-G2-A1-IT-L0006","g2/a1/it|danken|idx:127|lv|WRONG_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","danken|idx:127","lv","pateikties","danken","","Grazie...","Grazie...","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"a5af337b8fe0433d","a5af337b8fe0433d8bd14aba5cdd9e00fa9a62714921ad99eb752ae616755350","DISC-G2-A1-IT-L0004","g2/a1/it|Großeltern|idx:251|lv|WRONG_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","Großeltern|idx:251","lv","vecvecāki","Großeltern","","nonni","nonni","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"a728527a92a1ec5b","a728527a92a1ec5bf66da83e8ec5040e27800352b174c5a9587e63f7dda7af3a","DISC-G2-A1-IT-L0015","g2/a1/it|Kalender|idx:331|lv|TARGET_LANGUAGE_LEAK|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","Kalender|idx:331","lv","kalendārs","Kalender","","Calendari","Calendari","PASS","","TARGET_LANGUAGE_LEAK","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"a839a0d0bab5da82","a839a0d0bab5da82b3168cbf09cdf28d6e4be830b4318e02b8566cc45bede887","DISC-G2-A1-IT-L0004","g2/a1/it|im|idx:293|study.translation, study.explanation, study.examples, study.comparison, study.tip, study.important|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","im|idx:293","study.translation, study.explanation, study.examples, study.comparison, study.tip, study.important","iekšā (-ā) • kur?","im","","{""study.translation"":""In • Dove?"",""study.explanation"":""[\""Im è un'abbreviazione della preposizione in e dell'articolo dem.\"",\""Pilnā forma: in dem (pettine?).\"",\""Lieto a vīriešu un nekatras dzimtes latevārdiem, kad atbild uz jautājumu kur? — atrašanās vieta.\"",\""Ar laiku un gadalaikiem: a gennaio, in estate, in inverno.\"",\""Praksē gandrīz vienmēr dito im, Nevis pilno in dem.\""]"",""study.examples"":""[{\""de\"":\""Ich bin im Park.\"",\""lv\"":\""È un parka.\""},{\""de\"":\""Wir wohnen im Zentrum.\"",\""lv\"":\""Mēs dzīvojam centrā.\""},{\""de\"":\""Im Sommer ist es warm.\"",\""lv\"":\""Vasarā ir limon.\""},{\""de\"":\""Er arbeitet im Büro.\"",\""lv\"":\""Viņš strādā birojā.\""},{\""de\"":\""Das Kind spielt im Garten.\"",\""lv\"":\""Il bambino gioca in giardino.\""},{\""de\"":\""Im Januar fahre ich nach Wien.\"",\""lv\"":\""Janvārī est braucu uz Vīni.\""},{\""de\"":\""Sie ist im Kino.\"",\""lv\"":\""- Vado al cinema.\""},{\""de\"":\""Wir treffen uns im Restaurant.\"",\""lv\"":\""Mēs tiekamies restorānā.\""}]"",""study.comparison"":""[{\""word\"":\""im\"",\""meaning\"":\""Dentro dove? (a chi?)\"",\""example\"":\""im Park – Gia', Broadway. Al parco.\""},{\""word\"":\""ins\"",\""meaning\"":\""Dentro, dove? (Segu.)\"",\""example\"":\""ins Kino – Uz cinema\""},{\""word\"":\""in\"",\""meaning\"":\""Iekšā / uz (bez artikula)\"",\""example\"":\""in Berlin – Berlino\""},{\""word\"":\""am\"",\""meaning\"":\""Torta, kur? (cresta?)\"",\""example\"":\""am Fenster – Loga di torta\""},{\""word\"":\""auf\"",\""meaning\"":\""Uz virsmas\"",\""example\"":\""auf dem Tisch – Dove?\""}]"",""study.tip"":""[\""Ricorda: in + dem → im (dove?, dove?).\"",\""Dove? → ins; dove? → im — non confondere questi due!\""]"",""study.important"":""[\""im = in dem, solo con un sostantivo maschile o neutro nel caso dativo (dove?).\"",\""Risponde a dove?, non dove? — luogo, non movimento.\"",\""Con mesi e stagioni: im März, im Herbst.\"",\""Per il genere femminile: in der Schule, non im Schule.\""]""}","{""study.translation"":""In • Dove?"",""study.explanation"":""[\""Im è un'abbreviazione della preposizione in e dell'articolo dem.\"",\""Pilnā forma: in dem (pettine?).\"",\""Lieto a vīriešu un nekatras dzimtes latevārdiem, kad atbild uz jautājumu kur? — atrašanās vieta.\"",\""Ar laiku un gadalaikiem: a gennaio, in estate, in inverno.\"",\""Praksē gandrīz vienmēr dito im, Nevis pilno in dem.\""]"",""study.examples"":""[{\""de\"":\""Ich bin im Park.\"",\""lv\"":\""È un parka.\""},{\""de\"":\""Wir wohnen im Zentrum.\"",\""lv\"":\""Mēs dzīvojam centrā.\""},{\""de\"":\""Im Sommer ist es warm.\"",\""lv\"":\""Vasarā ir limon.\""},{\""de\"":\""Er arbeitet im Büro.\"",\""lv\"":\""Viņš strādā birojā.\""},{\""de\"":\""Das Kind spielt im Garten.\"",\""lv\"":\""Il bambino gioca in giardino.\""},{\""de\"":\""Im Januar fahre ich nach Wien.\"",\""lv\"":\""Janvārī est braucu uz Vīni.\""},{\""de\"":\""Sie ist im Kino.\"",\""lv\"":\""- Vado al cinema.\""},{\""de\"":\""Wir treffen uns im Restaurant.\"",\""lv\"":\""Mēs tiekamies restorānā.\""}]"",""study.comparison"":""[{\""word\"":\""im\"",\""meaning\"":\""Dentro dove? (a chi?)\"",\""example\"":\""im Park – Gia', Broadway. Al parco.\""},{\""word\"":\""ins\"",\""meaning\"":\""Dentro, dove? (Segu.)\"",\""example\"":\""ins Kino – Uz cinema\""},{\""word\"":\""in\"",\""meaning\"":\""Iekšā / uz (bez artikula)\"",\""example\"":\""in Berlin – Berlino\""},{\""word\"":\""am\"",\""meaning\"":\""Torta, kur? (cresta?)\"",\""example\"":\""am Fenster – Loga di torta\""},{\""word\"":\""auf\"",\""meaning\"":\""Uz virsmas\"",\""example\"":\""auf dem Tisch – Dove?\""}]"",""study.tip"":""[\""Ricorda: in + dem → im (dove?, dove?).\"",\""Dove? → ins; dove? → im — non confondere questi due!\""]"",""study.important"":""[\""im = in dem, solo con un sostantivo maschile o neutro nel caso dativo (dove?).\"",\""Risponde a dove?, non dove? — luogo, non movimento.\"",\""Con mesi e stagioni: im März, im Herbst.\"",\""Per il genere femminile: in der Schule, non im Schule.\""]""}","PASS","","TARGET_LANGUAGE_ERROR","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"ae6f66605d67dfb2","ae6f66605d67dfb2c9be2e7e514468d81317b495e29277f3c0c9c6db87d6f4a0","DISC-G2-A1-IT-L0001","g2/a1/it|vom|idx:634|study|TARGET_LANGUAGE_MIXED_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","vom|idx:634","study","no","vom","","{""study.translation"":""No"",""study.explanation"":""[\""Vom ir prievārda of an artikula dem saīsinājums.\"",\""Forma Pilnā: von dem (pettine?).\"",\""Lieto a vīriešu un nekatras dzimtes lietvārdiem, kad norāda izcelsmi vai virzienu no kā.\"",\""Atbild uz jautājumiem no kā? vai no kuriani?\"",\""In pratica, il vom è quasi sempre usato al posto del von dem completo.\""]"",""study.examples"":""[{\""de\"":\""Ich komme vom Bahnhof.\"",\""lv\"":\""È naku no stacijas.\""},{\""de\"":\""Das Geschenk ist vom Vater.\"",\""lv\"":\""Davana ir no tēva.\""},{\""de\"":\""Er kommt vom Arzt.\"",\""lv\"":\""Viņš nāk no ārsta.\""},{\""de\"":\""Sie fährt vom Flughafen.\"",\""lv\"":\""Viña brauc no lidostas.\""},{\""de\"":\""Das ist vom Markt.\"",\""lv\"":\""La borsa non è tirgus.\""},{\""de\"":\""Wir kommen vom Fest.\"",\""lv\"":\""Mēs nākam no svinībām.\""},{\""de\"":\""Er holt Milch vom Bauern.\"",\""lv\"":\""Non c'è bisogno tu lo faccia.\""},{\""de\"":\""Die Nachricht ist vom Chef.\"",\""lv\"":\""Ziņa ir no priekšnieka.\""}]"",""study.comparison"":""[{\""word\"":\""vom\"",\""meaning\"":\""No (konkrēta lagena, kam?)\"",\""example\"":\""vom Bahnhof – Dalla Stazione\""},{\""word\"":\""von\"",\""meaning\"":\""No (vispārīgi)\"",\""example\"":\""von mir – Nessuna manicure\""},{\""word\"":\""aus\"",\""meaning\"":\""No iekšienes / izcelsme\"",\""example\"":\""aus Deutschland – Non possiamo permetterci una vacanza.\""},{\""word\"":\""ab\"",\""meaning\"":\""Sākot no (laiks/vieta)\"",\""example\"":\""ab Montag – A partire da lunedì\""},{\""word\"":\""zu\"",\""meaning\"":\""Uz / torta (pretēja virzienam)\"",\""example\"":\""zum Arzt – Crostata all'arsta\""}]"",""study.tip"":""[\""Ricorda: von + dem → vom (a chi?).\"",\""Nel linguaggio colloquiale non si dice mai von dem — si usa vom.\""]"",""study.important"":""[\""vom = von dem, solo con sostantivi maschili o neutri al dativo.\"",\""Indica l'origine, la fonte o la direzione da qualcosa di specifico.\"",\""Per i sostantivi femminili: von der Mutter, non vom Mutter.\"",\""Non confondere con aus (origine da un paese) o ab (punto di partenza).\""]""}","{""study.translation"":""No"",""study.explanation"":""[\""Vom ir prievārda of an artikula dem saīsinājums.\"",\""Forma Pilnā: von dem (pettine?).\"",\""Lieto a vīriešu un nekatras dzimtes lietvārdiem, kad norāda izcelsmi vai virzienu no kā.\"",\""Atbild uz jautājumiem no kā? vai no kuriani?\"",\""In pratica, il vom è quasi sempre usato al posto del von dem completo.\""]"",""study.examples"":""[{\""de\"":\""Ich komme vom Bahnhof.\"",\""lv\"":\""È naku no stacijas.\""},{\""de\"":\""Das Geschenk ist vom Vater.\"",\""lv\"":\""Davana ir no tēva.\""},{\""de\"":\""Er kommt vom Arzt.\"",\""lv\"":\""Viņš nāk no ārsta.\""},{\""de\"":\""Sie fährt vom Flughafen.\"",\""lv\"":\""Viña brauc no lidostas.\""},{\""de\"":\""Das ist vom Markt.\"",\""lv\"":\""La borsa non è tirgus.\""},{\""de\"":\""Wir kommen vom Fest.\"",\""lv\"":\""Mēs nākam no svinībām.\""},{\""de\"":\""Er holt Milch vom Bauern.\"",\""lv\"":\""Non c'è bisogno tu lo faccia.\""},{\""de\"":\""Die Nachricht ist vom Chef.\"",\""lv\"":\""Ziņa ir no priekšnieka.\""}]"",""study.comparison"":""[{\""word\"":\""vom\"",\""meaning\"":\""No (konkrēta lagena, kam?)\"",\""example\"":\""vom Bahnhof – Dalla Stazione\""},{\""word\"":\""von\"",\""meaning\"":\""No (vispārīgi)\"",\""example\"":\""von mir – Nessuna manicure\""},{\""word\"":\""aus\"",\""meaning\"":\""No iekšienes / izcelsme\"",\""example\"":\""aus Deutschland – Non possiamo permetterci una vacanza.\""},{\""word\"":\""ab\"",\""meaning\"":\""Sākot no (laiks/vieta)\"",\""example\"":\""ab Montag – A partire da lunedì\""},{\""word\"":\""zu\"",\""meaning\"":\""Uz / torta (pretēja virzienam)\"",\""example\"":\""zum Arzt – Crostata all'arsta\""}]"",""study.tip"":""[\""Ricorda: von + dem → vom (a chi?).\"",\""Nel linguaggio colloquiale non si dice mai von dem — si usa vom.\""]"",""study.important"":""[\""vom = von dem, solo con sostantivi maschili o neutri al dativo.\"",\""Indica l'origine, la fonte o la direzione da qualcosa di specifico.\"",\""Per i sostantivi femminili: von der Mutter, non vom Mutter.\"",\""Non confondere con aus (origine da un paese) o ab (punto di partenza).\""]""}","PASS","","TARGET_LANGUAGE_MIXED_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"b02552fc31d0ab20","b02552fc31d0ab20ca40edb5fcd29461fe48b8e0a195daf22acf14cd77488429","DISC-G2-A1-IT-L0005","g2/a1/it|lernen|idx:4|lv|WRONG_LANGUAGE|gpt-5.6-luna","it","","crowdin-staging/g2/it-a1.json","lernen|idx:4","lv","mācīties","lernen","","imparare","imparare","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
