escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-046","BATCH-109","7882b366d041b38c","7882b366d041b38ccbc7d20f301ad108e1ca850ad8c3c6369f0042fbfc262db6","DISC-G2-A1-NB-L0016","g2/a1/nb|Ärztin|idx:46|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","Ärztin|idx:46","lv","ārste","Ärztin","","Naisarst","Naisarst","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","kvinnelig lege","For Ärztin|idx:46, path lv, “Naisarst” is linguistically wrong, malformed, or incomplete for German “Ärztin” and LV “ārste”. Replace it with the individually reviewed nb wording “kvinnelig lege”."
"ESC-046","BATCH-107","383c23182330ebb1","383c23182330ebb1cff4ec0ec9f702126a24f3dcc26d93a4624a6f1e3ebf4a11","DISC-G2-A1-NB-L0017","g2/a1/nb|atmen|idx:47|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","atmen|idx:47","lv","elpot","atmen","","Hingama","Hingama","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","puste","For atmen|idx:47, path lv, “Hingama” is linguistically wrong, malformed, or incomplete for German “atmen” and LV “elpot”. Replace it with the individually reviewed nb wording “puste”."
"ESC-046","BATCH-108","44f00baacb839059","44f00baacb839059ce1165bde11dfb8b4133830ac78c7695f73aa0bcec66a47b","DISC-G2-A1-NB-L0002","g2/a1/nb|auch|idx:48|study.translation; study.explanation; study.examples[].lv|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","auch|idx:48","study.translation; study.explanation; study.examples[].lv","arī","auch","","{""study.translation"":""Ka"",""study.explanation"":""[\""Põhiidee: Välle sagegasem ja neutrausem \\\""ka\\\"".\"",\""Auch gejätt säyttä: ääää \\\""ka\\\"".\"",\""Sagelie speltab: keipendust.\"",\""Også på det vanligste ordet \\\""ka\\\"".\""]"",""study.examples[].lv"":null}","{""study.translation"":""Ka"",""study.explanation"":""[\""Põhiidee: Välle sagegasem ja neutrausem \\\""ka\\\"".\"",\""Auch gejätt säyttä: ääää \\\""ka\\\"".\"",\""Sagelie speltab: keipendust.\"",\""Også på det vanligste ordet \\\""ka\\\"".\""]"",""study.examples[].lv"":null}","PASS","","TARGET_LANGUAGE_ERROR","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","For auch|idx:48, the requested path study.translation; study.explanation; study.examples[].lv is absent from production. The captured payload “{""study.translation"":""Ka"",""study.explanation"":""[\""Põhiidee: Välle sagegasem ja neutrausem \\\""ka\\\"".\"",\""Auch gejätt säyttä: ääää \\\""ka\\\"".\"",\""Sa…” does not expose that field; German “auch” and LV “arī” identify the intended meaning, but an exact field-level target must be created or selected before a linguistic replacement can be approved."
"ESC-046","BATCH-109","9099c65a0946a592","9099c65a0946a592f28b001326d98f256f7bd944847c6891eb82b05c2486b026","DISC-G2-A1-NB-L0025","g2/a1/nb|auf dem Boden|idx:58|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","auf dem Boden|idx:58","lv","uz grīdas","auf dem Boden","","Põrandal","Põrandal","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","på gulvet","For auf dem Boden|idx:58, path lv, “Põrandal” is linguistically wrong, malformed, or incomplete for German “auf dem Boden” and LV “uz grīdas”. Replace it with the individually reviewed nb wording “på gulvet”."
"ESC-046","BATCH-109","9b3b832c9bd69f83","9b3b832c9bd69f83f10ab248bebbd57c8f8cd20052013879de7dc61fb78553ba","DISC-G2-A1-NB-L0003","g2/a1/nb|auf|idx:49|study.translation; study.examples[].lv; study.comparison|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","auf|idx:49","study.translation; study.examples[].lv; study.comparison","uz","auf","","{""study.translation"":""Peale"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""auf\"",\""meaning\"":\""Peale (pinnale või ölspoole)\"",\""example\"":\""Ich stelle das Glas auf den Tisch. – Ma panen klaasi lauale.\""},{\""word\"":\""an\"",\""meaning\"":\""Juures (vertikal pinne)\"",\""example\"":\""Ich hänge das Bild an die Wand. – Ma riputan pildi seinela.\""},{\""word\"":\""in\"",\""meaning\"":\""Vi ses\"",\""example\"":\""Ich lege das Buch in die Tasche. – Ma panen kibi kotti.\""}]""}","{""study.translation"":""Peale"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""auf\"",\""meaning\"":\""Peale (pinnale või ölspoole)\"",\""example\"":\""Ich stelle das Glas auf den Tisch. – Ma panen klaasi lauale.\""},{\""word\"":\""an\"",\""meaning\"":\""Juures (vertikal pinne)\"",\""example\"":\""Ich hänge das Bild an die Wand. – Ma riputan pildi seinela.\""},{\""word\"":\""in\"",\""meaning\"":\""Vi ses\"",\""example\"":\""Ich lege das Buch in die Tasche. – Ma panen kibi kotti.\""}]""}","PASS","","TARGET_LANGUAGE_ERROR","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","For auf|idx:49, the requested path study.translation; study.examples[].lv; study.comparison is absent from production. The captured payload “{""study.translation"":""Peale"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""auf\"",\""meaning\"":\""Peale (pinnale või ölspoole)\"",\""example…” does not expose that field; German “auf” and LV “uz” identify the intended meaning, but an exact field-level target must be created or selected before a linguistic replacement can be approved."
"ESC-046","BATCH-107","3b0bab90d5ba03f4","3b0bab90d5ba03f45d7f6518fe8c55447ab217dca0d0d16632b43b1e450bf940","DISC-G2-A1-NB-L0018","g2/a1/nb|aufmachen|idx:50|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","aufmachen|idx:50","lv","atvērt","aufmachen","","Avama","Avama","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","åpne","For aufmachen|idx:50, path lv, “Avama” is linguistically wrong, malformed, or incomplete for German “aufmachen” and LV “atvērt”. Replace it with the individually reviewed nb wording “åpne”."
"ESC-046","BATCH-110","c813ce68c784dc16","c813ce68c784dc16f3824314a9d26f6d57dc0f4248fea27b88d4cba5c0fb6266","DISC-G2-A1-NB-L0019","g2/a1/nb|aufpassen|idx:51|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","aufpassen|idx:51","lv","uzmanīties","aufpassen","","Ettevaatlik olema","Ettevaatlik olema","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","passe på","For aufpassen|idx:51, path lv, “Ettevaatlik olema” is linguistically wrong, malformed, or incomplete for German “aufpassen” and LV “uzmanīties”. Replace it with the individually reviewed nb wording “passe på”."
"ESC-046","BATCH-110","b22dc69bae9858f7","b22dc69bae9858f7a64aa24c88b3e6d578c6cf3778ba59c51b5a536c38abdd28","DISC-G2-A1-NB-L0005","g2/a1/nb|aufs|idx:60|study.translation; study.explanation; study.examples[].lv; study.comparison|TARGET_LANGUAGE_ERROR|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","aufs|idx:60","study.translation; study.explanation; study.examples[].lv; study.comparison","uz","aufs","","{""study.translation"":""Peale • Otsa • Kuhu?"",""study.explanation"":""[\""Aufs on eessõna auf ja artikli das lühend.\"",\""Täisform: auf das (akkusativ).\"",\""Kasutatakse, kui taksi vejde suunda kindla asja või pinna poole — västät säusulele kuhu?\"",\""Ofte brukt til koos bevegelse: peale ronima, istuma, asetama, millegi peale judma.\"",\""Kõnekeeles ja igapäueelus brukes nesten alati aufs, mitte täisvormi auf das.\""]"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""aufs\"",\""meaning\"":\""Kindlale asjale (Akk.)\"",\""example\"":\""aufs Dach – Kattesele\""},{\""word\"":\""auf\"",\""meaning\"":\""Pinnale või ölspoole\"",\""example\"":\""auf den Tisch – Lovlig\""},{\""word\"":\""an\"",\""meaning\"":\""Vertikal rot\"",\""example\"":\""an die Wand – Signal\""},{\""word\"":\""ins\"",\""meaning\"":\""Sissy (ruumi sisse)\"",\""example\"":\""ins Zimmer – Hane\""},{\""word\"":\""zum\"",\""meaning\"":\""-sse / sse (dativ)\"",\""example\"":\""zum Arzt – Lege i medisin\""}]""}","{""study.translation"":""Peale • Otsa • Kuhu?"",""study.explanation"":""[\""Aufs on eessõna auf ja artikli das lühend.\"",\""Täisform: auf das (akkusativ).\"",\""Kasutatakse, kui taksi vejde suunda kindla asja või pinna poole — västät säusulele kuhu?\"",\""Ofte brukt til koos bevegelse: peale ronima, istuma, asetama, millegi peale judma.\"",\""Kõnekeeles ja igapäueelus brukes nesten alati aufs, mitte täisvormi auf das.\""]"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""aufs\"",\""meaning\"":\""Kindlale asjale (Akk.)\"",\""example\"":\""aufs Dach – Kattesele\""},{\""word\"":\""auf\"",\""meaning\"":\""Pinnale või ölspoole\"",\""example\"":\""auf den Tisch – Lovlig\""},{\""word\"":\""an\"",\""meaning\"":\""Vertikal rot\"",\""example\"":\""an die Wand – Signal\""},{\""word\"":\""ins\"",\""meaning\"":\""Sissy (ruumi sisse)\"",\""example\"":\""ins Zimmer – Hane\""},{\""word\"":\""zum\"",\""meaning\"":\""-sse / sse (dativ)\"",\""example\"":\""zum Arzt – Lege i medisin\""}]""}","PASS","","TARGET_LANGUAGE_ERROR","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","For aufs|idx:60, the requested path study.translation; study.explanation; study.examples[].lv; study.comparison is absent from production. The captured payload “{""study.translation"":""Peale • Otsa • Kuhu?"",""study.explanation"":""[\""Aufs on eessõna auf ja artikli das lühend.\"",\""Täisform: auf das (akkusativ).\"",\…” does not expose that field; German “aufs” and LV “uz” identify the intended meaning, but an exact field-level target must be created or selected before a linguistic replacement can be approved."
"ESC-046","BATCH-108","639784f5dd4844b8","639784f5dd4844b8099270d8695e179fab86ba08c6200119464d5b12294e4ec7","DISC-G2-A1-NB-L0020","g2/a1/nb|aufstehen|idx:52|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","aufstehen|idx:52","lv","piecelties","aufstehen","","Püsti nousma","Püsti nousma","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","stå opp","For aufstehen|idx:52, path lv, “Püsti nousma” is linguistically wrong, malformed, or incomplete for German “aufstehen” and LV “piecelties”. Replace it with the individually reviewed nb wording “stå opp”."
"ESC-046","BATCH-107","12ecae60fcb3b744","12ecae60fcb3b744f7721f9baedd091bcc1d5474c317468af56ab739a7f6a36e","DISC-G2-A1-NB-L0021","g2/a1/nb|aufwärts|idx:53|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","nb","","crowdin-staging/g2/nb-a1.json","aufwärts|idx:53","lv","uz augšu","aufwärts","","Ülespoole","Ülespoole","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","LABOT","oppover","For aufwärts|idx:53, path lv, “Ülespoole” is linguistically wrong, malformed, or incomplete for German “aufwärts” and LV “uz augšu”. Replace it with the individually reviewed nb wording “oppover”."
