language,productionCurrent,candidateLookupLemma,masterAuthority,officialUrl,searchHeadword,senseToVerify,technicalBlocker,OWNER_STATUS,OWNER_NEW,OWNER_NOTE,OWNER_EVIDENCE_ACCEPTED,OWNER_REVIEWED_AT
bs,kuća,kuća,Institut za jezik Univerziteta u Sarajevu,https://izj.unsa.ba/,kuća,Building/dwelling (DE das Haus),MASTER-listed source lacks verified automated dictionary entry adapter,,,,,
fr,Maison,maison,Académie française — Dictionnaire de l'Académie française,https://www.dictionnaire-academie.fr/#/recherche/maison,maison,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «maison»,,,,,
hr,Куќа,kuća,Institut za hrvatski jezik — Školski rječnik / rjecnik.hr,https://rjecnik.hr/?query=ku%C4%87a,kuća,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «kuća»,,,,,
is,Maya,hús,Málið.is (Árnastofnun language portal),https://bin.arnastofnun.is/beygingarstodur/nidur.php?adgerdir=leit&nafn=h%C3%BAs,hús,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «hús»,,,,,
it,casa,casa,Accademia della Crusca — Lessicografia (lessicografia.it),https://www.lessicografia.it/search?q=casa,casa,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «casa»,,,,,
lb,Haus,Haus,LOD — Lëtzebuerger Online Dictionnaire,https://lod.lu/search/Haus,Haus,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «Haus»,,,,,
lt,namas,namas,Valstybinė lietuvių kalbos komisija (VLKK),https://ekalba.lt/zodynas?q=namas,namas,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «namas»,,,,,
hu,Ház,Ház,Akadémiai Nagyszótár (nagyszotar.nytud.hu),https://nagyszotar.nytud.hu/dictsearch.html?query=H%C3%A1z&mode=normal&hwonly=true,Ház,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «Ház»,,,,,
nl,Huis,huis,Woordenlijst Nederlandse Taal,https://woordenlijst.org/#/zoeken/huis,huis,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «huis»,,,,,
pl,Dom,dom,Wielki słownik języka polskiego PAN (wsjp.pl),https://rjp.pan.pl/,dom,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «dom»,,,,,
pt,)saber,casa,Dicionário Académico de Lisboa,https://dicionario.acad-ciencias.pt/#/search/casa,casa,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «casa»,,,,,
ro,Casa,casă,"DOOM — Dicționarul ortografic, ortoepic și morfologic",https://doom.lingv.ro/cautare?q=casa,casă,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «casă»,,,,,
sq,Për në shtëpi.,Për në shtëpi.,Akademia e Shkencave e Shqipërisë,https://akad.gov.al/,Për në shtëpi.,Building/dwelling (DE das Haus),MASTER-listed source lacks verified automated dictionary entry adapter,,,,,
sr,Куќа,Куќа,Matica srpska,https://www.isj.sanu.ac.rs/,Куќа,Building/dwelling (DE das Haus),MASTER-listed source lacks verified automated dictionary entry adapter,,,,,
sv,Maja,hus,Svenska Akademiens ord böcker (SAOL / SO / SAOB),https://svenska.se/saol/#/search/hus,hus,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «hus»,,,,,
bg,Къща,къща,Български речник онлайн (BERON),https://beron.mon.bg/dictionary/search?q=%D0%BA%D1%8A%D1%89%D0%B0,къща,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «къща»,,,,,
mk,Куќа,Куќа,Дигитален речник на македонскиот јазик (drmj.eu),https://imj.ukim.edu.mk/,Куќа,Building/dwelling (DE das Haus),MASTER-listed source lacks verified automated dictionary entry adapter,,,,,
uk,будинок,дім,Словники України online (УМІФ НАН України),https://lcorp.ulif.org.ua/dictua/#search=%D0%B4%D1%96%D0%BC,дім,Building/dwelling (DE das Haus),TARGET outcome SOURCE_ENTRY_NOT_FOUND; lookup «дім»,,,,,
