review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"e95872782910ef59","e95872782910ef5967ca00ebddef0bbd6b8de109c4e7284c0e933b0c196c9702","DISC-G2-A1-SL-L0002","g2/a1/sl|Gemüse|idx:692|lv; study|SOURCE_LV_ISSUE|gpt-5.6-luna","sl","SRC-LV-39f1324e71298b23","crowdin-staging/g2/sl-a1.json","Gemüse|idx:692","lv; study","dārzeņi","Gemüse","","{""lv"":""zelenjava"",""study.translation"":""zelenjava"",""study.explanation"":""[\""Glavna ideja: zelenjava na splošno. Nemščina nima množinske oblike za *die Gemüse.\"",\""das Gemüse v glavnem pomeni: zelenjava skupaj.\"",\""Pogosto značilno: ne v vsakem spolu (samo v ednini).\""]"",""study.examples"":""[{\""de\"":\""Ich esse gern Gemüse.\"",\""lv\"":\""Rada jem zelenjavo.\""},{\""de\"":\""Ich esse gern Gemüse.\"",\""lv\"":\""rada jem zelenjavo.\""},{\""de\"":\""Das Gemüse ist frisch.\"",\""lv\"":\""zelenjava je sveža.\""},{\""de\"":\""Wir kaufen Gemüse auf dem Markt.\"",\""lv\"":\""kupujemo zelenjavo na tržnici.\""},{\""de\"":\""Ich mag Obst und Gemüse.\"",\""lv\"":\""rad imam sadje in zelenjavo.\""},{\""de\"":\""Ich esse Gemüse.\"",\""lv\"":\""Jem zelenjavo.\""}]"",""study.tip"":""[\""das Gemüse = zelenjava\"",\""Uporabite das Gemüse, kadar kontekst ustreza temu pomenu.\""]"",""study.important"":""[\""Napačno je: die Gemüse, die Obsts.\"",\""Nepravilno: die Gemüse → Pravilno: das Gemüse\"",\""das Gemüse = zelenjava (skupaj).\""]""}","{""lv"":""zelenjava"",""study.translation"":""zelenjava"",""study.explanation"":""[\""Glavna ideja: zelenjava na splošno. Nemščina nima množinske oblike za *die Gemüse.\"",\""das Gemüse v glavnem pomeni: zelenjava skupaj.\"",\""Pogosto značilno: ne v vsakem spolu (samo v ednini).\""]"",""study.examples"":""[{\""de\"":\""Ich esse gern Gemüse.\"",\""lv\"":\""Rada jem zelenjavo.\""},{\""de\"":\""Ich esse gern Gemüse.\"",\""lv\"":\""rada jem zelenjavo.\""},{\""de\"":\""Das Gemüse ist frisch.\"",\""lv\"":\""zelenjava je sveža.\""},{\""de\"":\""Wir kaufen Gemüse auf dem Markt.\"",\""lv\"":\""kupujemo zelenjavo na tržnici.\""},{\""de\"":\""Ich mag Obst und Gemüse.\"",\""lv\"":\""rad imam sadje in zelenjavo.\""},{\""de\"":\""Ich esse Gemüse.\"",\""lv\"":\""Jem zelenjavo.\""}]"",""study.tip"":""[\""das Gemüse = zelenjava\"",\""Uporabite das Gemüse, kadar kontekst ustreza temu pomenu.\""]"",""study.important"":""[\""Napačno je: die Gemüse, die Obsts.\"",\""Nepravilno: die Gemüse → Pravilno: das Gemüse\"",\""das Gemüse = zelenjava (skupaj).\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"8f202a342adafcf1","8f202a342adafcf14ff928afe4862db3f90bda8e8bfc1e714efebb79f0e1a1cd","DISC-G2-A1-BG-L0001","g2/a1/bg|lassen|idx:356|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","bg","SRC-LV-3a7cbc5e65dd878e","crowdin-staging/g2/bg-a1.json","lassen|idx:356","lv, study","atstāt • ļaut","lassen","","{""lv"":""Оставете • Нека"",""study.translation"":""Оставете • Нека"",""study.explanation"":""[\""Основна идея: lassen означава да оставиш нещо или да позволиш нещо да се случи.\"",\""Ако нещо остане на мястото си, lassen се превежда като „да пуснеш“.\"",\""Ако дадете разрешение на някого, lassen се превежда като „разрешаване“.\"",\""Много често срещана форма в разговора е Lass mich! = Оставете ме на мира! или Нека!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Оставих чантата си тук\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Оставете това на масата, моля.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""Родителите ми ме пуснаха.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Остави ме на мира!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Оставете / разрешите\"",\""example\"":\""Оставям го тук.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Остани\"",\""example\"":\""Останавам тук.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Нека\"",\""example\"":\""Тя ми позволява.\""},{\""word\"":\""geben\"",\""meaning\"":\""Дайте\"",\""example\"":\""Дай ми книгата.\""}]"",""study.tip"":""{\""text\"":\""Запомнете: нещо остава → lassen • Някой е позволен → lassen.\""}"",""study.important"":""[\""Lassen не е само за „бягване“. Също така често означава „да се позволи“.\"",\""Моето момиче е в Рю! Има много често срещана фраза: „Оставете ме на мира!“\""]""}","{""lv"":""Оставете • Нека"",""study.translation"":""Оставете • Нека"",""study.explanation"":""[\""Основна идея: lassen означава да оставиш нещо или да позволиш нещо да се случи.\"",\""Ако нещо остане на мястото си, lassen се превежда като „да пуснеш“.\"",\""Ако дадете разрешение на някого, lassen се превежда като „разрешаване“.\"",\""Много често срещана форма в разговора е Lass mich! = Оставете ме на мира! или Нека!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Оставих чантата си тук\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Оставете това на масата, моля.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""Родителите ми ме пуснаха.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Остави ме на мира!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Оставете / разрешите\"",\""example\"":\""Оставям го тук.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Остани\"",\""example\"":\""Останавам тук.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Нека\"",\""example\"":\""Тя ми позволява.\""},{\""word\"":\""geben\"",\""meaning\"":\""Дайте\"",\""example\"":\""Дай ми книгата.\""}]"",""study.tip"":""{\""text\"":\""Запомнете: нещо остава → lassen • Някой е позволен → lassen.\""}"",""study.important"":""[\""Lassen не е само за „бягване“. Също така често означава „да се позволи“.\"",\""Моето момиче е в Рю! Има много често срещана фраза: „Оставете ме на мира!“\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"c3deefc19d339768","c3deefc19d339768a699565898021aa9ec2f4a9a65cb96a708d4f5bf31e57419","DISC-G2-A1-BS-L0001","g2/a1/bs|lassen|idx:356|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","bs","SRC-LV-3a7cbc5e65dd878e","crowdin-staging/g2/bs-a1.json","lassen|idx:356","lv, study","atstāt • ļaut","lassen","","{""lv"":""pustiti"",""study.translation"":""pustiti"",""study.explanation"":""[\""Glavna ideja: lassen znači ostaviti nešto ili dopustiti da se nešto dogodi.\"",\""Ako nešto ostaje na mjestu, lassen se prevodi kao ostaviti.\"",\""Ako nekome date dozvolu, lassen se prevodi kao neka.\"",\""U razgovorima je vrlo čest oblik Lass mich! = Ostavi me na miru! ili Pusti me!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Ostavio sam torbu ovde\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Ostavite to na stolu, molim.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""Roditelji su me pustili.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Ostavi me na miru!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Ostavi / pusti\"",\""example\"":\""Ja ostavljam ovo ovdje.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Ostani\"",\""example\"":\""Ja ostaju ovdje.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Dozvoliti\"",\""example\"":\""Ona mi dopušta to.\""},{\""word\"":\""geben\"",\""meaning\"":\""Dati\"",\""example\"":\""Daj mi tu knjigu.\""}]"",""study.tip"":""{\""text\"":\""Zapamti: nešto ostaje → lassen • Nekome se dopušta → lassen.\""}"",""study.important"":""[\""Lassen nije samo „ostaviti“. Često znači i „dopustiti“.\"",\""Lass mich in Ruhe! je vrlo česta fraza: “Ostavi me na miru!”\""]""}","{""lv"":""pustiti"",""study.translation"":""pustiti"",""study.explanation"":""[\""Glavna ideja: lassen znači ostaviti nešto ili dopustiti da se nešto dogodi.\"",\""Ako nešto ostaje na mjestu, lassen se prevodi kao ostaviti.\"",\""Ako nekome date dozvolu, lassen se prevodi kao neka.\"",\""U razgovorima je vrlo čest oblik Lass mich! = Ostavi me na miru! ili Pusti me!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Ostavio sam torbu ovde\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Ostavite to na stolu, molim.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""Roditelji su me pustili.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Ostavi me na miru!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Ostavi / pusti\"",\""example\"":\""Ja ostavljam ovo ovdje.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Ostani\"",\""example\"":\""Ja ostaju ovdje.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Dozvoliti\"",\""example\"":\""Ona mi dopušta to.\""},{\""word\"":\""geben\"",\""meaning\"":\""Dati\"",\""example\"":\""Daj mi tu knjigu.\""}]"",""study.tip"":""{\""text\"":\""Zapamti: nešto ostaje → lassen • Nekome se dopušta → lassen.\""}"",""study.important"":""[\""Lassen nije samo „ostaviti“. Često znači i „dopustiti“.\"",\""Lass mich in Ruhe! je vrlo česta fraza: “Ostavi me na miru!”\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"ccfcd89e42a66292","ccfcd89e42a66292d8fbe4d2dbc251801ee138e2132311461bd5bc7398628c3f","DISC-G2-A1-HU-L0001","g2/a1/hu|lassen|idx:356|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","hu","SRC-LV-3a7cbc5e65dd878e","crowdin-staging/g2/hu-a1.json","lassen|idx:356","lv, study","atstāt • ļaut","lassen","","{""lv"":""Hagyja • Hagyja"",""study.translation"":""Hagyja • Hagyja"",""study.explanation"":""[\""Fő gondolat: a lassen azt jelenti, hogy hagyunk valamit, vagy hagyjuk, hogy valami megtörténjen.\"",\""Ha valami a helyén marad, a lassen azt jelenti, hogy szabadság.\"",\""Ha engedélyt adsz valakinek, a lassen fordításban enged.\"",\""A beszélgetés során nagyon gyakori formája a Lass mich! = Hagyj békén! vagy Engedd meg!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Itt hagytam a táskát\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Hagyd az asztalon, kérlek.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""A szüleim elengedtek.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Hagyjon békén!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Hagyni / engedni\"",\""example\"":\""Hagyom itt.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Marad\"",\""example\"":\""Maradok itt.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Engedje meg\"",\""example\"":\""Megengedett nekem.\""},{\""word\"":\""geben\"",\""meaning\"":\""Adni\"",\""example\"":\""Add meg nekem a könyvet.\""}]"",""study.tip"":""{\""text\"":\""Atceries: kaut kas paliek → lassen; kādam atļauj → lassen.\""}"",""study.important"":""[\""lassen nem csak \\\""elhagyni\\\"". Gyakran \\\""engedni\\\"" is lehet.\"",\""Lass mich in Ruhe! egy nagyon gyakori kifejezés: \\\""Hagyd meg a békét!\\\""\""]""}","{""lv"":""Hagyja • Hagyja"",""study.translation"":""Hagyja • Hagyja"",""study.explanation"":""[\""Fő gondolat: a lassen azt jelenti, hogy hagyunk valamit, vagy hagyjuk, hogy valami megtörténjen.\"",\""Ha valami a helyén marad, a lassen azt jelenti, hogy szabadság.\"",\""Ha engedélyt adsz valakinek, a lassen fordításban enged.\"",\""A beszélgetés során nagyon gyakori formája a Lass mich! = Hagyj békén! vagy Engedd meg!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Itt hagytam a táskát\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Hagyd az asztalon, kérlek.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""A szüleim elengedtek.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Hagyjon békén!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Hagyni / engedni\"",\""example\"":\""Hagyom itt.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Marad\"",\""example\"":\""Maradok itt.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Engedje meg\"",\""example\"":\""Megengedett nekem.\""},{\""word\"":\""geben\"",\""meaning\"":\""Adni\"",\""example\"":\""Add meg nekem a könyvet.\""}]"",""study.tip"":""{\""text\"":\""Atceries: kaut kas paliek → lassen; kādam atļauj → lassen.\""}"",""study.important"":""[\""lassen nem csak \\\""elhagyni\\\"". Gyakran \\\""engedni\\\"" is lehet.\"",\""Lass mich in Ruhe! egy nagyon gyakori kifejezés: \\\""Hagyd meg a békét!\\\""\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"91ae8ccf05efc9f8","91ae8ccf05efc9f80a639f0876fbe9ac887cb639212f085fad6a1aa25d660a81","DISC-G2-A1-SK-L0001","g2/a1/sk|lassen|idx:356|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","sk","SRC-LV-3a7cbc5e65dd878e","crowdin-staging/g2/sk-a1.json","lassen|idx:356","lv, study","atstāt • ļaut","lassen","","{""lv"":""Odísť • Povoliť"",""study.translation"":""Odísť • Povoliť"",""study.explanation"":""[\""Hlavná myšlienka: lassen znamená zanechať niečo za sebou alebo dovoliť, aby sa niečo stalo.\"",\""Ak niečo zostane na mieste, lassen sa prekladá ako odísť.\"",\""Ak niekomu dáte povolenie, lassen sa prekladá ako povoliť.\"",\""Veľmi častou formou konverzácie je Lass mich! = Leave me alone! or Let me!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Nechal som tu tašku\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Nechajte to na stole, prosím.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""Rodičia ma pustili.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Nechajte ma na pokoji!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Opustiť/Povoliť\"",\""example\"":\""Ich lasse das hier.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Zostaň\"",\""example\"":\""Ich bleibe hier.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Dovoliť\"",\""example\"":\""Sie erlaubt mir das.\""},{\""word\"":\""geben\"",\""meaning\"":\""Dávať\"",\""example\"":\""Gib mir das Buch.\""}]"",""study.tip"":""{\""text\"":\""Pamätajte: niečo zostáva → lassen • Niekto môže → lassen.\""}"",""study.important"":""[\""Lassen neznamená len „odísť“. Často to tiež znamená „dovoliť“.\"",\""Lass mich in Ruhe! existuje veľmi populárna fráza: \\\""Nechaj ma na pokoji!\\\""\""]""}","{""lv"":""Odísť • Povoliť"",""study.translation"":""Odísť • Povoliť"",""study.explanation"":""[\""Hlavná myšlienka: lassen znamená zanechať niečo za sebou alebo dovoliť, aby sa niečo stalo.\"",\""Ak niečo zostane na mieste, lassen sa prekladá ako odísť.\"",\""Ak niekomu dáte povolenie, lassen sa prekladá ako povoliť.\"",\""Veľmi častou formou konverzácie je Lass mich! = Leave me alone! or Let me!\""]"",""study.examples"":""[{\""de\"":\""Ich lasse die Tasche hier.\"",\""lv\"":\""Nechal som tu tašku\""},{\""de\"":\""Lass das bitte auf dem Tisch.\"",\""lv\"":\""Nechajte to na stole, prosím.\""},{\""de\"":\""Meine Eltern lassen mich gehen.\"",\""lv\"":\""Rodičia ma pustili.\""},{\""de\"":\""Lass mich in Ruhe!\"",\""lv\"":\""Nechajte ma na pokoji!\""}]"",""study.comparison"":""[{\""word\"":\""lassen\"",\""meaning\"":\""Opustiť/Povoliť\"",\""example\"":\""Ich lasse das hier.\""},{\""word\"":\""bleiben\"",\""meaning\"":\""Zostaň\"",\""example\"":\""Ich bleibe hier.\""},{\""word\"":\""erlauben\"",\""meaning\"":\""Dovoliť\"",\""example\"":\""Sie erlaubt mir das.\""},{\""word\"":\""geben\"",\""meaning\"":\""Dávať\"",\""example\"":\""Gib mir das Buch.\""}]"",""study.tip"":""{\""text\"":\""Pamätajte: niečo zostáva → lassen • Niekto môže → lassen.\""}"",""study.important"":""[\""Lassen neznamená len „odísť“. Často to tiež znamená „dovoliť“.\"",\""Lass mich in Ruhe! existuje veľmi populárna fráza: \\\""Nechaj ma na pokoji!\\\""\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"3865e874566952c6","3865e874566952c68629dbc5e0a82c86d7d883799a0909af937b577dd156723d","DISC-G2-A1-SL-L0005","g2/a1/sl|wissen|idx:311|lv/study|SOURCE_LV_ISSUE|gpt-5.6-luna","sl","SRC-LV-3a84e2d374fa9331","crowdin-staging/g2/sl-a1.json","wissen|idx:311","lv/study","zināt","wissen","","{""lv"":""vedeti"",""study.translation"":""vedeti"",""study.explanation"":""[\""Glavna ideja: Vedeti dejstvo, odgovor ali informacijo.\"",\""»wissen« predvsem pomeni: informacija/dejstvo.\"",\""Pogosto jih označujejo: odgovori, podatki.\"",\""»wissen« se uporabi, ko veš dejstvo, odgovor ali informacijo.\""]"",""study.examples"":""[{\""de\"":\""Ich weiß, wo er wohnt.\"",\""lv\"":\""Vem, kje živi.\""},{\""de\"":\""Woher wissen Sie das?\"",\""lv\"":\""od kod to veš?\""},{\""de\"":\""Ich weiß die Antwort.\"",\""lv\"":\""vem odgovor.\""}]"",""study.comparison"":""[{\""word\"":\""wissen\"",\""meaning\"":\""vedeti (dejstvo, informacijo)\"",\""example\"":\""Ich weiß, wo er wohnt. – Vem, kje živi.\""},{\""word\"":\""kennen\"",\""meaning\"":\""poznati (osebo, mesto, stvar)\"",\""example\"":\""Ich kenne die Stadt. – Poznam mesto.\""}]"",""study.tip"":""[\""»wissen« = »vedeti«\"",\""Uporabi »wissen«, ko kontekst ustreza tem pomenom.\""]"",""study.important"":""[\""»wissen« = »vedeti dejstvo«.\"",\""»wissen« = »vedeti«.\"",\""Vedeti dejstvo, odgovor ali informacijo.\""]""}","{""lv"":""vedeti"",""study.translation"":""vedeti"",""study.explanation"":""[\""Glavna ideja: Vedeti dejstvo, odgovor ali informacijo.\"",\""»wissen« predvsem pomeni: informacija/dejstvo.\"",\""Pogosto jih označujejo: odgovori, podatki.\"",\""»wissen« se uporabi, ko veš dejstvo, odgovor ali informacijo.\""]"",""study.examples"":""[{\""de\"":\""Ich weiß, wo er wohnt.\"",\""lv\"":\""Vem, kje živi.\""},{\""de\"":\""Woher wissen Sie das?\"",\""lv\"":\""od kod to veš?\""},{\""de\"":\""Ich weiß die Antwort.\"",\""lv\"":\""vem odgovor.\""}]"",""study.comparison"":""[{\""word\"":\""wissen\"",\""meaning\"":\""vedeti (dejstvo, informacijo)\"",\""example\"":\""Ich weiß, wo er wohnt. – Vem, kje živi.\""},{\""word\"":\""kennen\"",\""meaning\"":\""poznati (osebo, mesto, stvar)\"",\""example\"":\""Ich kenne die Stadt. – Poznam mesto.\""}]"",""study.tip"":""[\""»wissen« = »vedeti«\"",\""Uporabi »wissen«, ko kontekst ustreza tem pomenom.\""]"",""study.important"":""[\""»wissen« = »vedeti dejstvo«.\"",\""»wissen« = »vedeti«.\"",\""Vedeti dejstvo, odgovor ali informacijo.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"df3c046a439a5ab1","df3c046a439a5ab1ba4ebac97939ed0d36c46a0a8c268a3cd3f10eb0b11a7740","DISC-G2-A1-HU-L0002","g2/a1/hu|jung|idx:304|lv and study content|SOURCE_LV_ISSUE|gpt-5.6-luna","hu","SRC-LV-3ae13069b21ced87","crowdin-staging/g2/hu-a1.json","jung|idx:304","lv and study content","jauns (par cilvēkiem)","jung","","{""lv"":""Fiatal (emberekről)"",""study.translation"":""Fiatal (emberekről)"",""study.explanation"":""[\""Fő gondolat: a jung fiatal kort jelent – ​​embereket és állatokat használnak, nem dolgokat.\"",\""Jung leírja az életkort – az ellenkezője az alt (régi).\"",\""A lett nyelvben a fiatal szónak két jelentése van: fiatal korban (jung) és fiatal/nemrég teremtett (neu).\"",\""A közelmúltban létrehozott vagy megszerzett dolgokhoz használja a neu, ne jung parancsot.\"",\""A jung átvitt értelemben is használatos: új generáció, fiatal pár, fiatalok.\"",\""Létezik a die Jugend (ifjúság) főnév is.\""]"",""study.examples"":""[{\""de\"":\""Sie ist noch jung.\"",\""lv\"":\""Még fiatal.\""},{\""de\"":\""Der Hund ist jung.\"",\""lv\"":\""Fiatal a kutya.\""},{\""de\"":\""Wir sind noch jung.\"",\""lv\"":\""Még fiatalok vagyunk.\""},{\""de\"":\""Er sieht sehr jung aus.\"",\""lv\"":\""Nagyon fiatalnak néz ki.\""},{\""de\"":\""Das ist ein junges Paar.\"",\""lv\"":\""Ez egy új pár.\""},{\""de\"":\""Die junge Frau lächelt.\"",\""lv\"":\""A fiatal nő mosolyog.\""},{\""de\"":\""Mein Bruder ist jünger als ich.\"",\""lv\"":\""A bátyám fiatalabb nálam.\""}]"",""study.tip"":""[\""jung az életkorhoz van (emberek, állatok) — ha az új dolgokról beszélsz, a neu szót használd.\"",\""Ellentét: jung ↔ alt (fiatal ↔ idős).\""]"",""study.important"":""[\""jung az életkort írja le, nem a dolgok újdonságát.\"",\""Az új dolgokról (telefon, autó, ház) a neu szót használjuk, nem a jung szót.\"",\""Nem helyes: Mein Handy ist jung. → Helyes: Mein Handy ist neu.\""]""}","{""lv"":""Fiatal (emberekről)"",""study.translation"":""Fiatal (emberekről)"",""study.explanation"":""[\""Fő gondolat: a jung fiatal kort jelent – ​​embereket és állatokat használnak, nem dolgokat.\"",\""Jung leírja az életkort – az ellenkezője az alt (régi).\"",\""A lett nyelvben a fiatal szónak két jelentése van: fiatal korban (jung) és fiatal/nemrég teremtett (neu).\"",\""A közelmúltban létrehozott vagy megszerzett dolgokhoz használja a neu, ne jung parancsot.\"",\""A jung átvitt értelemben is használatos: új generáció, fiatal pár, fiatalok.\"",\""Létezik a die Jugend (ifjúság) főnév is.\""]"",""study.examples"":""[{\""de\"":\""Sie ist noch jung.\"",\""lv\"":\""Még fiatal.\""},{\""de\"":\""Der Hund ist jung.\"",\""lv\"":\""Fiatal a kutya.\""},{\""de\"":\""Wir sind noch jung.\"",\""lv\"":\""Még fiatalok vagyunk.\""},{\""de\"":\""Er sieht sehr jung aus.\"",\""lv\"":\""Nagyon fiatalnak néz ki.\""},{\""de\"":\""Das ist ein junges Paar.\"",\""lv\"":\""Ez egy új pár.\""},{\""de\"":\""Die junge Frau lächelt.\"",\""lv\"":\""A fiatal nő mosolyog.\""},{\""de\"":\""Mein Bruder ist jünger als ich.\"",\""lv\"":\""A bátyám fiatalabb nálam.\""}]"",""study.tip"":""[\""jung az életkorhoz van (emberek, állatok) — ha az új dolgokról beszélsz, a neu szót használd.\"",\""Ellentét: jung ↔ alt (fiatal ↔ idős).\""]"",""study.important"":""[\""jung az életkort írja le, nem a dolgok újdonságát.\"",\""Az új dolgokról (telefon, autó, ház) a neu szót használjuk, nem a jung szót.\"",\""Nem helyes: Mein Handy ist jung. → Helyes: Mein Handy ist neu.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"42cf6d56a5991f2f","42cf6d56a5991f2fd631f2282d530f88e25d6908fe8515317c8c5a50528eb48c","DISC-G2-A1-HR-L0001","g2/a1/hr|Fußball|idx:218|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","hr","SRC-LV-3afb594dd086b3fd","crowdin-staging/g2/hr-a1.json","Fußball|idx:218","lv","futbols","Fußball","","fudbal","fudbal","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"dfa7f967da278d2d","dfa7f967da278d2d57bb2e356af1e2f3edd2ffe023363e49b0620fea07ef9320","DISC-G2-A1-MK-L0001","g2/a1/mk|Fußball|idx:218|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","mk","SRC-LV-3afb594dd086b3fd","crowdin-staging/g2/mk-a1.json","Fußball|idx:218","lv","futbols","Fußball","","фудбал","фудбал","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"9b37dfce0431dcd6","9b37dfce0431dcd6d1169647e97f4ae51c86506b61a3c53b74e6007cbff23e02","DISC-G2-A1-DA-L0019","g2/a1/da|Bein|idx:80|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","da","SRC-LV-3bf64425732bc8e1","crowdin-staging/g2/da-a1.json","Bein|idx:80","lv","kāja","Bein","","Ben","Ben","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","CRITICAL","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"ee353cc9f50d0854","ee353cc9f50d085440cbd4512b279dff7714a6baf13cc7a7b99ca34f263cdb70","DISC-G2-A1-ET-L0019","g2/a1/et|Bein|idx:80|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","et","SRC-LV-3bf64425732bc8e1","crowdin-staging/g2/et-a1.json","Bein|idx:80","lv","kāja","Bein","","jalg","jalg","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
