source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,provenance_type
"BATCH-161","645c956ed578b603","645c956ed578b6035c0af354083d95ec6286ee549ab1b53552eec0f4ede5cd4a","DISC-G2-A1-FR-L0001","g2/a1/fr|baden|idx:68|study.translation|TRANSLATION_ERROR|gpt-5.6-luna","fr","","crowdin-staging/g2/fr-a1.json","baden|idx:68","study.translation","peldēties","baden","","Nager","Nager","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","FR baden/peldēties: «Nager» is the correct A1 swimming sense for German «baden»; production matches intended learner gloss.","INDIVIDUAL_LINGUISTIC"
"BATCH-202","217e35c70ff2fd1d","217e35c70ff2fd1d89710481158b3cfb21169d7f22152587ee15fe1f068add44","G2A1P3-GR-0014","g2/a1/gr|a1-besuch|a1.card.a1-besuch.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-besuch","a1.card.a1-besuch.study.comparison[0].meaning","apmeklējums • apciemojums • vizīte","Besuch","επίσκεψη • επίσκεψη σε κάποιον • επίσκεψη","επίσκεψη • επίσκεψη σε κάποιον • επίσκεψη","επίσκεψη • επίσκεψη σε κάποιον • επίσκεψη","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","GR Besuch comparison[0]: three Greek segments distinguish visit/event/person senses aligned with LV apmeklējums • apciemojums • vizīte.","INDIVIDUAL_LINGUISTIC"
"BATCH-203","72dc8f919db5a023","72dc8f919db5a023fd3f2c972ad3949c8fe4c5fd4c51626ac1666cb5aa0ca908","G2A1P3-GR-0022","g2/a1/gr|a1-dass|a1.card.a1-dass.study.comparison[1].meaning|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-dass","a1.card.a1-dass.study.comparison[1].meaning","jo • tāpēc ka","dass","Γιατί • Γιατί","Γιατί • Γιατί","Γιατί • Γιατί","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","LABOT","Γιατί • επειδή","GR a1-dass comparison[1] maps weil→jo • tāpēc ka; card de_reference «dass» is not this row's German equivalent. Duplicate «Γιατί • Γιατί» loses jo vs tāpēc ka contrast; LABOT to «Γιατί • επειδή».","INDIVIDUAL_LINGUISTIC"
"BATCH-202","0f9b9db5fc3d7c51","0f9b9db5fc3d7c51b0c99f58405b31659a1066e908b4fa67b09d06e33b940b8a","G2A1P3-GR-0167","g2/a1/gr|a1-was|a1.card.a1-was.native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-was","a1.card.a1-was.native","kas • ko","was","Τι • Τι","Τι • Τι","Τι • Τι","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","GR was native: repeated «Τι» acceptably covers nominative/accusative LV kas/ko at A1 without extra morphological marking.","INDIVIDUAL_LINGUISTIC"
"BATCH-203","7935f4a2610716ce","7935f4a2610716ce31e77bbfa92102d3daa07306a0c1b782cfc7964a01c5b9eb","G2A1P3-GR-0178","g2/a1/gr|a1-was|a1.card.a1-was.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-was","a1.card.a1-was.study.translation","kas • ko","was","Τι • Τι","Τι • Τι","Τι • Τι","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","GR was study.translation mirrors native field; «Τι • Τι» is consistent with card-level was gloss and needs no rewrite.","INDIVIDUAL_LINGUISTIC"
"BATCH-205","c4b68056c0142b09","c4b68056c0142b0912f92c0c1b991a6505e8228f0fbbe8ea95846ccfc9d90d0c","G2A1P3-HR-0031","g2/a1/hr|a1-es|a1.card.a1-es.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","hr","","crowdin-staging/g2/hr-a1.json","a1-es","a1.card.a1-es.study.comparison[0].meaning","tas • bezpersoniska forma","es","to • nepersonalni oblik","to • nepersonalni oblik","to • nepersonalni oblik","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","HR es comparison[0]: «to • nepersonalni oblik» correctly renders LV tas/bezpersoniska forma for impersonal es usage.","INDIVIDUAL_LINGUISTIC"
"BATCH-205","d4f199b4a50bc831","d4f199b4a50bc83186b75abe76206024daabba0abf12b7faaa5db3e72f779721","G2A1P3-HR-0049","g2/a1/hr|a1-ganz-study|a1.card.a1-ganz-study.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","hr","","crowdin-staging/g2/hr-a1.json","a1-ganz-study","a1.card.a1-ganz-study.study.comparison[0].meaning","vesels • viss kopumā • pilnīgi","ganz","cijeli • sve ukupno • potpuno","cijeli • sve ukupno • potpuno","cijeli • sve ukupno • potpuno","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","HR ganz comparison[0]: cijeli/sve ukupno/potpuno preserves whole/entire/completely senses from LV vesels • viss kopumā • pilnīgi.","INDIVIDUAL_LINGUISTIC"
"BATCH-204","762a31449c56d639","762a31449c56d6395fad3aa052472eb92907861f594b37a79d0897a51ec37774","G2A1P3-HR-0050","g2/a1/hr|a1-gefallen-study|a1.card.a1-gefallen-study.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","hr","","crowdin-staging/g2/hr-a1.json","a1-gefallen-study","a1.card.a1-gefallen-study.study.comparison[0].meaning","patikt • persona datīvā","gefallen","sviđati se • osoba u dativu","sviđati se • osoba u dativu","sviđati se • osoba u dativu","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","HR gefallen comparison[0]: «sviđati se • osoba u dativu» matches dative-liking construction taught for gefallen.","INDIVIDUAL_LINGUISTIC"
"BATCH-204","82995a32fc97323e","82995a32fc97323e0fb50a18c2da38f1a8aed68e57048dc838a6983327c82e7f","G2A1P3-HR-0060","g2/a1/hr|a1-huebsch|a1.card.a1-huebsch.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","hr","","crowdin-staging/g2/hr-a1.json","a1-huebsch","a1.card.a1-huebsch.study.comparison[0].meaning","glīts • pievilcīgs pēc izskata","hübsch","lijep • privlačan po izgledu","lijep • privlačan po izgledu","lijep • privlačan po izgledu","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","HR hübsch comparison[0]: «lijep • privlačan po izgledu» accurately conveys pretty/attractive-by-appearance contrast.","INDIVIDUAL_LINGUISTIC"
"BATCH-092","df83dd3c6366391e","df83dd3c6366391ea7a6e8402970fb813fbe22b092c09c893a113af751f2b189","DISC-G2-A1-HR-L0006","g2/a1/hr|alle|idx:7|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","alle|idx:7","lv","visi","alle","","Svi","Svi","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","HR alle/lv: «Svi» is standard Croatian for LV visi/all; no orthographic or semantic correction required.","INDIVIDUAL_LINGUISTIC"
