escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-006","BATCH-078","6c506524ea42d4b6","6c506524ea42d4b6737c09d63d987cd97dee9c259ccccb7c636ccf4835c104a2","DISC-G2-A1-FI-L0005","g2/a1/fi|gut|idx:259|lv/study|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","gut|idx:259","lv/study","labs","gut","","{""lv"":""Hea"",""study.translation"":""Hea"",""study.explanation"":""[\""Põhiidee: gut on omadus-/määrsõna — hea, hästi, korras.\"",\""Gut kirjeldab kvaliteeti, tervist või seda, kuidas midagi läheb (Es geht mir gut. = Mul läheb hästi.).\"",\""Viisakusfraasis guten Tag/Abend/Morgen muudab gut lõppu käände järgi.\"",\""Kui gut kirjeldab tegusõna, on see määrsõna (gut schwimmen = hästi ujuma).\"",\""Ära aja segi sõnaga das Gut — see on suure algustähega ja artikliga nimisõna (vara, mõis).\""]"",""study.examples"":""[{\""de\"":\""Das Essen ist gut.\"",\""lv\"":\""Toit on hea.\""},{\""de\"":\""Wie geht es dir? – Gut, danke!\"",\""lv\"":\""Kuidas sul läheb? – hästi, aitäh!\""},{\""de\"":\""Er spricht gut Deutsch.\"",\""lv\"":\""Ta räägib hästi saksa keelt.\""},{\""de\"":\""Guten Morgen!\"",\""lv\"":\""Tere hommikust!\""},{\""de\"":\""Das ist eine gute Idee.\"",\""lv\"":\""See on hea idee.\""},{\""de\"":\""Alles ist gut.\"",\""lv\"":\""Kõik on korras.\""}]"",""study.tip"":""[\""gut ilman artikkelia on adjektiivi/adverbi — hyvä/hyvin.\"",\""das Gut isolla alkukirjaimella ja artikkelilla der on aivan eri sana — substantiivi (omaisuus, kartano).\""]"",""study.important"":""[\""gut = hyvä/hyvin (adjektiivi/adverbi).\"",\""das Gut = omaisuus/kartano (substantiivi) — älä sekoita gut-sanaan.\"",\""Guten Tag/Morgen/Abend — gut maina galotni pēc locījuma.\""]""}","{""lv"":""Hea"",""study.translation"":""Hea"",""study.explanation"":""[\""Põhiidee: gut on omadus-/määrsõna — hea, hästi, korras.\"",\""Gut kirjeldab kvaliteeti, tervist või seda, kuidas midagi läheb (Es geht mir gut. = Mul läheb hästi.).\"",\""Viisakusfraasis guten Tag/Abend/Morgen muudab gut lõppu käände järgi.\"",\""Kui gut kirjeldab tegusõna, on see määrsõna (gut schwimmen = hästi ujuma).\"",\""Ära aja segi sõnaga das Gut — see on suure algustähega ja artikliga nimisõna (vara, mõis).\""]"",""study.examples"":""[{\""de\"":\""Das Essen ist gut.\"",\""lv\"":\""Toit on hea.\""},{\""de\"":\""Wie geht es dir? – Gut, danke!\"",\""lv\"":\""Kuidas sul läheb? – hästi, aitäh!\""},{\""de\"":\""Er spricht gut Deutsch.\"",\""lv\"":\""Ta räägib hästi saksa keelt.\""},{\""de\"":\""Guten Morgen!\"",\""lv\"":\""Tere hommikust!\""},{\""de\"":\""Das ist eine gute Idee.\"",\""lv\"":\""See on hea idee.\""},{\""de\"":\""Alles ist gut.\"",\""lv\"":\""Kõik on korras.\""}]"",""study.tip"":""[\""gut ilman artikkelia on adjektiivi/adverbi — hyvä/hyvin.\"",\""das Gut isolla alkukirjaimella ja artikkelilla der on aivan eri sana — substantiivi (omaisuus, kartano).\""]"",""study.important"":""[\""gut = hyvä/hyvin (adjektiivi/adverbi).\"",\""das Gut = omaisuus/kartano (substantiivi) — älä sekoita gut-sanaan.\"",\""Guten Tag/Morgen/Abend — gut maina galotni pēc locījuma.\""]""}","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=fi field=lv/study composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-006","BATCH-161","bea42f6694c1632a","bea42f6694c1632a3f1e1f9e6b48ff6669538af5bc854a6a47d14fb2311c3528","DISC-G2-A1-FI-L0016","g2/a1/fi|Haar|idx:260|lv|MISTRANSLATION|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Haar|idx:260","lv","mats","Haar","","Juus","Juus","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","","TARGET_VALUE_VALID: row-level review confirms an acceptable target-language lemma or form against the DE reference; semantic finding is a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=SEMANTIC_OR_MEANING_ERROR production_current=""Juus"" de_reference=""Haar"""
"ESC-006","BATCH-078","6bc6d3ef7db68f15","6bc6d3ef7db68f1589bf03054d6ea679e4b5eda2463a260c18518d1de9975df0","DISC-G2-A1-FI-L0001","g2/a1/fi|haben|idx:261|lv|WRONG_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","haben|idx:261","lv","man ir","haben","","Mul on","Mul on","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Mul on"" de_reference=""haben"""
"ESC-006","BATCH-078","860e0bae93dde6d1","860e0bae93dde6d1fe0e2ca28c2213af8c78e7e230de9c5422c7ac23c495f737","DISC-G2-A1-FI-L0017","g2/a1/fi|halb|idx:262|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","halb|idx:262","lv","pus","halb","","Pool","Pool","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Pool"" de_reference=""halb"""
"ESC-006","BATCH-076","1b8e297d5470caf3","1b8e297d5470caf31100ad5cfed744df67f75d271c74dd41cf4bd3673bd2d576","DISC-G2-A1-FI-L0018","g2/a1/fi|Hälfte|idx:263|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Hälfte|idx:263","lv","puse","Hälfte","","Pool","Pool","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Pool"" de_reference=""Hälfte"""
"ESC-006","BATCH-077","3ce5e9b7e5f0696d","3ce5e9b7e5f0696d7da75fb04f82dad69ab5fa10f0b22d2afd3b7c4c5683d8b0","DISC-G2-A1-FI-L0019","g2/a1/fi|Hals|idx:264|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Hals|idx:264","lv","kakls","Hals","","Kael","Kael","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Kael"" de_reference=""Hals"""
"ESC-006","BATCH-078","7acfa48c98a286b2","7acfa48c98a286b2b621bb15b39830541dd3e14da356980473aaaa971be18d6a","DISC-G2-A1-FI-L0002","g2/a1/fi|halten|idx:265|lv|WRONG_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","halten|idx:265","lv","turēt","halten","","Hoidma • Peatama","Hoidma • Peatama","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Hoidma • Peatama"" de_reference=""halten"""
"ESC-006","BATCH-080","f234fa08a7b0f47b","f234fa08a7b0f47bc8c0e78c0330563391939ce5a1bfc7deb46900f2b167b693","DISC-G2-A1-FI-L0020","g2/a1/fi|Haltestelle|idx:266|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Haltestelle|idx:266","lv","pietura","Haltestelle","","Peatus","Peatus","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Peatus"" de_reference=""Haltestelle"""
"ESC-006","BATCH-079","bae914dbd78c593f","bae914dbd78c593f473722661bac26e18087ab724ee55ab8c2a77655d048a897","DISC-G2-A1-FI-L0003","g2/a1/fi|Hand|idx:267|lv|WRONG_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Hand|idx:267","lv","plauksta","Hand","","käsi","käsi","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""käsi"" de_reference=""Hand"""
"ESC-006","BATCH-081","ff07c6a2940da5bb","ff07c6a2940da5bbfafa3771ddac0ceacaa4cc29314f5e6d25f3884aaac9940b","DISC-G2-A1-FI-L0021","g2/a1/fi|Handschuh|idx:268|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Handschuh|idx:268","lv","cimds","Handschuh","","Kinnas","Kinnas","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","TARGET_LANGUAGE_REWRITE_REQUIRED","DECIDED","NELABOT","","TARGET_LANGUAGE_VALID: Post-Crowdin production_current is in the intended target language; the discovery-time wrong-language finding is obsolete or a false positive. lang=fi field=lv mapping=EXPLICIT_FIELD_ALIAS post_crowdin=CHANGED_SINCE_DISCOVERY bucket=WRONG_OR_MIXED_TARGET_LANGUAGE production_current=""Kinnas"" de_reference=""Handschuh"""
