row,languageId,crowdinStringId,key,ownerDecision,expectedCurrent,observedBefore,expectedNew,observedAfter,writeResult,readBackResult,exportMatchesNew,timestampUtc
1,fi,9366,a1.card.a1-mann.study.tip[0],LABOT,"Omistusavulla <b>(mein/dein/ihr Mann)</b> lähes aina tarkoitetaan aviomiestä.","Omistusavulla <b>(mein/dein/ihr Mann)</b> lähes aina tarkoitetaan aviomiestä.","Omistusavulla (mein/dein/ihr Mann) lähes aina tarkoitetaan aviomiestä.","Omistusavulla (mein/dein/ihr Mann) lähes aina tarkoitetaan aviomiestä.",patched,pass,true,2026-09-07T09:16:12.172Z
2,sl,6672,a1.card.a1-appetit.study.explanation[2],LABOT,"Pogosto značilno: <b>(</b>samo ednina<b>)</b>.","Pogosto značilno: <b>(</b>samo ednina<b>)</b>.","Pogosto značilno: (samo ednina).","Pogosto značilno: (samo ednina).",patched,pass,true,2026-09-07T09:16:12.623Z
3,sl,6794,a1.card.a1-aufs.study.important[0],LABOT,"aufs = auf das, samo pri srednjem spolu <b>(</b>das<b>)</b> kam? sklonu.","aufs = auf das, samo pri srednjem spolu <b>(</b>das<b>)</b> kam? sklonu.","aufs = auf das, samo pri srednjem spolu (das) kam? sklonu.","aufs = auf das, samo pri srednjem spolu (das) kam? sklonu.",patched,pass,true,2026-09-07T09:16:13.009Z
4,sl,8980,a1.card.a1-lang.study.examples[5].native,LABOT,"ves dan <b>(</b>po dolžini<b>)</b>.","ves dan <b>(</b>po dolžini<b>)</b>.","ves dan (po dolžini).","ves dan (po dolžini).",patched,pass,true,2026-09-07T09:16:13.258Z
5,sl,8988,a1.card.a1-lang.study.explanation[3],LABOT,"V stavku den ganzen Tag lang to pomeni ves dan <b>(</b>po dolžini<b>)</b>.","V stavku den ganzen Tag lang to pomeni ves dan <b>(</b>po dolžini<b>)</b>.","V stavku den ganzen Tag lang to pomeni ves dan (po dolžini).","V stavku den ganzen Tag lang to pomeni ves dan (po dolžini).",patched,pass,true,2026-09-07T09:16:13.578Z
diff,fi,,a1.card.a1-mann.study.tip[0],,,,,,,,changed,
diff,sl,,a1.card.a1-appetit.study.explanation[2],,,,,,,,changed,
diff,sl,,a1.card.a1-aufs.study.important[0],,,,,,,,changed,
diff,sl,,a1.card.a1-lang.study.examples[5].native,,,,,,,,changed,
diff,sl,,a1.card.a1-lang.study.explanation[3],,,,,,,,changed,
