language,sourceDe,deMeaning,targetLemma,entryUrl,publisher,sourceClass,semanticEvidence,accessMode,evidenceSha256,finalStatus
"bg","das Haus","HOUSE / MĀJA","къща","https://en.pons.com/translate/german-bulgarian/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","f26c9d85cb3543217f1fabc6ea282d617bc0bcd08d4d47fc69aed3c66fc62d27","BILINGUAL_ENTRY_VALIDATED"
"bs","das Haus","HOUSE / MĀJA","kuća","https://debs.dict.cc/?s=Haus","dict.cc (community-maintained)","E","false","PUBLIC_BROWSER_SESSION","2847da0ea281c985d1cc9271bc62cc4fdc752c43d4f30933b574f1211048fdeb","SOURCE_SUPPORTED_BUNDLE_CANDIDATE"
"fr","das Haus","HOUSE / MĀJA","maison","https://en.pons.com/translate/german-french/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","16c63a31a29ef759a39bf9164568a2e28023de3186b241b24ab831ebc5b604cc","BILINGUAL_ENTRY_VALIDATED"
"hu","das Haus","HOUSE / MĀJA","ház","https://de.pons.com/%C3%BCbersetzung/deutsch-ungarisch/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","829e65922c6c057d7c9ab3aba1dc33494a4bf4a0ac945beb9bbf25faf4b5d941","BILINGUAL_ENTRY_VALIDATED"
"is","das Haus","HOUSE / MĀJA","hús","https://deis.dict.cc/?s=Haus","dict.cc (community-maintained)","E","false","PUBLIC_BROWSER_SESSION","affa7551e4ba7fd8518a8b7a2aa95bf4f3672d404554c70da05a298da4ead347","SOURCE_SUPPORTED_BUNDLE_CANDIDATE"
"it","das Haus","HOUSE / MĀJA","casa","https://en.pons.com/translate/german-italian/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","8cf3da396762819a189dc9875955bb29fdaac20711858b43457a954e57e2cf84","BILINGUAL_ENTRY_VALIDATED"
"lb","das Haus","HOUSE / MĀJA","Haus","https://lod.lu/sich/lb/Haus","Zenter fir d'Lëtzebuerger Sprooch (ZLS)","A","true","PUBLIC_BROWSER_SESSION","b743fcec04669b4264480b3a5e2f49895199f3d912a9fe1b55f7447b68d49df1","BILINGUAL_ENTRY_VALIDATED"
"lt","das Haus","HOUSE / MĀJA","","https://en.pons.com/translate/german-lithuanian/Haus","PONS (Klett Group)","B","false","PUBLIC_BROWSER_SESSION","","PROBE_FAILED"
"nl","das Haus","HOUSE / MĀJA","huis","https://en.pons.com/translate/german-dutch/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","a3e7d3ad418fad2fff1f56f43640edc25acdd68f4f74a30cac4ab15dc31109eb","BILINGUAL_ENTRY_VALIDATED"
"pl","das Haus","HOUSE / MĀJA","dom","https://en.pons.com/translate/german-polish/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","8da1e1a387368d1949477b1f6e0de7bb72d3e62cad63df967258f97ac62006ee","BILINGUAL_ENTRY_VALIDATED"
"pt","das Haus","HOUSE / MĀJA","casa","https://en.pons.com/translate/german-portuguese/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","1510fbb39b5107f3fd0f8a3a344bd53bcbf871cc926d3d4a6f8ab6666aa215e4","BILINGUAL_ENTRY_VALIDATED"
"ro","das Haus","HOUSE / MĀJA","casă","https://de.pons.com/%C3%BCbersetzung/deutsch-rum%C3%A4nisch/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","c86e00fefdd30f7c1f50010f0c1add6cc739bd247a5b8455103c098fa9ec17e8","BILINGUAL_ENTRY_VALIDATED"
"sv","das Haus","HOUSE / MĀJA","hus","https://en.pons.com/translate/german-swedish/Haus","PONS (Klett Group)","B","true","PUBLIC_BROWSER_SESSION","555d11046d231bd5bbe5182a3bb39d731d081e025da5509125004409432de6d5","BILINGUAL_ENTRY_VALIDATED"
"uk","das Haus","HOUSE / MĀJA","","https://en.pons.com/translate/german-ukrainian/Haus","PONS (Klett Group)","B","false","PUBLIC_BROWSER_SESSION","","PROBE_FAILED"
