review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"9bb2c59341bd12f5","9bb2c59341bd12f58f6ab2f0d962148414b12a596077323b9b9e0540dd6cdeff","DISC-G2-A1-FI-L0002","g2/a1/fi|jung|idx:304|lv; study|SOURCE_LV_ISSUE|gpt-5.6-luna","fi","SRC-LV-949dc868a010054f","crowdin-staging/g2/fi-a1.json","jung|idx:304","lv; study","jauns (par cilvēkiem)","jung","","{""lv"":""Noor (inimeste kohta)"",""study.translation"":""Noor (inimeste kohta)"",""study.explanation"":""[\""Põhiidee: jung tähendab noor vanuse mõttes — kasutatakse inimeste ja loomade, mitte asjade kohta.\"",\""Jung kirjeldab vanust — vastand on alt (vana).\"",\""Eesti keeles on need kaks tähendust eri sõnadega: noor vanuse kohta (jung) ja uus/hiljuti valminud asja kohta (neu).\"",\""Asjade kohta, mis on hiljuti loodud või ostetud, kasutatakse neu, mitte jung.\"",\""Jung kasutatakse ka ülekantud tähenduses: noor põlvkond, noor paar, noored inimesed.\"",\""On olemas ka nimisõna die Jugend (noorsugu, noorus).\""]"",""study.examples"":""[{\""de\"":\""Sie ist noch jung.\"",\""lv\"":\""Ta on veel noor.\""},{\""de\"":\""Der Hund ist jung.\"",\""lv\"":\""Koer on noor.\""},{\""de\"":\""Wir sind noch jung.\"",\""lv\"":\""Me oleme veel noored.\""},{\""de\"":\""Er sieht sehr jung aus.\"",\""lv\"":\""Ta näeb väga noor välja.\""},{\""de\"":\""Das ist ein junges Paar.\"",\""lv\"":\""See on noor paar.\""},{\""de\"":\""Die junge Frau lächelt.\"",\""lv\"":\""Noor naine naeratab.\""},{\""de\"":\""Mein Bruder ist jünger als ich.\"",\""lv\"":\""Minu vend on noorem kui mina.\""}]"",""study.tip"":""[\""jung on iälle (ihmiset, eläimet) — jos puhutaan äskettäin tehdyistä asioista, käytetään neu.\"",\""Vastakohta: jung ↔ alt (nuori ↔ vanha).\""]"",""study.important"":""[\""jung kuvaa ikää, ei asioiden uutuutta.\"",\""Uusille asioille (puhelin, auto, talo) käytetään neu, ei jung.\"",\""Väärin: Mein Handy ist jung. → Oikein: Mein Handy ist neu.\""]""}","{""lv"":""Noor (inimeste kohta)"",""study.translation"":""Noor (inimeste kohta)"",""study.explanation"":""[\""Põhiidee: jung tähendab noor vanuse mõttes — kasutatakse inimeste ja loomade, mitte asjade kohta.\"",\""Jung kirjeldab vanust — vastand on alt (vana).\"",\""Eesti keeles on need kaks tähendust eri sõnadega: noor vanuse kohta (jung) ja uus/hiljuti valminud asja kohta (neu).\"",\""Asjade kohta, mis on hiljuti loodud või ostetud, kasutatakse neu, mitte jung.\"",\""Jung kasutatakse ka ülekantud tähenduses: noor põlvkond, noor paar, noored inimesed.\"",\""On olemas ka nimisõna die Jugend (noorsugu, noorus).\""]"",""study.examples"":""[{\""de\"":\""Sie ist noch jung.\"",\""lv\"":\""Ta on veel noor.\""},{\""de\"":\""Der Hund ist jung.\"",\""lv\"":\""Koer on noor.\""},{\""de\"":\""Wir sind noch jung.\"",\""lv\"":\""Me oleme veel noored.\""},{\""de\"":\""Er sieht sehr jung aus.\"",\""lv\"":\""Ta näeb väga noor välja.\""},{\""de\"":\""Das ist ein junges Paar.\"",\""lv\"":\""See on noor paar.\""},{\""de\"":\""Die junge Frau lächelt.\"",\""lv\"":\""Noor naine naeratab.\""},{\""de\"":\""Mein Bruder ist jünger als ich.\"",\""lv\"":\""Minu vend on noorem kui mina.\""}]"",""study.tip"":""[\""jung on iälle (ihmiset, eläimet) — jos puhutaan äskettäin tehdyistä asioista, käytetään neu.\"",\""Vastakohta: jung ↔ alt (nuori ↔ vanha).\""]"",""study.important"":""[\""jung kuvaa ikää, ei asioiden uutuutta.\"",\""Uusille asioille (puhelin, auto, talo) käytetään neu, ei jung.\"",\""Väärin: Mein Handy ist jung. → Oikein: Mein Handy ist neu.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"6d3734119f328110","6d3734119f328110929de109d442350316157c8a269ee142afbef3ba6bd44116","DISC-G2-A1-UK-L0003","g2/a1/uk|mögen|idx:413|lv; study.translation; study.explanation; study.examples; study.important|SOURCE_LV_ISSUE|gpt-5.6-luna","uk","SRC-LV-94b5a80936ed5e56","crowdin-staging/g2/uk-a1.json","mögen|idx:413","lv; study.translation; study.explanation; study.examples; study.important","patikt","mögen","","{""lv"":""подобатися"",""study.translation"":""подобатися"",""study.explanation"":""[\""Головна думка: mögen найчастіше означає, що щось подобається.\"",\""Ich mag... латиською мовою зазвичай означає «мені подобається...».\"",\""möchte — інша форма, яка використовується для ввічливого побажання: я хотів би.\"",\""На рівні A1 найважливішою фразою є Ich mag das.\""]"",""study.examples"":""[{\""de\"":\""Ich mag Musik.\"",\""lv\"":\""мені подобається музика\""},{\""de\"":\""Magst du Kaffee?\"",\""lv\"":\""ти любиш каву?\""},{\""de\"":\""Sie mag Kinder.\"",\""lv\"":\""вона любить дітей.\""},{\""de\"":\""Ich möchte einen Kaffee.\"",\""lv\"":\""я хотів би кави\""}]"",""study.important"":""[\""mögen не є головним словом для ввічливого «я б». Зазвичай для цього використовується möchte.\"",\""Ich mag Kaffee означає «я люблю каву».\""]""}","{""lv"":""подобатися"",""study.translation"":""подобатися"",""study.explanation"":""[\""Головна думка: mögen найчастіше означає, що щось подобається.\"",\""Ich mag... латиською мовою зазвичай означає «мені подобається...».\"",\""möchte — інша форма, яка використовується для ввічливого побажання: я хотів би.\"",\""На рівні A1 найважливішою фразою є Ich mag das.\""]"",""study.examples"":""[{\""de\"":\""Ich mag Musik.\"",\""lv\"":\""мені подобається музика\""},{\""de\"":\""Magst du Kaffee?\"",\""lv\"":\""ти любиш каву?\""},{\""de\"":\""Sie mag Kinder.\"",\""lv\"":\""вона любить дітей.\""},{\""de\"":\""Ich möchte einen Kaffee.\"",\""lv\"":\""я хотів би кави\""}]"",""study.important"":""[\""mögen не є головним словом для ввічливого «я б». Зазвичай для цього використовується möchte.\"",\""Ich mag Kaffee означає «я люблю каву».\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"ee991ab6240c2fe0","ee991ab6240c2fe054b0f360636dea7aece6aeadfe17426d5824e3c7bc8f6415","DISC-G2-A1-DA-L0004","g2/a1/da|Appetit|idx:689|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","da","SRC-LV-94e45c643b7cc50e","crowdin-staging/g2/da-a1.json","Appetit|idx:689","lv, study","apetīte","Appetit","","{""lv"":""Appetit"",""study.translation"":""Appetit"",""study.explanation"":""[\""Hovedidé: Appetit er lysten til at spise. Ordet bruges normalt i ental.\"",\""Der Appetit betyder grundlæggende: lysten til at spise.\"",\""Beskriver ofte: følelse (kun ental).\"",\""Der Appetit er kun ental – appetit.\"",\""På A1-niveau mødes de ofte, for eksempel: Guten Appetit!\""]"",""study.examples"":""[{\""de\"":\""Guten Appetit!\"",\""lv\"":\""God appetit!\""},{\""de\"":\""Guten Appetit!\"",\""lv\"":\""God appetit!\""},{\""de\"":\""Ich habe keinen Appetit.\"",\""lv\"":\""Jeg har ingen appetit.\""}]"",""study.tip"":""[\""der Appetit = appetit\"",\""Brug der Appetit når konteksten passer til denne betydning.\""]"",""study.important"":""[\""der Appetit er kun ental.\"",\""Forkert: die Appetit → Korrekt: der Appetit\"",\""Forkert: Ich bin Appetit. → Korrekt: Jeg har appetit.\"",\""Føl: der Appetit.\""]""}","{""lv"":""Appetit"",""study.translation"":""Appetit"",""study.explanation"":""[\""Hovedidé: Appetit er lysten til at spise. Ordet bruges normalt i ental.\"",\""Der Appetit betyder grundlæggende: lysten til at spise.\"",\""Beskriver ofte: følelse (kun ental).\"",\""Der Appetit er kun ental – appetit.\"",\""På A1-niveau mødes de ofte, for eksempel: Guten Appetit!\""]"",""study.examples"":""[{\""de\"":\""Guten Appetit!\"",\""lv\"":\""God appetit!\""},{\""de\"":\""Guten Appetit!\"",\""lv\"":\""God appetit!\""},{\""de\"":\""Ich habe keinen Appetit.\"",\""lv\"":\""Jeg har ingen appetit.\""}]"",""study.tip"":""[\""der Appetit = appetit\"",\""Brug der Appetit når konteksten passer til denne betydning.\""]"",""study.important"":""[\""der Appetit er kun ental.\"",\""Forkert: die Appetit → Korrekt: der Appetit\"",\""Forkert: Ich bin Appetit. → Korrekt: Jeg har appetit.\"",\""Føl: der Appetit.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"6bf4a15130ab366b","6bf4a15130ab366bf898d675ba43506e9b8effd5706a5881722761ccc72bcbe8","DISC-G2-A1-FR-L0004","g2/a1/fr|sitzen|idx:558|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","fr","SRC-LV-9521ea54b1d644ad","crowdin-staging/g2/fr-a1.json","sitzen|idx:558","lv, study","sēdēt","sitzen","","{""lv"":""S'asseoir"",""study.translation"":""S'asseoir"",""study.explanation"":""[\""Idée principale : sitzen signifie s’asseoir.\"",\""Sitzen est utilisé pour une personne ou un animal assis.\"",\""Parfois, sitzen signifie aussi être à un certain endroit, mais dans A1, le sens principal est de s'asseoir.\"",\""Il est important de distinguer : sitzen = assis, stehen = debout, liegen = s'allonger.\""]"",""study.examples"":""[{\""de\"":\""Ich sitze am Tisch.\"",\""lv\"":\""Je suis assis à table.\""},{\""de\"":\""Die Kinder sitzen im Bus.\"",\""lv\"":\""Les enfants sont assis dans le bus.\""},{\""de\"":\""Er steht an der Tür.\"",\""lv\"":\""Il se tient à la porte.\""},{\""de\"":\""Die Katze liegt auf dem Sofa.\"",\""lv\"":\""Le chat dort sur le canapé.\""}]"",""study.comparison"":""[{\""word\"":\""sitzen\"",\""meaning\"":\""S'asseoir\"",\""example\"":\""Je suis assis à la table.\""},{\""word\"":\""stehen\"",\""meaning\"":\""Se tenir debout\"",\""example\"":\""Il se tient à la porte.\""},{\""word\"":\""liegen\"",\""meaning\"":\""Dormir / s'allonger\"",\""example\"":\""Le chat est couché là.\""},{\""word\"":\""setzen\"",\""meaning\"":\""S'asseoir / s'asseoir\"",\""example\"":\""Je m'assois.\""}]"",""study.tip"":""{\""text\"":\""Rappelez-vous : assis → sitzen • Debout → stehen • Couché → liegen.\""}"",""study.important"":""[\""Sitzen montre l'état « assis ».\"",\""S'asseoir est sich setzen, pas sitzen.\""]""}","{""lv"":""S'asseoir"",""study.translation"":""S'asseoir"",""study.explanation"":""[\""Idée principale : sitzen signifie s’asseoir.\"",\""Sitzen est utilisé pour une personne ou un animal assis.\"",\""Parfois, sitzen signifie aussi être à un certain endroit, mais dans A1, le sens principal est de s'asseoir.\"",\""Il est important de distinguer : sitzen = assis, stehen = debout, liegen = s'allonger.\""]"",""study.examples"":""[{\""de\"":\""Ich sitze am Tisch.\"",\""lv\"":\""Je suis assis à table.\""},{\""de\"":\""Die Kinder sitzen im Bus.\"",\""lv\"":\""Les enfants sont assis dans le bus.\""},{\""de\"":\""Er steht an der Tür.\"",\""lv\"":\""Il se tient à la porte.\""},{\""de\"":\""Die Katze liegt auf dem Sofa.\"",\""lv\"":\""Le chat dort sur le canapé.\""}]"",""study.comparison"":""[{\""word\"":\""sitzen\"",\""meaning\"":\""S'asseoir\"",\""example\"":\""Je suis assis à la table.\""},{\""word\"":\""stehen\"",\""meaning\"":\""Se tenir debout\"",\""example\"":\""Il se tient à la porte.\""},{\""word\"":\""liegen\"",\""meaning\"":\""Dormir / s'allonger\"",\""example\"":\""Le chat est couché là.\""},{\""word\"":\""setzen\"",\""meaning\"":\""S'asseoir / s'asseoir\"",\""example\"":\""Je m'assois.\""}]"",""study.tip"":""{\""text\"":\""Rappelez-vous : assis → sitzen • Debout → stehen • Couché → liegen.\""}"",""study.important"":""[\""Sitzen montre l'état « assis ».\"",\""S'asseoir est sich setzen, pas sitzen.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"6c00419221324cc9","6c00419221324cc92e094d4ac954f0c3d1474ddd6be76fcda19d7175ad301b46","DISC-G2-A1-LT-L0004","g2/a1/lt|sitzen|idx:558|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","lt","SRC-LV-9521ea54b1d644ad","crowdin-staging/g2/lt-a1.json","sitzen|idx:558","lv, study","sēdēt","sitzen","","{""lv"":""sėdėti"",""study.translation"":""sėdėti"",""study.explanation"":""[\""Pagrindinė mintis: sitzen reiškia sėdėti.\"",\""sitzen vartojamas apie žmogų ar gyvūną, kuris sėdi.\"",\""Kartais sitzen reiškia ir būti tam tikroje vietoje, bet A1 lygyje pagrindinė reikšmė yra sėdėti.\"",\""Svarbu skirti: sitzen = sėdėti, stehen = stovėti, liegen = gulėti.\""]"",""study.examples"":""[{\""de\"":\""Ich sitze am Tisch.\"",\""lv\"":\""aš sėdžiu prie stalo.\""},{\""de\"":\""Die Kinder sitzen im Bus.\"",\""lv\"":\""vaikai sėdi autobuse.\""},{\""de\"":\""Er steht an der Tür.\"",\""lv\"":\""jis stovi prie durų.\""},{\""de\"":\""Die Katze liegt auf dem Sofa.\"",\""lv\"":\""katė guli ant sofos.\""}]"",""study.comparison"":""[{\""word\"":\""sitzen\"",\""meaning\"":\""sėdėti\"",\""example\"":\""Ich sitze am Tisch.\""},{\""word\"":\""stehen\"",\""meaning\"":\""stovėti\"",\""example\"":\""Er steht an der Tür.\""},{\""word\"":\""liegen\"",\""meaning\"":\""gulėti / būti gulsčioje padėtyje\"",\""example\"":\""Die Katze liegt dort.\""},{\""word\"":\""setzen\"",\""meaning\"":\""atsisėsti / pasodinti\"",\""example\"":\""Ich setze mich.\""}]"",""study.tip"":""{\""text\"":\""Atmink: sėdint → sitzen; stovint → stehen; gulint → liegen.\""}"",""study.important"":""[\""sitzen rodo būseną „sėdėti“.\"",\""Atsisėsti yra sich setzen, o ne sitzen.\""]""}","{""lv"":""sėdėti"",""study.translation"":""sėdėti"",""study.explanation"":""[\""Pagrindinė mintis: sitzen reiškia sėdėti.\"",\""sitzen vartojamas apie žmogų ar gyvūną, kuris sėdi.\"",\""Kartais sitzen reiškia ir būti tam tikroje vietoje, bet A1 lygyje pagrindinė reikšmė yra sėdėti.\"",\""Svarbu skirti: sitzen = sėdėti, stehen = stovėti, liegen = gulėti.\""]"",""study.examples"":""[{\""de\"":\""Ich sitze am Tisch.\"",\""lv\"":\""aš sėdžiu prie stalo.\""},{\""de\"":\""Die Kinder sitzen im Bus.\"",\""lv\"":\""vaikai sėdi autobuse.\""},{\""de\"":\""Er steht an der Tür.\"",\""lv\"":\""jis stovi prie durų.\""},{\""de\"":\""Die Katze liegt auf dem Sofa.\"",\""lv\"":\""katė guli ant sofos.\""}]"",""study.comparison"":""[{\""word\"":\""sitzen\"",\""meaning\"":\""sėdėti\"",\""example\"":\""Ich sitze am Tisch.\""},{\""word\"":\""stehen\"",\""meaning\"":\""stovėti\"",\""example\"":\""Er steht an der Tür.\""},{\""word\"":\""liegen\"",\""meaning\"":\""gulėti / būti gulsčioje padėtyje\"",\""example\"":\""Die Katze liegt dort.\""},{\""word\"":\""setzen\"",\""meaning\"":\""atsisėsti / pasodinti\"",\""example\"":\""Ich setze mich.\""}]"",""study.tip"":""{\""text\"":\""Atmink: sėdint → sitzen; stovint → stehen; gulint → liegen.\""}"",""study.important"":""[\""sitzen rodo būseną „sėdėti“.\"",\""Atsisėsti yra sich setzen, o ne sitzen.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"98b64f36d4c1f141","98b64f36d4c1f14178ef0dccd4bd825595cedec89dae85bf8fe98799e8d9af50","DISC-G2-A1-SL-L0004","g2/a1/sl|sitzen|idx:558|lv, study|SOURCE_LV_ISSUE|gpt-5.6-luna","sl","SRC-LV-9521ea54b1d644ad","crowdin-staging/g2/sl-a1.json","sitzen|idx:558","lv, study","sēdēt","sitzen","","{""lv"":""sedeti"",""study.translation"":""sedeti"",""study.explanation"":""[\""Glavna ideja: sitzen pomeni sedeti.\"",\""sitzen se uporablja za osebo ali žival, ki sede.\"",\""Včasih sitzen pomeni tudi biti na določenem kraju, vendar na ravni A1 je glavna pomen sedeti.\"",\""Pomembno je razlikovati: sitzen = sedeti, stehen = stati, liegen = ležati.\""]"",""study.examples"":""[{\""de\"":\""Ich sitze am Tisch.\"",\""lv\"":\""jaz sedim pri mizi.\""},{\""de\"":\""Die Kinder sitzen im Bus.\"",\""lv\"":\""otroci sedijo v avtobusu.\""},{\""de\"":\""Er steht an der Tür.\"",\""lv\"":\""on stoji pri vratih.\""},{\""de\"":\""Die Katze liegt auf dem Sofa.\"",\""lv\"":\""mačka leži na kauču.\""}]"",""study.comparison"":""[{\""word\"":\""sitzen\"",\""meaning\"":\""sedeti\"",\""example\"":\""Sedim pri mizi.\""},{\""word\"":\""stehen\"",\""meaning\"":\""stati\"",\""example\"":\""Stoji pri vratih.\""},{\""word\"":\""liegen\"",\""meaning\"":\""ležati / biti ležeč\"",\""example\"":\""Mačka leži tam.\""},{\""word\"":\""setzen\"",\""meaning\"":\""usesti / posedati\"",\""example\"":\""Sedem si.\""}]"",""study.tip"":""{\""text\"":\""Atceries: sēdus → sitzen; stāvus → stehen; guļus → liegen.\""}"",""study.important"":""[\""sitzen označuje stanje \\\""sedeti\\\"".\"",\""Usesti je sich setzen, ne sitzen.\""]""}","{""lv"":""sedeti"",""study.translation"":""sedeti"",""study.explanation"":""[\""Glavna ideja: sitzen pomeni sedeti.\"",\""sitzen se uporablja za osebo ali žival, ki sede.\"",\""Včasih sitzen pomeni tudi biti na določenem kraju, vendar na ravni A1 je glavna pomen sedeti.\"",\""Pomembno je razlikovati: sitzen = sedeti, stehen = stati, liegen = ležati.\""]"",""study.examples"":""[{\""de\"":\""Ich sitze am Tisch.\"",\""lv\"":\""jaz sedim pri mizi.\""},{\""de\"":\""Die Kinder sitzen im Bus.\"",\""lv\"":\""otroci sedijo v avtobusu.\""},{\""de\"":\""Er steht an der Tür.\"",\""lv\"":\""on stoji pri vratih.\""},{\""de\"":\""Die Katze liegt auf dem Sofa.\"",\""lv\"":\""mačka leži na kauču.\""}]"",""study.comparison"":""[{\""word\"":\""sitzen\"",\""meaning\"":\""sedeti\"",\""example\"":\""Sedim pri mizi.\""},{\""word\"":\""stehen\"",\""meaning\"":\""stati\"",\""example\"":\""Stoji pri vratih.\""},{\""word\"":\""liegen\"",\""meaning\"":\""ležati / biti ležeč\"",\""example\"":\""Mačka leži tam.\""},{\""word\"":\""setzen\"",\""meaning\"":\""usesti / posedati\"",\""example\"":\""Sedem si.\""}]"",""study.tip"":""{\""text\"":\""Atceries: sēdus → sitzen; stāvus → stehen; guļus → liegen.\""}"",""study.important"":""[\""sitzen označuje stanje \\\""sedeti\\\"".\"",\""Usesti je sich setzen, ne sitzen.\""]""}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","",""
"db8b3574a8a84c74","db8b3574a8a84c74839b3d5b98e04b5ba64a76f7b7db9a4ccadd5b73dd349108","DISC-G2-A1-FI-L0005","g2/a1/fi|Urlaub|idx:695|lv and study.* Latvian fields|SOURCE_LV_ISSUE|gpt-5.6-luna","fi","SRC-LV-9545f4b1b3d9eecd","crowdin-staging/g2/fi-a1.json","Urlaub|idx:695","lv and study.* Latvian fields","atvaļinājums","Urlaub","","{""lv"":""Puhkus"",""study.* Latvian fields"":null}","{""lv"":""Puhkus"",""study.* Latvian fields"":null}","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","",""
"dab4c4a8a0cbbb61","dab4c4a8a0cbbb614017c319b7c016d90c636232195d3c37d14bb76d41b43343","DISC-G2-A1-BG-L0001","g2/a1/bg|siebzehn|idx:553|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","bg","SRC-LV-9589ef58d2fd7881","crowdin-staging/g2/bg-a1.json","siebzehn|idx:553","lv","septiņpadsmit","siebzehn","","Седемнадесет","Седемнадесет","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"d9a0621f388d8249","d9a0621f388d8249054fcdb36519964ae3d8a74164059643b8634e137ff125a5","DISC-G2-A1-CS-L0001","g2/a1/cs|siebzehn|idx:553|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","cs","SRC-LV-9589ef58d2fd7881","crowdin-staging/g2/cs-a1.json","siebzehn|idx:553","lv","septiņpadsmit","siebzehn","","Sedmnáct","Sedmnáct","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"0434fe6ca621852b","0434fe6ca621852b07fed2e70fbd5dd317138244e88fd66b4837e9bd484c5ae2","DISC-G2-A1-EN-L0001","g2/a1/en|siebzehn|idx:553|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","en","SRC-LV-9589ef58d2fd7881","crowdin-staging/g2/en-a1.json","siebzehn|idx:553","lv","septiņpadsmit","siebzehn","","Seventeen","Seventeen","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
"bee4b601711d1d92","bee4b601711d1d92b5078a128a4f9d59c0176897d8c2747004e4c2a501200b44","DISC-G2-A1-ES-L0001","g2/a1/es|siebzehn|idx:553|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","es","SRC-LV-9589ef58d2fd7881","crowdin-staging/g2/es-a1.json","siebzehn|idx:553","lv","septiņpadsmit","siebzehn","","diecisiete","diecisiete","PASS","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","",""
