sequence,language,key,lvSource,current,ownerStatus,newValue,reason,placeholderTokens,htmlTags
1,bs,card.sessionLabel,Sesija,Sesija,NELABOT,,"Sesija ir standarta kognāts mērķvalodā (lt/bs) — apzināta sakritība ar LV, nevis neiztulkots teksts.",,
2,bs,extra.statistics,Statistika,Statistika,NELABOT,,Statistika ir pareizs kognāts mērķvalodā (skandināvu/baltu/slāvu u.c.) — apzināta sakritība ar LV.,,
3,bs,kurss.lessonItems.1.title,Lekcija 1,Lekcija 1,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
4,bs,kurss.lessonItems.10.title,Lekcija 10,Lekcija 10,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
5,bs,kurss.lessonItems.11.title,Lekcija 11,Lekcija 11,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
6,bs,kurss.lessonItems.12.title,Lekcija 12,Lekcija 12,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
7,bs,kurss.lessonItems.13.title,Lekcija 13,Lekcija 13,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
8,bs,kurss.lessonItems.14.title,Lekcija 14,Lekcija 14,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
9,bs,kurss.lessonItems.15.title,Lekcija 15,Lekcija 15,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
10,bs,kurss.lessonItems.16.menuDesc,"Dativs, geben, sich nähern.","Dativs, geben, sich nähern.",LABOT,"Dativ, geben, sich nähern.",Dativs ir latviešu gramatikas forma — mērķvalodā jāizmanto DE pedagoģijas termins Dativ.,,
11,bs,kurss.lessonItems.16.title,Lekcija 16,Lekcija 16,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
12,bs,kurss.lessonItems.17.title,Lekcija 17,Lekcija 17,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
13,bs,kurss.lessonItems.18.title,Lekcija 18,Lekcija 18,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
14,bs,kurss.lessonItems.19.title,Lekcija 19,Lekcija 19,NELABOT,,Lekcija N ir pareizs slāvu mērķvalodas kognāts lekcijas numerācijai — apzināta sakritība ar LV.,,
