finding_stable_ids,escalation_batch_id,decision_target_key,non_owner_identity_hash,unresolved_category,owner_status_before,owner_decision_before,owner_note_before_prefix,owner_status_after,owner_decision_after,owner_note_after_prefix,decision_rule,decision_provenance
"g2/a1/en|Fernsehen|idx:688|study.explanation|DE_SOURCE_ISSUE|gpt-5.6-luna","ESC-001","26d3f5c46e08660a41e104d1ba3c9920d18663c6a8393930c51b4ed9b6834acf","06c6cc925d9938a92fb6b3c37b8862b4c55855fc789941ad14c3bd6d82d7df69","OTHER_OWNER_REVIEW_REQUIRED","DECIDED","NELABOT","DE_SOURCE_ISSUE:","PENDING","","OWNER_REVIEW_REQUIRED: OTHER_OWNER_REVIEW_REQUIRED. mapping=EXACT_FIELD bucket=O","DE_SOURCE_ISSUE","AUTOMATIC_RULE_DECISION"
"g2/a1/en|essen|idx:690|study.explanation|DE_SOURCE_ISSUE|gpt-5.6-luna","ESC-001","66301c15776d7eaa52aa792f7e8c1d591302117c5ad3811722947c0e590be108","f9fead681a54145ac274a472c82b7c0351545e92b403fabb266b374e8ce406fc","OTHER_OWNER_REVIEW_REQUIRED","DECIDED","NELABOT","DE_SOURCE_ISSUE:","PENDING","","OWNER_REVIEW_REQUIRED: OTHER_OWNER_REVIEW_REQUIRED. mapping=EXACT_FIELD bucket=O","DE_SOURCE_ISSUE","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-es|a1.card.a1-es.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-001","600b5f0a50ee5f847c3a6767b4a25bfaea7f3f9635bd3273c92ad13072d49c2a","b4403c3b3812023befd67b85573d42c8a7345b1c1d3675bf3f1e63ab103ebb24","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-euch|a1.card.a1-euch.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-001","d70b930052f270834e62cefc0f2008814025a75fcc2209f6e0158ae1611cfaaf","c2fa7c634d243c02e472309aa41a6e747bb1f1a9b7d5c714133cb5e9a9b8e490","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-euch|a1.card.a1-euch.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ESC-001","1a2302e5bc057e59adebd39f90ee6df7019855ebdf4a637d7aa62433c1aa9227","9faae4f27f0704a7d45654a93a0581119eaa4521310a6fec56a69e7d5ced65da","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-fuer|a1.card.a1-fuer.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-001","c8ba59068b93d0bb49675ced716b45558766aa3f16a97c5c034a5fa53fb5f07b","dd31b5a0a075ddd4c2b3db8e26718ed727a991530a298814e295f7cbeb4bc8d5","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-geschichte-study|a1.card.a1-geschichte-study.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-001","3e62646ee489b0e34b11176405b5192312eecd8b9c97b0f8895d3e1f3a006738","17e38ebfeb4fdb4958c4144e10d8dd3f0a92451bf1e0854cd1aace94fd5ca1f7","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-machen|a1.card.a1-machen.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-001","ad0fa5a42b127e7073efe65c998d64a676f12bbea95359b092355ce4657112e1","6b52ceb8892bc194ed5a4cbee401c938780ac6fd90b3f937b51c906c6f6e9ca7","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-nehmen|a1.card.a1-nehmen.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","edb812a25e99a41a786409ed85cb0d8076c77bf05e83276902f6cbc9dc213e5c","83bec5afbfab16d4eb42e19590f9bf033e0089f0bb2d6f87c12e339977dc2eec","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-nehmen|a1.card.a1-nehmen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","2d907ce013b97803a466ed6bcbc8b4c286b5b3dadcd023d24d5570f8977bf171","8eedbf7ea6b9e7a6bfd479efd578db9bcb8acb818bf0066733857f6544f21aad","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-nur-study|a1.card.a1-nur-study.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","5b9a9351a2341f82bacf610b24e743d8bdd8e19e7196f8a9a7906dbd52499c08","783afe26d7a48984b8a841a115aa42716f265295f5aa9159002379792bd78448","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-oder|a1.card.a1-oder.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","43e582d7211d66f51911e1d35ecbc79923341ea50c2a319dead53e69027f2fb1","f04c2553cb90ff67fe9eb6c71bcbc7d7deb547e757264e421505329d694152f0","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-oder|a1.card.a1-oder.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","2110b01497a7ed27802d41235e2c7e158694ca8600d8d35a5683bbd7bb9c27e5","01f4df95eaa7cafd87ecaed00f7016d835b3ecc0a40a5487a4e56c7672e316e9","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-passen|a1.card.a1-passen.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","3eafab31bb0cb4f6977b1d35c02c26419055ba45dcb27cf4d35fdd9e0c37e11f","7dc97ff10e41ebc76cb2e5bc9e75890e3c956bda7b5c5330043ebe14e2e832e1","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|a1-probieren|a1.card.a1-probieren.native|MULTI_TRANSLATION|deterministic/multi-translation","ESC-002","38687222e376c61510753a32ea4fdaf20439cf66eee1dccfa740fc1d53d0371b","c0a544b5ef365e1a7564296ab6acc7fb08727c661489878ca621f19a0632f33b","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED","DECIDED","NELABOT","MULTI_TRANSLATION_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED. mapping=EXACT","UNCHANGED_SINCE_DISCOVERY_SCALAR","AUTOMATIC_RULE_DECISION"
"g2/a1/es|also|idx:26|study.examples|MISTRANSLATION|gpt-5.6-luna","ESC-002","1530cb896ec8930631cf9565ba7970873d539a56abdb148fa2004fa1ee3f587a","32d9ab6250d68c36bf79618b33dafb14a209b0a4c0a96ff4aa713c178ef93ea5","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|auch|idx:48|study.examples|MISTRANSLATION|gpt-5.6-luna","ESC-002","0852cd27be12e1ce983acc9930ce44934496b0cc1bbba8005411834bf2465b98","c4814af9a97b41e371c1c14fe7d8154ca371299fa680b16892a42558bde0467e","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|auf|idx:49|study.comparison|MISTRANSLATION|gpt-5.6-luna","ESC-002","bcb87c0f4b681d739010d363d6cdcdd3532cac4a4377963229c2de71f24c7bfa","b073ea0e5b3123064559ff1db92a04a9f89184c084409aeb53c8a2eaae3a842d","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|aus|idx:57|study.comparison|MISTRANSLATION|gpt-5.6-luna","ESC-002","43450051c1e446d48c7ccd09f12df44b4c5ad6fad6b6c7ba7f2527356fa52b7c","d30c5bdf6c53040bace40d01a9801c151982f6e3e9d7f0faf25d33b80eeee0cd","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|bis|idx:91|study.comparison|MISTRANSLATION|gpt-5.6-luna","ESC-002","b5a57731ca900e23addace8951d67b60f3aa83a4ebc5f3912ecbcb3656483efd","fac8e30d36ebb69bcfdebd7da588c35ffb4227033aadb40021538ea977e48076","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|das|idx:129|study.important|MISTRANSLATION|gpt-5.6-luna","ESC-002","22c5d1ee467200db71844a6832c9a2ea0e4eb8eeaa1bd9ece19799a2880a0f99","6d307b15a2bffb22cba6d37b861810f7b5a369fb39a530cd53c5b63d559a06fa","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|fahren|idx:172|study.explanation|TRANSLATION_ERROR|gpt-5.6-luna","ESC-002","5576dac450d050f3b9cbd1cd4ce477abf167b80453db4d90b258ec2d5bf8cc94","0bf97a38682d293668678de290b54f5eda2d4020667cd6cc5ac7694d33e53bb8","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
"g2/a1/es|finden|idx:187|study.examples|MEANING_ERROR|gpt-5.6-luna","ESC-002","f7f7cee3fe0123c8152215042fcb6ef8872d6de65bead22b6a0153c49ce6eba1","86be068b291d01c4186aeefa291ad92020261e5061800aebbcc86445df8c4860","SEMANTIC_MEANING_REVIEW_REQUIRED","DECIDED","NELABOT","TARGET_VALUE_VALID:","PENDING","","OWNER_REVIEW_REQUIRED: SEMANTIC_MEANING_REVIEW_REQUIRED. mapping=EXACT_FIELD buc","SEMANTIC_TARGET_VALUE_VALID","AUTOMATIC_RULE_DECISION"
