source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category
"BATCH-209","1c78b223a6b354e2","1c78b223a6b354e2942555c4519d210554e52bedb342673e805a639ff2ae10ba","G2A1P3-LB-0001","g2/a1/lb|a1-ab|a1.card.a1-ab.study.comparison[1].meaning|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-ab","a1.card.a1-ab.study.comparison[1].meaning","no kāda/kaut kā • izcelsme","ab","No kāda/kaut kā • Izcelsme","No kāda/kaut kā • Izcelsme","No kāda/kaut kā • Izcelsme","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-ab / a1.card.a1-ab.study.comparison[1].meaning: exact Luxembourgish wording for German 'ab' (Latvian 'no kāda/kaut kā • izcelsme') is not established by the supplied evidence; production currently has 'No kāda/kaut kā • Izcelsme' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-210","daff5d14bce78278","daff5d14bce78278b437ae8820da2847aeab47364c838b97713131f8b7811842","G2A1P3-LB-0002","g2/a1/lb|a1-aber|a1.card.a1-aber.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-aber","a1.card.a1-aber.study.comparison[0].meaning","pretstats • iebilde • tomēr","aber","Pretstats • Iebilde • Tomēr","Pretstats • Iebilde • Tomēr","Pretstats • Iebilde • Tomēr","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-aber / a1.card.a1-aber.study.comparison[0].meaning: exact Luxembourgish wording for German 'aber' (Latvian 'pretstats • iebilde • tomēr') is not established by the supplied evidence; production currently has 'Pretstats • Iebilde • Tomēr' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-209","529226fd5355c5a3","529226fd5355c5a312d373c857cfb08ea7224e561da0b347aeb3481f5a65d7f4","G2A1P3-LB-0004","g2/a1/lb|a1-an|a1.card.a1-an.native|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-an","a1.card.a1-an.native","pie","an","Von • Zu • Present","Von • Zu • Present","Von • Zu • Present","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-an / a1.card.a1-an.native: exact Luxembourgish wording for German 'an' (Latvian 'pie') is not established by the supplied evidence; production currently has 'Von • Zu • Present' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-209","0dedbe735b134106","0dedbe735b134106549cc2b64865d196a1418bc37e47c963972671cb5a8a7326","G2A1P3-LB-0005","g2/a1/lb|a1-an|a1.card.a1-an.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-an","a1.card.a1-an.study.translation","pie","an","Op • Op der Uewerfläch • Am Rand","Op • Op der Uewerfläch • Am Rand","Op • Op der Uewerfläch • Am Rand","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-an / a1.card.a1-an.study.translation: exact Luxembourgish wording for German 'an' (Latvian 'pie') is not established by the supplied evidence; production currently has 'Op • Op der Uewerfläch • Am Rand' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-209","024c7e7f61f76ded","024c7e7f61f76ded9e2b115158d3d28a35eccc2e121289b4d1f28a08b8e73205","G2A1P3-LB-0006","g2/a1/lb|a1-aufs|a1.card.a1-aufs.native|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-aufs","a1.card.a1-aufs.native","uz","aufs","Uz • Virsū • Kurp?","Uz • Virsū • Kurp?","Uz • Virsū • Kurp?","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-aufs / a1.card.a1-aufs.native: exact Luxembourgish wording for German 'aufs' (Latvian 'uz') is not established by the supplied evidence; production currently has 'Uz • Virsū • Kurp?' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-209","5eef67984e2c142b","5eef67984e2c142bf59df8d9a69a6edbebba6fc273986669518f83a819a3b1d1","G2A1P3-LB-0007","g2/a1/lb|a1-aufs|a1.card.a1-aufs.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-aufs","a1.card.a1-aufs.study.translation","uz","aufs","Uz • Virsū • Kurp?","Uz • Virsū • Kurp?","Uz • Virsū • Kurp?","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-aufs / a1.card.a1-aufs.study.translation: exact Luxembourgish wording for German 'aufs' (Latvian 'uz') is not established by the supplied evidence; production currently has 'Uz • Virsū • Kurp?' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-210","fa6805a56b25c21c","fa6805a56b25c21c341e50003b8cc40d6094a9a0b9c59817a76207f3491692ae","G2A1P3-LB-0008","g2/a1/lb|a1-aus|a1.card.a1-aus.native|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-aus","a1.card.a1-aus.native","no","aus","No • Ārā","No • Ārā","No • Ārā","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-aus / a1.card.a1-aus.native: exact Luxembourgish wording for German 'aus' (Latvian 'no') is not established by the supplied evidence; production currently has 'No • Ārā' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-209","5a7c67653463aa72","5a7c67653463aa72df76a00279854fa985df73a702f7d6510c05d36ec05f6d7a","G2A1P3-LB-0009","g2/a1/lb|a1-aus|a1.card.a1-aus.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-aus","a1.card.a1-aus.study.translation","no","aus","No • Ārā","No • Ārā","No • Ārā","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-aus / a1.card.a1-aus.study.translation: exact Luxembourgish wording for German 'aus' (Latvian 'no') is not established by the supplied evidence; production currently has 'No • Ārā' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-210","93124f5cf1a5c853","93124f5cf1a5c853d7c86b5f52c89207cbd588e489c1864e1705c5ab0238805a","G2A1P3-LB-0010","g2/a1/lb|a1-besuch|a1.card.a1-besuch.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-besuch","a1.card.a1-besuch.study.comparison[0].meaning","apmeklējums • apciemojums • vizīte","Besuch","Besuch • Visioun • Vizit","Besuch • Visioun • Vizit","Besuch • Visioun • Vizit","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-besuch / a1.card.a1-besuch.study.comparison[0].meaning: exact Luxembourgish wording for German 'Besuch' (Latvian 'apmeklējums • apciemojums • vizīte') is not established by the supplied evidence; production currently has 'Besuch • Visioun • Vizit' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
"BATCH-210","c8a6c04e12efc53c","c8a6c04e12efc53c87616e8432530cc9468a00f8eb00fd3a44c1a546969e7850","G2A1P3-LB-0012","g2/a1/lb|a1-besuchen|a1.card.a1-besuchen.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","lb","","crowdin-staging/g2/lb-a1.json","a1-besuchen","a1.card.a1-besuchen.study.comparison[0].meaning","apmeklēt vietu vai pasākumu • apciemot personu","besuchen","eng Plaz oder eng Manifestatioun besuchen • eng Persoun besuchen","eng Plaz oder eng Manifestatioun besuchen • eng Persoun besuchen","eng Plaz oder eng Manifestatioun besuchen • eng Persoun besuchen","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","PENDING after individual lexical review of a1-besuchen / a1.card.a1-besuchen.study.comparison[0].meaning: exact Luxembourgish wording for German 'besuchen' (Latvian 'apmeklēt vietu vai pasākumu • apciemot personu') is not established by the supplied evidence; production currently has 'eng Plaz oder eng Manifestatioun besuchen • eng Persoun besuchen' and no candidate replacement. A Luxembourgish OWNER must supply or confirm the precise lemma.","MULTI_TRANSLATION_SCALAR_DECISION_REQUIRED"
