batch_id,review_track,review_group_id,source_cluster_id,decision_target_key,finding_member_id,finding_stable_id,language,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_review_bucket,reason,severity,conflict_status,post_crowdin_state,owner_status,owner_decision,owner_new,owner_note
"BATCH-192","MULTI_TRANSLATION_REVIEW","6c392671e209739d","","6c392671e209739d9b3581ad08970b7f1ff0fa7c16abba94395dbc638e5bca23","G2A1P3-BG-0001","g2/a1/bg|a1-ab|a1.card.a1-ab.study.comparison[1].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-ab","a1.card.a1-ab.study.comparison[1].meaning","no","ab","От някого/нещо • Произход","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-193","MULTI_TRANSLATION_REVIEW","c66c72a71d8f6ec5","","c66c72a71d8f6ec5ec4eb18d6d387f91811779783d49f1366fd37da433470d62","G2A1P3-BG-0002","g2/a1/bg|a1-aber|a1.card.a1-aber.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-aber","a1.card.a1-aber.study.comparison[0].meaning","bet","aber","Противоположно • Възражение • Въпреки това","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-192","MULTI_TRANSLATION_REVIEW","80efcb5aaa1d7445","","80efcb5aaa1d7445b5506ce2882dc8989f39a6d858fead9cdd9b6223f7464d34","G2A1P3-BG-0004","g2/a1/bg|a1-also|a1.card.a1-also.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-also","a1.card.a1-also.study.comparison[0].meaning","tātad","also","Така • Следователно","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-192","MULTI_TRANSLATION_REVIEW","92d5476be01dad5a","","92d5476be01dad5a30aa20b827f8dd2b90aad7063c040893284306709f7c2208","G2A1P3-BG-0005","g2/a1/bg|a1-an|a1.card.a1-an.native|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-an","a1.card.a1-an.native","pie","an","В • До • Настояще","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-192","MULTI_TRANSLATION_REVIEW","5a97ad7a75d567c3","","5a97ad7a75d567c336c9d63d69f1438297a6df428d5d05334a7f75d7dde01fe9","G2A1P3-BG-0006","g2/a1/bg|a1-an|a1.card.a1-an.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-an","a1.card.a1-an.study.translation","pie","an","На • На повърхността • На ръба","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-192","MULTI_TRANSLATION_REVIEW","6b560d89d7003f44","","6b560d89d7003f44dc783aa74be1d48063c646f49b3190469adfc349dc2d91cb","G2A1P3-BG-0007","g2/a1/bg|a1-auf|a1.card.a1-auf.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-auf","a1.card.a1-auf.study.important[1]","uz","auf","Ако нещо е близо до вертикална повърхност, често ще имате нужда • Ако е вътре, тогава трябва да влезете.","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-193","MULTI_TRANSLATION_REVIEW","ffcbca7f6316ebfb","","ffcbca7f6316ebfb56c971e7a28c747c9b1efdd86bc141fcf6a0591a46f51720","G2A1P3-BG-0008","g2/a1/bg|a1-aus|a1.card.a1-aus.native|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-aus","a1.card.a1-aus.native","no","aus","От • От","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-192","MULTI_TRANSLATION_REVIEW","68bef4f463ad25be","","68bef4f463ad25bee395b0ee47a808ea16514ce5efb628412b6b6ad05026e0a0","G2A1P3-BG-0009","g2/a1/bg|a1-aus|a1.card.a1-aus.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-aus","a1.card.a1-aus.study.translation","no","aus","От • От","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-192","MULTI_TRANSLATION_REVIEW","9826215a1725618c","","9826215a1725618cae6defb21ae820271348ad7588aeb5a867297a83918c2f6d","G2A1P3-BG-0010","g2/a1/bg|a1-besuch|a1.card.a1-besuch.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-besuch","a1.card.a1-besuch.study.comparison[0].meaning","apmeklējums","Besuch","посещение • навик • визита","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
"BATCH-193","MULTI_TRANSLATION_REVIEW","cd81efb31b119400","","cd81efb31b1194002bd2472ac79693cfcdffc27d599ee257a489dbf975ffb436","G2A1P3-BG-0012","g2/a1/bg|a1-besuchen|a1.card.a1-besuchen.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","crowdin-staging/g2/bg-a1.json","a1-besuchen","a1.card.a1-besuchen.study.comparison[0].meaning","apmeklēt","besuchen","посещавам място или събитие • навизитирам человек","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","FIELD_NOT_FOUND","PENDING","","",""
