source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category
"BATCH-193","c94b0d77b12c93e4","c94b0d77b12c93e45a21afba2fe278bf27d18632c9233968c8559f30ad309bb7","G2A1P3-BG-0120","g2/a1/bg|a1-uhr|a1.card.a1-uhr.study.examples[5].native|MULTI_TRANSLATION|deterministic/multi-translation","bg","","crowdin-staging/g2/bg-a1.json","a1-uhr","a1.card.a1-uhr.study.examples[5].native","pulkstenis","Uhr","Устройство/час на часовника • Di Zeit","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=MULTI_TRANSLATION_REVIEW_REQUIRED lang=bg field=a1.card.a1-uhr.study.examples[5].native confirmed field absent in current production schema; LABOT apply target does not exist. production_current is empty; exact COPY-ONLY correction cannot be authorized without a resolved scalar target.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","9b069bc9bef5c825","9b069bc9bef5c825d01468241115769584495e750a7d545dd7c05b5d01203bab","DISC-G2-A1-BG-L0001","g2/a1/bg|also|idx:26|study.examples[1].lv; study.examples[2].lv|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","also|idx:26","study.examples[1].lv; study.examples[2].lv","tātad","also","","{""study.examples[1].lv"":null,""study.examples[2].lv"":null}","{""study.examples[1].lv"":null,""study.examples[2].lv"":null}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.examples[1].lv; study.examples[2].lv confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","8a8e510567d81e87","8a8e510567d81e875603f14a6199a62afc8620dfec042797d8091c37ef8167c2","DISC-G2-A1-BG-L0002","g2/a1/bg|auch|idx:48|study.examples[1].lv; study.examples[2].lv|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","auch|idx:48","study.examples[1].lv; study.examples[2].lv","arī","auch","","{""study.examples[1].lv"":null,""study.examples[2].lv"":null}","{""study.examples[1].lv"":null,""study.examples[2].lv"":null}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.examples[1].lv; study.examples[2].lv confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","787e5c5d8beec51f","787e5c5d8beec51fb088bed240f2185ec688a149501042ae8a877e4ac3e35cf3","DISC-G2-A1-BG-L0003","g2/a1/bg|auf|idx:49|study.comparison[1]; study.examples[1].lv|CONTENT_ERROR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","auf|idx:49","study.comparison[1]; study.examples[1].lv","uz","auf","","{""study.comparison[1]"":""{\""word\"":\""an\"",\""meaning\"":\""Включено (вертикална повърхност)\"",\""example\"":\""Ich hänge das Bild an die Wand. – Я окачвам картината на стената.\""}"",""study.examples[1].lv"":null}","{""study.comparison[1]"":""{\""word\"":\""an\"",\""meaning\"":\""Включено (вертикална повърхност)\"",\""example\"":\""Ich hänge das Bild an die Wand. – Я окачвам картината на стената.\""}"",""study.examples[1].lv"":null}","PASS","","CONTENT_ERROR","SEMANTIC_OR_MEANING_ERROR","","MEDIUM","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.comparison[1]; study.examples[1].lv confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","4aad87d806f51bfa","4aad87d806f51bfa85788bd48ceb7cc79d4130e0aefeaa36ae68578df8f37f28","DISC-G2-A1-BG-L0005","g2/a1/bg|aufs|idx:60|study.explanation[2]; study.important[0]; study.important[2]; study.important[3]; study.examples[6].lv|CONTENT_ERROR|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","aufs|idx:60","study.explanation[2]; study.important[0]; study.important[2]; study.important[3]; study.examples[6].lv","uz","aufs","","{""study.explanation[2]"":""Използва се, когато дадено действие показва посоката към определено нещо или повърхност - отговаря на въпроса къде?"",""study.important[0]"":""Aufs = auf das, само със съществително от произволен род, къде? в завоя."",""study.important[2]"":""На хоризонтална повърхност често се използва auf den вместо aufs."",""study.important[3]"":""Да не се бърка с \""in\"" (на стената) или \""ins\"" (вътре в стаята)."",""study.examples[6].lv"":null}","{""study.explanation[2]"":""Използва се, когато дадено действие показва посоката към определено нещо или повърхност - отговаря на въпроса къде?"",""study.important[0]"":""Aufs = auf das, само със съществително от произволен род, къде? в завоя."",""study.important[2]"":""На хоризонтална повърхност често се използва auf den вместо aufs."",""study.important[3]"":""Да не се бърка с \""in\"" (на стената) или \""ins\"" (вътре в стаята)."",""study.examples[6].lv"":null}","PASS","","CONTENT_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.explanation[2]; study.important[0]; study.important[2]; study.important[3]; study.examples[6].lv confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","0de13fdd792637b6","0de13fdd792637b671fc14a6a3ffa2735e1407ab12dd0b7f59594e0697b7d5ab","DISC-G2-A1-BG-L0001","g2/a1/bg|das|idx:129|study.comparison, study.important, study.examples[2].lv|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","das|idx:129","study.comparison, study.important, study.examples[2].lv","[{""word"":""das"",""meaning"":""tas (artikuls / vietniekvārds)"",""example"":""Das ist mein Auto. – Tas ir mans auto.""},{""word"":""dies"",""meaning"":""šis"",""example"":""Dies ist mein Auto. – Šis ir mans auto.""},{""word"":""welches"",""meaning"":""kurš • kura • kuru"",""example"":""Das ist das Buch, welches ich lese. – Tā ir grāmata, kuru es lasu.""}]","das","","{""study.comparison"":""[{\""word\"":\""das\"",\""meaning\"":\""Това (член/местоимение)\"",\""example\"":\""Това е моята кола. – Tas ir mans auto.\""},{\""word\"":\""dies\"",\""meaning\"":\""Този\"",\""example\"":\""Dies ist mein Auto. – Това е моята кола.\""},{\""word\"":\""welches\"",\""meaning\"":\""Кой • Кой • Кой\"",\""example\"":\""Das ist das Buch, welches ich lese. – Това е книгата, която чета.\""}]"",""study.important"":""[\""На ниво A1 das първо се научава като член от среден род.\"",\""Das не е същото като dass: das може да бъде член или местоимение, dass означава „това“.\""]"",""study.examples[2].lv"":null}","{""study.comparison"":""[{\""word\"":\""das\"",\""meaning\"":\""Това (член/местоимение)\"",\""example\"":\""Това е моята кола. – Tas ir mans auto.\""},{\""word\"":\""dies\"",\""meaning\"":\""Този\"",\""example\"":\""Dies ist mein Auto. – Това е моята кола.\""},{\""word\"":\""welches\"",\""meaning\"":\""Кой • Кой • Кой\"",\""example\"":\""Das ist das Buch, welches ich lese. – Това е книгата, която чета.\""}]"",""study.important"":""[\""На ниво A1 das първо се научава като член от среден род.\"",\""Das не е същото като dass: das може да бъде член или местоимение, dass означава „това“.\""]"",""study.examples[2].lv"":null}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.comparison, study.important, study.examples[2].lv confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","8348df0cbca920cc","8348df0cbca920cc6a82dbc557b10a6dfc111a0809daa6dc5951cf0d40c262f1","DISC-G2-A1-BG-L0002","g2/a1/bg|dass|idx:130|lv, study.translation, study.comparison, study.important|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","dass|idx:130","lv, study.translation, study.comparison, study.important","ka","dass","","{""lv"":""Какво"",""study.translation"":""Какво"",""study.comparison"":""[{\""word\"":\""dass\"",\""meaning\"":\""Какво\"",\""example\"":\""Ich weiß, dass er kommt. – Знам, че ще дойде.\""},{\""word\"":\""weil\"",\""meaning\"":\""Защото • Защото\"",\""example\"":\""Ich bleibe zu Hause, weil es regnet. – Стоя си вкъщи, защото вали.\""},{\""word\"":\""damit\"",\""meaning\"":\""ДО\"",\""example\"":\""Ich lerne Deutsch, damit ich in Deutschland arbeiten kann. – Уча немски, за да мога да работя в Германия.\""},{\""word\"":\""ob\"",\""meaning\"":\""Или\"",\""example\"":\""Ich weiß nicht, ob er kommt. – Не знам дали ще дойде.\""}]"",""study.important"":""[\""Dass означава \\\""това\\\"" и въвежда спомагателна клауза.\"",\""Да не се бърка с das, което може да бъде член или „това“.\""]""}","{""lv"":""Какво"",""study.translation"":""Какво"",""study.comparison"":""[{\""word\"":\""dass\"",\""meaning\"":\""Какво\"",\""example\"":\""Ich weiß, dass er kommt. – Знам, че ще дойде.\""},{\""word\"":\""weil\"",\""meaning\"":\""Защото • Защото\"",\""example\"":\""Ich bleibe zu Hause, weil es regnet. – Стоя си вкъщи, защото вали.\""},{\""word\"":\""damit\"",\""meaning\"":\""ДО\"",\""example\"":\""Ich lerne Deutsch, damit ich in Deutschland arbeiten kann. – Уча немски, за да мога да работя в Германия.\""},{\""word\"":\""ob\"",\""meaning\"":\""Или\"",\""example\"":\""Ich weiß nicht, ob er kommt. – Не знам дали ще дойде.\""}]"",""study.important"":""[\""Dass означава \\\""това\\\"" и въвежда спомагателна клауза.\"",\""Да не се бърка с das, което може да бъде член или „това“.\""]""}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=lv, study.translation, study.comparison, study.important composite scope does not isolate the reported field; an exact field-level decision is unsafe.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER"
"BATCH-158","a9cdb1ccf96afcf0","a9cdb1ccf96afcf0dff395a30c690045126df35d230cd376e4b67347efc9fa49","DISC-G2-A1-BG-L0003","g2/a1/bg|die|idx:137|study.examples[1].lv, study.examples[2].lv, study.important[0]|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","die|idx:137","study.examples[1].lv, study.examples[2].lv, study.important[0]","sieviešu dzimtes noteiktais artikuls","die","","{""study.examples[1].lv"":null,""study.examples[2].lv"":null,""study.important[0]"":""На ниво A1 кубът първо се изучава като предмет от женски род.""}","{""study.examples[1].lv"":null,""study.examples[2].lv"":null,""study.important[0]"":""На ниво A1 кубът първо се изучава като предмет от женски род.""}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.examples[1].lv, study.examples[2].lv, study.important[0] confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","433dc65d03898c27","433dc65d03898c27e43fbe0657e83329b5819d8dfcc34c6107f596327ebbe589","DISC-G2-A1-BG-L0004","g2/a1/bg|dieser|idx:139|study.examples[1].lv, study.examples[2].lv|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","dieser|idx:139","study.examples[1].lv, study.examples[2].lv","šis","dieser","","{""study.examples[1].lv"":null,""study.examples[2].lv"":null}","{""study.examples[1].lv"":null,""study.examples[2].lv"":null}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study.examples[1].lv, study.examples[2].lv confirmed field absent in current production schema; LABOT apply target does not exist.","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET"
"BATCH-158","de138478110f9399","de138478110f939991fe0b33ad5b59fb94aed6c2e6ef053096c99cd77232acac","DISC-G2-A1-BG-L0001","g2/a1/bg|ein|idx:154|study|MISTRANSLATION|gpt-5.6-luna","bg","","crowdin-staging/g2/bg-a1.json","ein|idx:154","study","nenoteiktais artikuls","ein","","{""study.translation"":""Неопределен член • Един • Някой"",""study.explanation"":""[\""Главна идея: ein е неопределеният член.\"",\""ein е неопределеният член за мъжки и среден род в именителен падеж.\"",\""ein се използва в мъжки род: ein Mann.\"",\""ein се използва в среден род: ein Buch.\"",\""В женски род се използва: eine.\"",\""В винителен падеж мъжки род: einen.\""]"",""study.examples"":""[{\""de\"":\""Ein Mann wartet draußen.\"",\""lv\"":\""Мъжът чака отвън.\""},{\""de\"":\""Ich habe ein Buch.\"",\""lv\"":\""Имам една книга.\""},{\""de\"":\""Er sucht einen Stift.\"",\""lv\"":\""Той търси химикалка.\""},{\""de\"":\""Ein Kind spielt.\"",\""lv\"":\""Дете се играе.\""}]"",""study.comparison"":""[{\""word\"":\""ein Mann\"",\""meaning\"":\""мъжки род\"",\""example\"":\""Един мъж чака навън.\""},{\""word\"":\""eine Frau\"",\""meaning\"":\""женски род\"",\""example\"":\""една жена\""},{\""word\"":\""ein Buch\"",\""meaning\"":\""средний род\"",\""example\"":\""Имам книга.\""},{\""word\"":\""einen Mann\"",\""meaning\"":\""винителен падеж\"",\""example\"":\""един мъж\""}]"",""study.tip"":""{\""text\"":\""Запомнете: неспецифично едно/нещо → ein.\""}"",""study.important"":""[\""Ein не е определен член.\"",\""Ако въпросът вече е конкретно известен, често се изисква der, die или das.\"",\""eine — женски род.\"",\""einen — винителен падеж.\""]""}","{""study.translation"":""Неопределен член • Един • Някой"",""study.explanation"":""[\""Главна идея: ein е неопределеният член.\"",\""ein е неопределеният член за мъжки и среден род в именителен падеж.\"",\""ein се използва в мъжки род: ein Mann.\"",\""ein се използва в среден род: ein Buch.\"",\""В женски род се използва: eine.\"",\""В винителен падеж мъжки род: einen.\""]"",""study.examples"":""[{\""de\"":\""Ein Mann wartet draußen.\"",\""lv\"":\""Мъжът чака отвън.\""},{\""de\"":\""Ich habe ein Buch.\"",\""lv\"":\""Имам една книга.\""},{\""de\"":\""Er sucht einen Stift.\"",\""lv\"":\""Той търси химикалка.\""},{\""de\"":\""Ein Kind spielt.\"",\""lv\"":\""Дете се играе.\""}]"",""study.comparison"":""[{\""word\"":\""ein Mann\"",\""meaning\"":\""мъжки род\"",\""example\"":\""Един мъж чака навън.\""},{\""word\"":\""eine Frau\"",\""meaning\"":\""женски род\"",\""example\"":\""една жена\""},{\""word\"":\""ein Buch\"",\""meaning\"":\""средний род\"",\""example\"":\""Имам книга.\""},{\""word\"":\""einen Mann\"",\""meaning\"":\""винителен падеж\"",\""example\"":\""един мъж\""}]"",""study.tip"":""{\""text\"":\""Запомнете: неспецифично едно/нещо → ein.\""}"",""study.important"":""[\""Ein не е определен член.\"",\""Ако въпросът вече е конкретно известен, често се изисква der, die или das.\"",\""eine — женски род.\"",\""einen — винителен падеж.\""]""}","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=SEMANTIC_OR_MEANING_ERROR lang=bg field=study composite scope does not isolate the reported field; an exact field-level decision is unsafe.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER"
