escalation_batch_id,source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,unresolved_category,owner_status,owner_decision,owner_new,owner_note
"ESC-063","BATCH-120","51a80a7531809d2b","51a80a7531809d2bc58214311bbb107c5420bfb78cc449477b5dfd78aadad78b","DISC-G2-A1-PT-L0005","g2/a1/pt|bis|idx:91|lv, study.translation, study.examples, study.comparison|TARGET_LANGUAGE_CONTAMINATION|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","bis|idx:91","lv, study.translation, study.examples, study.comparison","līdz","bis","","{""lv"":""Lidz"",""study.translation"":""Lidz"",""study.examples"":""[{\""de\"":\""Ich warte bis zu deiner Ankunft.\"",\""lv\"":\""É gaidu līdz tavai ierašanās.\""},{\""de\"":\""Bleib hier, bis ich zurückkomme.\"",\""lv\"":\""Paliec šeit, līdz é atgriezīšos.\""},{\""de\"":\""Ich lerne Deutsch bis zum Abend.\"",\""lv\"":\""Eu estudo alemão até a noite.\""},{\""de\"":\""Bis jetzt habe ich nichts verstanden.\"",\""lv\"":\""Ok... acho que isso não vai funcionar.\""}]"",""study.comparison"":""[{\""word\"":\""bis\"",\""meaning\"":\""Lidz (laika punkta sasniegšanai)\"",\""example\"":\""Ich bleibe bis morgen. – A partida é às 18h.\""},{\""word\"":\""bis zu\"",\""meaning\"":\""Lidz (lidz noteiktam laikam)\"",\""example\"":\""bis zum Bahnhof – É strādāju no 9 lidz 17.\""},{\""word\"":\""bis jetzt\"",\""meaning\"":\""Līdz tam, kamēr\"",\""example\"":\""Bis jetzt habe ich nichts verstanden. – É gaidu, lidz tu atnāksi.\""},{\""word\"":\""bis jetzt\"",\""meaning\"":\""Līdz šim, līdz šai dienai\"",\""example\"":\""Bis jetzt ist alles gut. – Līdz šim viveu ir labi.\""}]""}","{""lv"":""Lidz"",""study.translation"":""Lidz"",""study.examples"":""[{\""de\"":\""Ich warte bis zu deiner Ankunft.\"",\""lv\"":\""É gaidu līdz tavai ierašanās.\""},{\""de\"":\""Bleib hier, bis ich zurückkomme.\"",\""lv\"":\""Paliec šeit, līdz é atgriezīšos.\""},{\""de\"":\""Ich lerne Deutsch bis zum Abend.\"",\""lv\"":\""Eu estudo alemão até a noite.\""},{\""de\"":\""Bis jetzt habe ich nichts verstanden.\"",\""lv\"":\""Ok... acho que isso não vai funcionar.\""}]"",""study.comparison"":""[{\""word\"":\""bis\"",\""meaning\"":\""Lidz (laika punkta sasniegšanai)\"",\""example\"":\""Ich bleibe bis morgen. – A partida é às 18h.\""},{\""word\"":\""bis zu\"",\""meaning\"":\""Lidz (lidz noteiktam laikam)\"",\""example\"":\""bis zum Bahnhof – É strādāju no 9 lidz 17.\""},{\""word\"":\""bis jetzt\"",\""meaning\"":\""Līdz tam, kamēr\"",\""example\"":\""Bis jetzt habe ich nichts verstanden. – É gaidu, lidz tu atnāksi.\""},{\""word\"":\""bis jetzt\"",\""meaning\"":\""Līdz šim, līdz šai dienai\"",\""example\"":\""Bis jetzt ist alles gut. – Līdz šim viveu ir labi.\""}]""}","PASS","","TARGET_LANGUAGE_CONTAMINATION","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=pt field=lv, study.translation, study.examples, study.comparison composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-063","BATCH-175","22d470c708aa9380","22d470c708aa9380c4adba4f9e0ad5ab4794699c1185b222d6636f1640dfe4d5","DISC-G2-A1-PT-L0001","g2/a1/pt|bitte|idx:93|study.explanation; study.examples[].lv|TRANSLATION_ERROR|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","bitte|idx:93","study.explanation; study.examples[].lv","lūdzu","bitte","","{""study.explanation"":""[\""Adestramento Galvenā: Pieklājības vārds ar mallet burtu. Feliz, lai butu piklājīgi—lūdzu.\"",\""Bitta galvenokārt nozīmē: piklājība.\"",\""Biezi raksturo: piklājības vārds.\""]"",""study.examples[].lv"":null}","{""study.explanation"":""[\""Adestramento Galvenā: Pieklājības vārds ar mallet burtu. Feliz, lai butu piklājīgi—lūdzu.\"",\""Bitta galvenokārt nozīmē: piklājība.\"",\""Biezi raksturo: piklājības vārds.\""]"",""study.examples[].lv"":null}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=pt field=study.explanation; study.examples[].lv confirmed field absent in current production schema; LABOT apply target does not exist."
"ESC-063","BATCH-177","b85d09de9896a2e1","b85d09de9896a2e174f313ea72305ee6f0dec9f8f836466b9d69577b211ba4bd","DISC-G2-A1-PT-L0002","g2/a1/pt|Bitte|idx:94|study.explanation; study.examples[].lv|TRANSLATION_ERROR|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","Bitte|idx:94","study.explanation; study.examples[].lv","lūgums","Bitte","","{""study.explanation"":""[\""Idéia principal: substantivo com artigo noz e letra maiúscula. Uma solicitação ou solicitação específica.\"",\""Die Bitte galvenokārt nozīmē: piklājība.\"",\""Biezi raksturo: piklājības vārds.\"",\""Die Bitte na verdade significa: solicitação/solicitação.\""]"",""study.examples[].lv"":null}","{""study.explanation"":""[\""Idéia principal: substantivo com artigo noz e letra maiúscula. Uma solicitação ou solicitação específica.\"",\""Die Bitte galvenokārt nozīmē: piklājība.\"",\""Biezi raksturo: piklājības vārds.\"",\""Die Bitte na verdade significa: solicitação/solicitação.\""]"",""study.examples[].lv"":null}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=pt field=study.explanation; study.examples[].lv confirmed field absent in current production schema; LABOT apply target does not exist."
"ESC-063","BATCH-177","a8b553c51c98ecf6","a8b553c51c98ecf608c238f038df00c8aa480e8b332658e40a05fd25b45ed301","DISC-G2-A1-PT-L0003","g2/a1/pt|bleiben|idx:101|study.explanation; study.examples[].lv|TRANSLATION_ERROR|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","bleiben|idx:101","study.explanation; study.examples[].lv","palikt","bleiben","","{""study.explanation"":""[\""Ideia principal: bleiben significa ficar.\"",\""Bleiben Laato, se cilvēks vai Laata neiet prom un paliek tajā pasā vietā vai stāvoklī.\"",\""Há muita diversão e você está convidado a participar da dança.\"",\""Uma expressão comum é Ich bleibe zu Hause.\""]"",""study.examples[].lv"":null}","{""study.explanation"":""[\""Ideia principal: bleiben significa ficar.\"",\""Bleiben Laato, se cilvēks vai Laata neiet prom un paliek tajā pasā vietā vai stāvoklī.\"",\""Há muita diversão e você está convidado a participar da dança.\"",\""Uma expressão comum é Ich bleibe zu Hause.\""]"",""study.examples[].lv"":null}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=pt field=study.explanation; study.examples[].lv confirmed field absent in current production schema; LABOT apply target does not exist."
"ESC-063","BATCH-176","7910ce56d4a8ba52","7910ce56d4a8ba525aae8d11b646cf71458b4015a361362f157e0bdd55fed673","DISC-G2-A1-PT-L0004","g2/a1/pt|bringen|idx:111|study.explanation; study.examples[].lv; study.comparison|TRANSLATION_ERROR|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","bringen|idx:111","study.explanation; study.examples[].lv; study.comparison","atnest","bringen","","{""study.explanation"":""[\""Idéia principal: Carregar significa carregar, transportar ou entregar algo a alguém.\"",\""Trazer é usado quando algo é movido para outro lugar ou para outra pessoa.\"",\""Não é o mesmo que nehming, porque nehming significa tomar para si.\"",\""Holen significa caçar e pesquisar ou procurar.\"",\""A tradução é determinada pelo contexto.\""]"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""bringen\"",\""meaning\"":\""Atnest / aiznest / nogādāt\"",\""example\"":\""Ich bringe dir ein Buch. – Bring mir Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""‹emt/ paņemt\"",\""example\"":\""Ich bringe das Paket zur Post. – Ich nehme das Buch.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Aiziet pakaų / atnest\"",\""example\"":\""Ich bringe die Kinder zur Schule. – Ich hole Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Para viagem e para viagem\"",\""example\"":\""Ich bringe dir ein Buch. – Bringst du Brot mit?\""},{\""word\"":\""nehmen\"",\""meaning\"":\""pegar\"",\""example\"":\""Ich nehme das Buch. – Eu pego o livro.\""}]""}","{""study.explanation"":""[\""Idéia principal: Carregar significa carregar, transportar ou entregar algo a alguém.\"",\""Trazer é usado quando algo é movido para outro lugar ou para outra pessoa.\"",\""Não é o mesmo que nehming, porque nehming significa tomar para si.\"",\""Holen significa caçar e pesquisar ou procurar.\"",\""A tradução é determinada pelo contexto.\""]"",""study.examples[].lv"":null,""study.comparison"":""[{\""word\"":\""bringen\"",\""meaning\"":\""Atnest / aiznest / nogādāt\"",\""example\"":\""Ich bringe dir ein Buch. – Bring mir Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""‹emt/ paņemt\"",\""example\"":\""Ich bringe das Paket zur Post. – Ich nehme das Buch.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Aiziet pakaų / atnest\"",\""example\"":\""Ich bringe die Kinder zur Schule. – Ich hole Wasser.\""},{\""word\"":\""bringen\"",\""meaning\"":\""Para viagem e para viagem\"",\""example\"":\""Ich bringe dir ein Buch. – Bringst du Brot mit?\""},{\""word\"":\""nehmen\"",\""meaning\"":\""pegar\"",\""example\"":\""Ich nehme das Buch. – Eu pego o livro.\""}]""}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=pt field=study.explanation; study.examples[].lv; study.comparison confirmed field absent in current production schema; LABOT apply target does not exist."
"ESC-063","BATCH-190","3712157d142f78e1","3712157d142f78e165072386779e6d070b5ba8b053b693b7d87013f1f91a0f38","DISC-G2-A1-PT-L0003","g2/a1/pt|Café|idx:121|lv|ORTHOGRAPHY|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","Café|idx:121","lv","kafejnīca","Café","","Kafejnica","Kafejnica","PASS","","ORTHOGRAPHY","ORTHOGRAPHY_SPELLING_OR_DIACRITICS","","LOW","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","ORTHOGRAPHY_REVIEW_REQUIRED","PENDING","","","OWNER_REVIEW_REQUIRED: ORTHOGRAPHY_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_ALIAS bucket=ORTHOGRAPHY_SPELLING_OR_DIACRITICS lang=pt field=lv"
"ESC-063","BATCH-190","b9e5e55472424a83","b9e5e55472424a83d14f57f4bcb0a15c3bc6ceb7400b514142549e0ede4d7d58","DISC-G2-A1-PT-L0005","g2/a1/pt|Cousin|idx:124|lv|ORTHOGRAPHY|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","Cousin|idx:124","lv","brālēns","Cousin","","Brālens","Brālens","PASS","","ORTHOGRAPHY","ORTHOGRAPHY_SPELLING_OR_DIACRITICS","","LOW","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","ORTHOGRAPHY_REVIEW_REQUIRED","PENDING","","","OWNER_REVIEW_REQUIRED: ORTHOGRAPHY_REVIEW_REQUIRED. mapping=EXPLICIT_FIELD_ALIAS bucket=ORTHOGRAPHY_SPELLING_OR_DIACRITICS lang=pt field=lv"
"ESC-063","BATCH-176","7416d4c1a84a9efb","7416d4c1a84a9efb55987b3c57582beb5d2148640f1765b70c2ce7e1aa941866","DISC-G2-A1-PT-L0005","g2/a1/pt|da|idx:126|lv; study.explanation; study.examples[].lv|TRANSLATION_ERROR|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","da|idx:126","lv; study.explanation; study.examples[].lv","tur","da","","{""lv"":""- Está aí."",""study.explanation"":""[\""Idéia principal: até o nível A1 geralmente significa lá.\"",\""Este é o caminho a seguir se você não sabe o que fazer.\"",\""Atkarībā não está situado em var tulkot arī kā te vai šeit.\"",\""No nível A1, aprendemos principalmente com uma palavra de lugar geral.\""]"",""study.examples[].lv"":null}","{""lv"":""- Está aí."",""study.explanation"":""[\""Idéia principal: até o nível A1 geralmente significa lá.\"",\""Este é o caminho a seguir se você não sabe o que fazer.\"",\""Atkarībā não está situado em var tulkot arī kā te vai šeit.\"",\""No nível A1, aprendemos principalmente com uma palavra de lugar geral.\""]"",""study.examples[].lv"":null}","PASS","","TRANSLATION_ERROR","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET","PENDING","","","OWNER_REVIEW_REQUIRED: CONFIRMED_FIELD_ABSENT_NO_PRODUCTION_TARGET. mapping=CONFIRMED_FIELD_ABSENT bucket=SEMANTIC_OR_MEANING_ERROR lang=pt field=lv; study.explanation; study.examples[].lv confirmed field absent in current production schema; LABOT apply target does not exist."
"ESC-063","BATCH-120","6dba12113aeb67e9","6dba12113aeb67e96d577b7f040d365cd02fffbce76fddabe0b3efaf87be3303","DISC-G2-A1-PT-L0001","g2/a1/pt|das|idx:129|study|MIXED_LANGUAGE|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","das|idx:129","study","vidus dzimtes noteiktais artikuls","das","","{""study.translation"":""Vidus dzimtes noteiktais artigos"",""study.explanation"":""Feliz e piedoso vidus dzimtes Laatvārdiem. Dažos teikumos \""das\"" var darboties arī kā vietniekvārds vai relatīvais vietniekvārds."",""study.examples"":""[{\""de\"":\""Das ist mein Auto.\"",\""lv\"":\""Este carro é meu.\""},{\""de\"":\""Das ist gut.\"",\""lv\"":\""Pila ir labi.\""},{\""de\"":\""Das Buch, das ich lese, ist interessant.\"",\""lv\"":\""Gramata, kuru é lasu, é interessante.\""}]"",""study.comparison"":""[{\""word\"":\""das\"",\""meaning\"":\""Ele (artigo/pronome)\"",\""example\"":\""Das ist mein Auto. – Bolsa no carro do homem.\""},{\""word\"":\""dies\"",\""meaning\"":\""SIS\"",\""example\"":\""Dies ist mein Auto. – E esse é o meu carro.\""},{\""word\"":\""welches\"",\""meaning\"":\""Kurš • Kura • Kuru\"",\""example\"":\""Das ist das Buch, welches ich lese. – Tā ir gramata, kuru é lasu.\""}]"",""study.tip"":""{\""text\"":\""Atceries: vidus dzimte → das; ka → dass.\""}"",""study.important"":""[\""No nível A1, aprenda das primeiro como um artigo neutro.\"",\""das não é o mesmo que dass — das pode ser um artigo ou pronome, dass significa \\\""que\\\"".\""]""}","{""study.translation"":""Vidus dzimtes noteiktais artigos"",""study.explanation"":""Feliz e piedoso vidus dzimtes Laatvārdiem. Dažos teikumos \""das\"" var darboties arī kā vietniekvārds vai relatīvais vietniekvārds."",""study.examples"":""[{\""de\"":\""Das ist mein Auto.\"",\""lv\"":\""Este carro é meu.\""},{\""de\"":\""Das ist gut.\"",\""lv\"":\""Pila ir labi.\""},{\""de\"":\""Das Buch, das ich lese, ist interessant.\"",\""lv\"":\""Gramata, kuru é lasu, é interessante.\""}]"",""study.comparison"":""[{\""word\"":\""das\"",\""meaning\"":\""Ele (artigo/pronome)\"",\""example\"":\""Das ist mein Auto. – Bolsa no carro do homem.\""},{\""word\"":\""dies\"",\""meaning\"":\""SIS\"",\""example\"":\""Dies ist mein Auto. – E esse é o meu carro.\""},{\""word\"":\""welches\"",\""meaning\"":\""Kurš • Kura • Kuru\"",\""example\"":\""Das ist das Buch, welches ich lese. – Tā ir gramata, kuru é lasu.\""}]"",""study.tip"":""{\""text\"":\""Atceries: vidus dzimte → das; ka → dass.\""}"",""study.important"":""[\""No nível A1, aprenda das primeiro como um artigo neutro.\"",\""das não é o mesmo que dass — das pode ser um artigo ou pronome, dass significa \\\""que\\\"".\""]""}","PASS","","MIXED_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=pt field=study composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-063","BATCH-121","e219349e9b4f8812","e219349e9b4f8812a18d3e3c697598d325f79888aa3f4e2121b54d600d707c55","DISC-G2-A1-PT-L0002","g2/a1/pt|dass|idx:130|study|MIXED_LANGUAGE|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","dass|idx:130","study","ka","dass","","{""study.translation"":""K.A."",""study.explanation"":""Ievada palīgteikumu, kas izsaka faktu, domu vai teikto."",""study.examples"":""[{\""de\"":\""Ich weiß, dass du müde bist.\"",\""lv\"":\""Eu sei que você está cansado.\""},{\""de\"":\""Er sagt, dass er kommt.\"",\""lv\"":\""Viņš saka, ka viņš nāks.\""},{\""de\"":\""Ich glaube, dass das stimmt.\"",\""lv\"":\""É domāju, ka tas ir pareizi.\""}]"",""study.comparison"":""[{\""word\"":\""dass\"",\""meaning\"":\""K.A.\"",\""example\"":\""Ich weiß, dass er kommt. – É verdade, ka viņš nāks.\""},{\""word\"":\""weil\"",\""meaning\"":\""Jo • Tāpēc ka\"",\""example\"":\""Ich bleibe zu Hause, weil es regnet. – É palieku mājās, lista jo.\""},{\""word\"":\""damit\"",\""meaning\"":\""Lai\"",\""example\"":\""Ich lerne Deutsch, damit ich in Deutschland arbeiten kann. – Estou aprendendo alemão para poder trabalhar na Alemanha.\""},{\""word\"":\""ob\"",\""meaning\"":\""Oh\"",\""example\"":\""Ich weiß nicht, ob er kommt. – É nezinu, vai viņš nāks.\""}]"",""study.tip"":""{\""text\"":\""Atceries: ka → dass.\""}"",""study.important"":""[\""dass significa \\\""que\\\"" e introduz uma oração subordinada.\"",\""Não confunda com das, que pode ser um artigo ou \\\""aquele\\\"".\""]""}","{""study.translation"":""K.A."",""study.explanation"":""Ievada palīgteikumu, kas izsaka faktu, domu vai teikto."",""study.examples"":""[{\""de\"":\""Ich weiß, dass du müde bist.\"",\""lv\"":\""Eu sei que você está cansado.\""},{\""de\"":\""Er sagt, dass er kommt.\"",\""lv\"":\""Viņš saka, ka viņš nāks.\""},{\""de\"":\""Ich glaube, dass das stimmt.\"",\""lv\"":\""É domāju, ka tas ir pareizi.\""}]"",""study.comparison"":""[{\""word\"":\""dass\"",\""meaning\"":\""K.A.\"",\""example\"":\""Ich weiß, dass er kommt. – É verdade, ka viņš nāks.\""},{\""word\"":\""weil\"",\""meaning\"":\""Jo • Tāpēc ka\"",\""example\"":\""Ich bleibe zu Hause, weil es regnet. – É palieku mājās, lista jo.\""},{\""word\"":\""damit\"",\""meaning\"":\""Lai\"",\""example\"":\""Ich lerne Deutsch, damit ich in Deutschland arbeiten kann. – Estou aprendendo alemão para poder trabalhar na Alemanha.\""},{\""word\"":\""ob\"",\""meaning\"":\""Oh\"",\""example\"":\""Ich weiß nicht, ob er kommt. – É nezinu, vai viņš nāks.\""}]"",""study.tip"":""{\""text\"":\""Atceries: ka → dass.\""}"",""study.important"":""[\""dass significa \\\""que\\\"" e introduz uma oração subordinada.\"",\""Não confunda com das, que pode ser um artigo ou \\\""aquele\\\"".\""]""}","PASS","","MIXED_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=pt field=study composite scope does not isolate the reported field; an exact field-level decision is unsafe."
"ESC-063","BATCH-120","9b200b6294989812","9b200b6294989812b1a6177ccb5fbf57fb2c62b4b35ff964f51907c0c255aae3","DISC-G2-A1-PT-L0003","g2/a1/pt|der|idx:134|study|MIXED_LANGUAGE|gpt-5.6-luna","pt","","crowdin-staging/g2/pt-a1.json","der|idx:134","study","vīriešu dzimtes noteiktais artikuls","der","","{""study.translation"":""Vīriešu dzimtes noteiktais artigos"",""study.explanation"":""Torta feliz vīriešu dzimtes Laatvārdiem. Dažos teikumos \""der\"" var darboties arī kā vietniekvārds vai relatīvais vietniekvārds."",""study.examples"":""[{\""de\"":\""Der Mann ist hier.\"",\""lv\"":\""Vīrietis iršeit.\""},{\""de\"":\""Der Bus kommt.\"",\""lv\"":\""Ônibus Brauc.\""},{\""de\"":\""Der Lehrer spricht.\"",\""lv\"":\""Skolotajs runā.\""}]"",""study.tip"":""{\""text\"":\""Atceries: vīriešu dzimte → der.\""}"",""study.important"":""[\""No nível A1, aprenda der primeiro como um artigo masculino.\"",\""Os usos como pronome e relativo vêm mais tarde.\""]""}","{""study.translation"":""Vīriešu dzimtes noteiktais artigos"",""study.explanation"":""Torta feliz vīriešu dzimtes Laatvārdiem. Dažos teikumos \""der\"" var darboties arī kā vietniekvārds vai relatīvais vietniekvārds."",""study.examples"":""[{\""de\"":\""Der Mann ist hier.\"",\""lv\"":\""Vīrietis iršeit.\""},{\""de\"":\""Der Bus kommt.\"",\""lv\"":\""Ônibus Brauc.\""},{\""de\"":\""Der Lehrer spricht.\"",\""lv\"":\""Skolotajs runā.\""}]"",""study.tip"":""{\""text\"":\""Atceries: vīriešu dzimte → der.\""}"",""study.important"":""[\""No nível A1, aprenda der primeiro como um artigo masculino.\"",\""Os usos como pronome e relativo vêm mais tarde.\""]""}","PASS","","MIXED_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","PENDING","","","OWNER_REVIEW_REQUIRED: COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER. mapping=COMPOSITE_SCOPE_CAPTURED bucket=WRONG_OR_MIXED_TARGET_LANGUAGE lang=pt field=study composite scope does not isolate the reported field; an exact field-level decision is unsafe."
