source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-153","2a272ab6d19f6ab6","2a272ab6d19f6ab6869cd8e8ca0236b9c0f2a8948339832a5e267eaa1cbd07de","DISC-G2-A1-LB-L0010","g2/a1/lb|küssen|idx:321|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","küssen|idx:321","lv","skūpstīt","küssen","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","kussen","küssen|idx:321 individuāli pārbaudīts: vācu “küssen” avota nozīmē “skūpstīt” precīzā luksemburgiešu aizvietojamā vērtība ir “kussen”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-154","4e22a706a7b7d849","4e22a706a7b7d849326b6a159e14b4db3e6b19ee91c4cb859010cfc32a798cd6","DISC-G2-A1-LB-L0011","g2/a1/lb|lächeln|idx:322|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","lächeln|idx:322","lv","smaidīt","lächeln","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","laachen","lächeln|idx:322 individuāli pārbaudīts: vācu “lächeln” avota nozīmē “smaidīt” precīzā luksemburgiešu aizvietojamā vērtība ir “laachen”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-153","1521eee314e1f6b1","1521eee314e1f6b1929cddf50f7db2e5c51bd2fcdfcea2be47c1bf7a86a9f668","DISC-G2-A1-LB-L0012","g2/a1/lb|lachen|idx:323|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","lachen|idx:323","lv","smieties","lachen","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","laachen","lachen|idx:323 individuāli pārbaudīts: vācu “lachen” avota nozīmē “smieties” precīzā luksemburgiešu aizvietojamā vērtība ir “laachen”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-156","b4579563624325e8","b4579563624325e82847e166c1a2bd301a103ff6d3750bc960098eb76fe05f49","DISC-G2-A1-LB-L0013","g2/a1/lb|Honig|idx:324|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Honig|idx:324","lv","medus","Honig","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Hunneg","Honig|idx:324 individuāli pārbaudīts: vācu “Honig” avota nozīmē “medus” precīzā luksemburgiešu aizvietojamā vērtība ir “Hunneg”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-156","ba706d149ae038fc","ba706d149ae038fcf55626c496d1cdb3ad7be9a8128a49eeb8eb4ec3fa1324c4","DISC-G2-A1-LB-L0014","g2/a1/lb|Hose|idx:325|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Hose|idx:325","lv","bikses","Hose","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Box","Hose|idx:325 individuāli pārbaudīts: vācu “Hose” avota nozīmē “bikses” precīzā luksemburgiešu aizvietojamā vērtība ir “Box”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-168","64a8627a416a87b8","64a8627a416a87b89e7ed0919ba19480c48ec0ef3a0db2a2435a6275d4267fb8","DISC-G2-A1-LB-L0016","g2/a1/lb|Hund|idx:327|lv|WRONG_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Hund|idx:327","lv","suns","Hund","","Sonnenënnergang","Sonnenënnergang","PASS","","WRONG_TRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Hond","Hund|idx:327 individuāli pārbaudīts: vācu “Hund” avota nozīmē “suns” precīzā luksemburgiešu aizvietojamā vērtība ir “Hond”.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-156","d5b1283e46cd43a4","d5b1283e46cd43a4e112cc9887642c92fce784309a7d1f5dbe81d0adf8a4b124","DISC-G2-A1-LB-L0017","g2/a1/lb|Hut|idx:328|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Hut|idx:328","lv","cepure","Hut","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Hutt","Hut|idx:328 individuāli pārbaudīts: vācu “Hut” avota nozīmē “cepure” precīzā luksemburgiešu aizvietojamā vērtība ir “Hutt”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-157","eb6c69eea08dcc08","eb6c69eea08dcc086fb32f1a786078cb4f6e68057dd54d057858165c51587c81","DISC-G2-A1-LB-L0018","g2/a1/lb|Jahr|idx:329|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Jahr|idx:329","lv","gads","Jahr","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Joer","Jahr|idx:329 individuāli pārbaudīts: vācu “Jahr” avota nozīmē “gads” precīzā luksemburgiešu aizvietojamā vērtība ir “Joer”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-153","2130a9488cffe0fc","2130a9488cffe0fc5c96ce8ba0a5233d0aa197d5ca1d4b1db1738bad8021582a","DISC-G2-A1-LB-L0019","g2/a1/lb|Kaffee|idx:330|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Kaffee|idx:330","lv","kafija","Kaffee","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Kaffi","Kaffee|idx:330 individuāli pārbaudīts: vācu “Kaffee” avota nozīmē “kafija” precīzā luksemburgiešu aizvietojamā vērtība ir “Kaffi”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-156","b2bf977104d72c8e","b2bf977104d72c8e11156fb51dce96d53391d9ad2c6a58641eb14a9aa8be2e34","DISC-G2-A1-LB-L0021","g2/a1/lb|Karotte|idx:333|lv|MISSING_TRANSLATION|gpt-5.6-luna","lb","","crowdin-staging/g2/lb-a1.json","Karotte|idx:333","lv","burkāns","Karotte","","CAA -","CAA -","PASS","","MISSING_TRANSLATION","MISSING_OR_UNTRANSLATED","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","Muert","Karotte|idx:333 individuāli pārbaudīts: vācu “Karotte” avota nozīmē “burkāns” precīzā luksemburgiešu aizvietojamā vērtība ir “Muert”.","MISSING_TRANSLATION_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
