sequence,language,key,owner_current,owner_newValue,repo_before_json,repo_before_ui,repo_after_json,repo_after_ui,crowdin_before,crowdin_after,repo_status,crowdin_status,crowdin_verified,apply_status,verification_status
10,bs,kurss.lessonItems.16.menuDesc,"Dativs, geben, sich nähern.","Dativ, geben, sich nähern.","Dativs, geben, sich nähern.","Dativs, geben, sich nähern.","Dativ, geben, sich nähern.","Dativ, geben, sich nähern.","Dativs, geben, sich nähern.","Dativ, geben, sich nähern.",applied,posted,YES,applied_verified,pass
59,lb,buttons.extraOptions,Papildu opcijas,Zousätzlech Optiounen,Papildu opcijas,Papildu opcijas,Zousätzlech Optiounen,Zousätzlech Optiounen,Papildu opcijas,Zousätzlech Optiounen,applied,posted,YES,applied_verified,pass
60,lb,buttons.extraOptionsClose,Papildu opcijas ▲,Zousätzlech Optiounen ▲,Papildu opcijas ▲,Papildu opcijas ▲,Zousätzlech Optiounen ▲,Zousätzlech Optiounen ▲,Papildu opcijas ▲,Zousätzlech Optiounen ▲,applied,posted,YES,applied_verified,pass
61,lb,buttons.extraOptionsOpen,Papildu opcijas ▼,Zousätzlech Optiounen ▼,Papildu opcijas ▼,Papildu opcijas ▼,Zousätzlech Optiounen ▼,Zousätzlech Optiounen ▼,Papildu opcijas ▼,Zousätzlech Optiounen ▼,applied,posted,YES,applied_verified,pass
62,lb,buttons.restore,Atgriezt,Zeréckhuelen,Atgriezt,Atgriezt,Zeréckhuelen,Zeréckhuelen,Atgriezt,Zeréckhuelen,applied,posted,YES,applied_verified,pass
63,lb,buttons.restoreAll,Atgriezt visu,Alles zeréckhuelen,Atgriezt visu,Atgriezt visu,Alles zeréckhuelen,Alles zeréckhuelen,Atgriezt visu,Alles zeréckhuelen,applied,posted,YES,applied_verified,pass
64,lb,card.answerPrefix,Atbilde:,Äntwert:,Atbilde:,Atbilde:,Äntwert:,Äntwert:,Atbilde:,Äntwert:,applied,posted,YES,applied_verified,pass
65,lb,card.pluralLabel,Daudzsk.,Plural,Daudzsk.,Daudzsk.,Plural,Plural,Daudzsk.,Plural,applied,posted,YES,applied_verified,pass
66,lb,card.sessionComplete,Sesija pabeigta!,Sessioun ofgeschloss!,Sesija pabeigta!,Sesija pabeigta!,Sessioun ofgeschloss!,Sessioun ofgeschloss!,Sesija pabeigta!,Sessioun ofgeschloss!,applied,posted,YES,applied_verified,pass
67,lb,card.sessionLabel,Sesija,Sessioun,Sesija,Sesija,Sessioun,Sessioun,Sesija,Sessioun,applied,posted,YES,applied_verified,pass
69,lb,info.answersTitle,Atbildes,Äntwerten,Atbildes,Atbildes,Äntwerten,Äntwerten,Atbildes,Äntwerten,applied,posted,YES,applied_verified,pass
70,lb,info.directionTitle,Tulkojuma virziens,Iwwersetzungsrichtung,Tulkojuma virziens,Tulkojuma virziens,Iwwersetzungsrichtung,Iwwersetzungsrichtung,Tulkojuma virziens,Iwwersetzungsrichtung,applied,posted,YES,applied_verified,pass
71,lb,info.extraTitle,Papildu opcijas,Zousätzlech Optiounen,Papildu opcijas,Papildu opcijas,Zousätzlech Optiounen,Zousätzlech Optiounen,Papildu opcijas,Zousätzlech Optiounen,applied,posted,YES,applied_verified,pass
72,lb,kurss.articles,Artikuli,Artikelen,Artikuli,Artikuli,Artikelen,Artikelen,Artikuli,Artikelen,applied,posted,YES,applied_verified,pass
73,lb,kurss.back,‹ Kurss,‹ Cours,‹ Kurss,‹ Kurss,‹ Cours,‹ Cours,‹ Kurss,‹ Cours,applied,posted,YES,applied_verified,pass
74,lb,kurss.exerciseMeta.formDu,Forma 1/3: Tu (vienskaitlis),Form 1/3: Du (eenzel),Forma 1/3: Tu (vienskaitlis),Forma 1/3: Tu (vienskaitlis),Form 1/3: Du (eenzel),Form 1/3: Du (eenzel),Forma 1/3: Tu (vienskaitlis),Form 1/3: Du (eenzel),applied,posted,YES,applied_verified,pass
75,lb,kurss.exerciseMeta.translate,Übung II — tulko,Übung II — iwwersetzen,Übung II — tulko,Übung II — tulko,Übung II — iwwersetzen,Übung II — iwwersetzen,Übung II — tulko,Übung II — iwwersetzen,applied,posted,YES,applied_verified,pass
