audit_id,finding_stable_id,lang,card_id,field_path,category,severity,current,source,owner_status
"G2A1P3-BG-0001","g2/a1/bg|a1-ab|a1.card.a1-ab.study.comparison[1].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-ab","a1.card.a1-ab.study.comparison[1].meaning","MULTI_TRANSLATION","MEDIUM","От някого/нещо • Произход","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0002","g2/a1/bg|a1-aber|a1.card.a1-aber.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-aber","a1.card.a1-aber.study.comparison[0].meaning","MULTI_TRANSLATION","MEDIUM","Противоположно • Възражение • Въпреки това","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0004","g2/a1/bg|a1-also|a1.card.a1-also.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-also","a1.card.a1-also.study.comparison[0].meaning","MULTI_TRANSLATION","MEDIUM","Така • Следователно","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0005","g2/a1/bg|a1-an|a1.card.a1-an.native|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-an","a1.card.a1-an.native","MULTI_TRANSLATION","MEDIUM","В • До • Настояще","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0006","g2/a1/bg|a1-an|a1.card.a1-an.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-an","a1.card.a1-an.study.translation","MULTI_TRANSLATION","MEDIUM","На • На повърхността • На ръба","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0007","g2/a1/bg|a1-auf|a1.card.a1-auf.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-auf","a1.card.a1-auf.study.important[1]","MULTI_TRANSLATION","MEDIUM","Ако нещо е близо до вертикална повърхност, често ще имате нужда • Ако е вътре, тогава трябва да влезете.","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0008","g2/a1/bg|a1-aus|a1.card.a1-aus.native|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-aus","a1.card.a1-aus.native","MULTI_TRANSLATION","MEDIUM","От • От","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0009","g2/a1/bg|a1-aus|a1.card.a1-aus.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-aus","a1.card.a1-aus.study.translation","MULTI_TRANSLATION","MEDIUM","От • От","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0010","g2/a1/bg|a1-besuch|a1.card.a1-besuch.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-besuch","a1.card.a1-besuch.study.comparison[0].meaning","MULTI_TRANSLATION","MEDIUM","посещение • навик • визита","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0012","g2/a1/bg|a1-besuchen|a1.card.a1-besuchen.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-besuchen","a1.card.a1-besuchen.study.comparison[0].meaning","MULTI_TRANSLATION","MEDIUM","посещавам място или събитие • навизитирам человек","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0013","g2/a1/bg|a1-bis|a1.card.a1-bis.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-bis","a1.card.a1-bis.study.important[1]","MULTI_TRANSLATION","MEDIUM","Bis jetzt = до сега • Bis dass = до.","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0014","g2/a1/bg|a1-bleiben|a1.card.a1-bleiben.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-bleiben","a1.card.a1-bleiben.study.important[1]","MULTI_TRANSLATION","MEDIUM","Ich bleibe hier = оставам тук • Ich warte hier = чакам тук.","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0015","g2/a1/bg|a1-bringen|a1.card.a1-bringen.native|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-bringen","a1.card.a1-bringen.native","MULTI_TRANSLATION","MEDIUM","Донесете • Вземете","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0016","g2/a1/bg|a1-bringen|a1.card.a1-bringen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-bringen","a1.card.a1-bringen.study.translation","MULTI_TRANSLATION","MEDIUM","Донесете • Вземете","deterministic/multi-translation","PENDING"
"G2A1P3-BG-0017","g2/a1/bg|a1-da|a1.card.a1-da.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","bg","a1-da","a1.card.a1-da.study.comparison[0].meaning","MULTI_TRANSLATION","MEDIUM","Там • Тук • Тук (общо)","deterministic/multi-translation","PENDING"
