review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"cbcfe9055d50ec40","cbcfe9055d50ec4039c9525dcb57c9334f771b6f2b18dabfccba97f6d6e3be24","G2A1P3-GR-0059","g2/a1/gr|a1-gleich|a1.card.a1-gleich.native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-gleich","a1.card.a1-gleich.native","tūlīt","gleich","Αμέσως • Το ίδιο","Αμέσως • Το ίδιο","Αμέσως • Το ίδιο","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
"ccbfd0f952ceb9c8","ccbfd0f952ceb9c883892703794a4ae0008b6f69449d5859c73655eb820ed1a1","G2A1P3-GR-0018","g2/a1/gr|a1-bringen|a1.card.a1-bringen.native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-bringen","a1.card.a1-bringen.native","atnest","bringen","Φέρνω • Παίρνω","Φέρνω • Παίρνω","Φέρνω • Παίρνω","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
"ce70616a4dee0538","ce70616a4dee05386317427aabbca3e3ce77d9754169cd25ba7316b142a6fe66","G2A1P3-GR-0180","g2/a1/gr|a1-wenn|a1.card.a1-wenn.study.important[1]|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-wenn","a1.card.a1-wenn.study.important[1]","Wann kommst du? ir jautājums. Wenn du kommst... ir nosacījums/laiks.","wenn","Πότε έρχεσαι • Είναι ένα ερώτημα. Το Wenn du kommst... είναι συνθήκη/τεταμένη.","Πότε έρχεσαι • Είναι ένα ερώτημα. Το Wenn du kommst... είναι συνθήκη/τεταμένη.","Πότε έρχεσαι • Είναι ένα ερώτημα. Το Wenn du kommst... είναι συνθήκη/τεταμένη.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
"cf98e8e59c2e11a9","cf98e8e59c2e11a94c4fe718978d2d7459fb400ab5f69db0424665a3c322df3e","G2A1P3-GR-0029","g2/a1/gr|a1-erst|a1.card.a1-erst.native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-erst","a1.card.a1-erst.native","tikai","erst","Πρώτο • Μόνο","Πρώτο • Μόνο","Πρώτο • Μόνο","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
"d2346bfd508558c1","d2346bfd508558c1cb6eb52e596bbc83f265833b8a35a6620b166aab10b1f9b6","G2A1P3-GR-0078","g2/a1/gr|a1-im|a1.card.a1-im.study.comparison[0].meaning|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-im","a1.card.a1-im.study.comparison[0].meaning","iekšā, kur? (kam?)","im","Μέσα που • (Δοτική πτώση)","Μέσα που • (Δοτική πτώση)","Μέσα που • (Δοτική πτώση)","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
"d31163604694e79e","d31163604694e79e7b83d497b0c840dadea325eccc0510467c789862e0a33973","G2A1P3-GR-0111","g2/a1/gr|a1-lang|a1.card.a1-lang.study.examples[2].native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-lang","a1.card.a1-lang.study.examples[2].native","garš • ilgs","lang","Πόσο διαρκεί • ","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","DECIDED","NELABOT","","Reviewed: the mapped production field is confirmed absent, so this finding has no actionable target."
"d54b21d9ebb6a7ec","d54b21d9ebb6a7ec39695cd4f3008851fbaaef37151953e3ff65c51b7cd0b8f0","G2A1P3-GR-0044","g2/a1/gr|a1-fernsehen-study|a1.card.a1-fernsehen-study.study.examples[0].native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-fernsehen-study","a1.card.a1-fernsehen-study.study.examples[0].native","televīzija","Fernsehen","Τι παίζει σήμερα στην τηλεόραση • ","","","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","CONFIRMED_FIELD_ABSENT","CONFIRMED_FIELD_ABSENT","DECIDED","NELABOT","","Reviewed: the mapped production field is confirmed absent, so this finding has no actionable target."
"d7324eadb474bd7e","d7324eadb474bd7ec37060a0f8c965aba5962bc4202a5337bd74def729caabb3","G2A1P3-GR-0037","g2/a1/gr|a1-etwas|a1.card.a1-etwas.native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-etwas","a1.card.a1-etwas.native","kaut kas","etwas","Κάτι • Λίγο","Κάτι • Λίγο","Κάτι • Λίγο","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
"dad48a74c6610b93","dad48a74c6610b93fe31244a0ada97bc765f00ff43628a5e501f3f17da0fb1ad","G2A1P3-GR-0088","g2/a1/gr|a1-ins|a1.card.a1-ins.native|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-ins","a1.card.a1-ins.native","iekšā • uz iekšu • kurp?","ins","Σε • Σε • Πού • ","Σε • Σε • Πού • ","Σε • Σε • Πού • ","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","OWNER_REVIEW_REQUIRED: multi-translation value contains duplicate or empty alternatives, but the complete intended target-language sense set is ambiguous; no partial automatic deduplication was accepted."
"dbb6d63009a40c7f","dbb6d63009a40c7fbaa5fcb854aa01472ad4ee0cc72401097a84ae70b110b64b","G2A1P3-GR-0177","g2/a1/gr|a1-was|a1.card.a1-was.study.tip[1]|MULTI_TRANSLATION|deterministic/multi-translation","gr","","crowdin-staging/g2/gr-a1.json","a1-was","a1.card.a1-was.study.tip[1]","Ātrs triks: ja uz jautājumu var atbildēt ar 'Tas ir ...', lieto kas; ja atbilde nāk pēc darbības vārda kā papildinājums, lieto ko.","was","Γρήγορη συμβουλή: εάν η ερώτηση μπορεί να απαντηθεί με ""Είναι ..."", χρησιμοποιήστε τι • Αν η απάντηση έρχεται ως στόχος μετά το ρήμα, χρησιμοποιήστε τι.","Γρήγορη συμβουλή: εάν η ερώτηση μπορεί να απαντηθεί με ""Είναι ..."", χρησιμοποιήστε τι • Αν η απάντηση έρχεται ως στόχος μετά το ρήμα, χρησιμοποιήστε τι.","Γρήγορη συμβουλή: εάν η ερώτηση μπορεί να απαντηθεί με ""Είναι ..."", χρησιμοποιήστε τι • Αν η απάντηση έρχεται ως στόχος μετά το ρήμα, χρησιμοποιήστε τι.","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","DECIDED","NELABOT","","Reviewed: the target-language alternatives are distinct and contextually plausible; multiple equivalents are valid here."
