finding_stable_ids,escalation_batch_id,languages,card_object_id,field_path,production_current,owner_decision_before,owner_new_before,linguistic_classification,decision_provenance,owner_status_after,owner_note_after_prefix
"g2/a1/hr|Student|idx:581|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","ESC-017","hr","Student|idx:581","lv","Студент","","","CONFIRMED_BAD_HR_CYRILLIC_NELABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: Cyrillic production text is not valid Croatian; prior NELABOT overturned. OWNER_REVIEW_REQUIRED: "
"g2/a1/hr|zurück|idx:674|lv|TARGET_LANGUAGE_ISSUE|gpt-5.6-luna","ESC-018","hr","zurück|idx:674","lv","Назад","","","CONFIRMED_BAD_HR_CYRILLIC_NELABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: Cyrillic production text is not valid Croatian; prior NELABOT overturned. OWNER_REVIEW_REQUIRED: "
"g2/a1/hr|zusammen|idx:675|lv|TARGET_LANGUAGE_ISSUE|gpt-5.6-luna","ESC-018","hr","zusammen|idx:675","lv","Заедно","","","CONFIRMED_BAD_HR_CYRILLIC_NELABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: Cyrillic production text is not valid Croatian; prior NELABOT overturned. OWNER_REVIEW_REQUIRED: "
"g2/a1/nn|Auge|idx:54|lv|TARGET_LANGUAGE|gpt-5.6-luna","ESC-054","nn","Auge|idx:54","lv","Silm","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Familie|idx:174|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","ESC-055","nn","Familie|idx:174","lv","Perecond","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Glas|idx:241|lv|TARGET_LANGUAGE_ISSUE|gpt-5.6-luna","ESC-055","nn","Glas|idx:241","lv","Klaas","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Gras|idx:248|lv|TARGET_LANGUAGE_ISSUE|gpt-5.6-luna","ESC-055","nn","Gras|idx:248","lv","Rohi","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Hals|idx:264|lv|TARGET_LANGUAGE_ISSUE|gpt-5.6-luna","ESC-055","nn","Hals|idx:264","lv","Kael","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Herr|idx:280|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","ESC-055","nn","Herr|idx:280","lv","Sir","","","CONFIRMED_BAD_NN_HERR_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new must be nynorsk herre, not German Herr; prior LABOT overturned. OWNER_REVIEW_REQUIRED: "
"g2/a1/nn|Jeans|idx:306|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","ESC-056","nn","Jeans|idx:306","lv","Denimbukser","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Juli|idx:303|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","ESC-056","nn","Juli|idx:303","lv","Julie","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Limonade|idx:378|lv|WRONG_LANGUAGE|gpt-5.6-luna","ESC-056","nn","Limonade|idx:378","lv","Lemonade","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Liste|idx:381|lv|WRONG_LANGUAGE|gpt-5.6-luna","ESC-056","nn","Liste|idx:381","lv","Nimekiri","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Luft|idx:384|lv|WRONG_LANGUAGE|gpt-5.6-luna","ESC-056","nn","Luft|idx:384","lv","Õhk","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Meter|idx:404|lv|MISTRANSLATION|gpt-5.6-luna","ESC-056","nn","Meter|idx:404","lv","Møte","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Natur|idx:432|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","ESC-057","nn","Natur|idx:432","lv","Loodus","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Nummer|idx:455|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","ESC-057","nn","Nummer|idx:455","lv","Tall","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Sofa|idx:561|lv|WRONG_LANGUAGE|gpt-5.6-luna","ESC-057","nn","Sofa|idx:561","lv","Divaen","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Student|idx:581|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","ESC-058","nn","Student|idx:581","lv","Üliõpilane","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Tante|idx:587|lv|MISTRANSLATION|gpt-5.6-luna","ESC-058","nn","Tante|idx:587","lv","Taddy","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
"g2/a1/nn|Vase|idx:616|lv|WRONG_LANGUAGE|gpt-5.6-luna","ESC-058","nn","Vase|idx:616","lv","Wow","","","SUSPECT_NN_DE_LEMMA_LABOT","NOT_APPLICABLE","PENDING","LINGUISTIC_QUARANTINE: owner_new matches German lemma, not verified nynorsk; prior LABOT overturned. OWNER_REVIEW_REQUIR"
