review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,card_object_id,field_path,lv_source,de_reference,current,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,owner_status,owner_decision,owner_new,owner_note
"b3040bef898318cd","b3040bef898318cd9546a41ba6b692fbef89a16bb919eaea9aa74afeb58f3fa5","DISC-G2-A1-EN-L0017","g2/a1/en|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","en","Preis|idx:481","lv","cena","Preis","Price","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"d27ce0356b8aff70","d27ce0356b8aff705f0098a0435a3727ff0219d4f32343db77722c75bbfa4135","DISC-G2-A1-ET-L0017","g2/a1/et|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","et","Preis|idx:481","lv","cena","Preis","hind","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"e0ca76162645bf7c","e0ca76162645bf7c40db16a44c5df78c8cba541d6da550132a13e8511892432f","DISC-G2-A1-FR-L0017","g2/a1/fr|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","fr","Preis|idx:481","lv","cena","Preis","Prix","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"9262fca6ef75feea","9262fca6ef75feea84cb8099ef1566c4b4f8d7849e6ba4fb0b1d00fd99a3f49d","DISC-G2-A1-HR-L0017","g2/a1/hr|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","hr","Preis|idx:481","lv","cena","Preis","Cijena","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"33f3fa5c5027f4c6","33f3fa5c5027f4c669bd12bb4e98bab9712fc84ac45fa56ef5e19adffaa342df","DISC-G2-A1-HU-L0017","g2/a1/hu|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","hu","Preis|idx:481","lv","cena","Preis","Ár","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"80a9d54c595b2c2d","80a9d54c595b2c2de53c11a19f4374bdf5eca8d64b0cb47e86a6ccc744a1687a","DISC-G2-A1-NB-L0017","g2/a1/nb|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","nb","Preis|idx:481","lv","cena","Preis","Hind","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots ir pareizs. SOURCE_LV_ISSUE noraidīts. CURRENT ir atsevišķa mērķvalodas kļūda, saglabāt target-language review backlogā."
"117ab580d477e814","117ab580d477e814814eadbd98240ac4a2399dc15a7e1ca1147aa1ece69b234b","DISC-G2-A1-NN-L0017","g2/a1/nn|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","nn","Preis|idx:481","lv","cena","Preis","Hind","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots ir pareizs. SOURCE_LV_ISSUE noraidīts. CURRENT ir atsevišķa mērķvalodas kļūda, saglabāt target-language review backlogā."
"e0fd8fcb826874ca","e0fd8fcb826874cadf0bd71e63a39652161637b185dedbab49999e538c41c571","DISC-G2-A1-RU-L0017","g2/a1/ru|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","ru","Preis|idx:481","lv","cena","Preis","Цена","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"e5c93050a04b0322","e5c93050a04b03229630702e99d622d9f2c51967d6a349154550813194b62f5e","DISC-G2-A1-SK-L0017","g2/a1/sk|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","sk","Preis|idx:481","lv","cena","Preis","Cena","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
"f0bc4c8a3f3a07ab","f0bc4c8a3f3a07ab7188127fab1db99e8ff59ca79cbb53f5b599a1d6609bd99f","DISC-G2-A1-SR-L0017","g2/a1/sr|Preis|idx:481|lv|SOURCE_LV_ISSUE|gpt-5.6-luna","sr","Preis|idx:481","lv","cena","Preis","Cijena","","SOURCE_LV_ISSUE","SOURCE_LV_REVIEW_REQUIRED","","HIGH","NONE","DECIDED","NELABOT","","LV avots pārbaudīts pret DE atsauci un ir pareizs. SOURCE_LV_ISSUE noraidīts."
