source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,provenance_type
"BATCH-111","9cf4f92c6f9fe1c7","9cf4f92c6f9fe1c7e8867c0fc01ce8ec22b5d4b114dc253e4d2aa146ba749cd4","DISC-G2-A1-NL-L0005","g2/a1/nl|Ärztin|idx:46|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","Ärztin|idx:46","lv","ārste","Ärztin","","Een dokter","Een dokter","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","dokter","NL Ärztin/lv: «Een dokter» adds indefinite article; vocabulary headword should be bare «dokter» for ārste/female doctor.","INDIVIDUAL_LINGUISTIC"
"BATCH-112","fcaac422b30c758e","fcaac422b30c758ebafedea52a3ce96e07a5f5b13fa92f9f6d349a9fb89f1d7e","DISC-G2-A1-NL-L0002","g2/a1/nl|bald|idx:69|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","bald|idx:69","lv","drīz","bald","","Spoedig","Spoedig","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL bald/lv: «Spoedig» correctly translates soon/drīz in Dutch A1 usage.","INDIVIDUAL_LINGUISTIC"
"BATCH-111","61e12f5bcf4d75e5","61e12f5bcf4d75e562f9cf368b22dab32f16d084f68cb1d8b06ac6389e0d511f","DISC-G2-A1-NL-L0005","g2/a1/nl|beste|idx:86|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","beste|idx:86","lv","vislabākais","beste","","De beste","De beste","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","beste","NL beste/lv: «De beste» adds definite article; adjective headword should be bare «beste» for vislabākais.","INDIVIDUAL_LINGUISTIC"
"BATCH-111","91ccc860bb99ed4a","91ccc860bb99ed4a297e3d7c320c1fc62e8de4518a73027b63bbd7124778fcf6","DISC-G2-A1-NL-L0002","g2/a1/nl|Brot|idx:1|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","Brot|idx:1","lv","maize","Brot","","Brood","Brood","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL Brot/lv: «Brood» is standard Dutch for bread/maize.","INDIVIDUAL_LINGUISTIC"
"BATCH-111","15e175819b06e19d","15e175819b06e19dd5343c2bf2b712be0f05bf6def8506b31459920d66dff099","DISC-G2-A1-NL-L0003","g2/a1/nl|Erdbeere|idx:76|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","Erdbeere|idx:76","lv","zemene","Erdbeere","","Aardbei","Aardbei","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL Erdbeere/lv: «Aardbei» correctly maps strawberry/zemene.","INDIVIDUAL_LINGUISTIC"
"BATCH-111","3ba69594e00d8e27","3ba69594e00d8e2784443b1277dfac3d430e9216c0012e4cdfc00d7a479bc4d3","DISC-G2-A1-NL-L0001","g2/a1/nl|fett|idx:184|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","fett|idx:184","lv","trekns","fett","","Vet","Vet","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL fett/lv: «Vet» appropriately renders fat/greasy/trekns.","INDIVIDUAL_LINGUISTIC"
"BATCH-112","c7b0b05d238cba3c","c7b0b05d238cba3c4805d928521663c89e86f2352b5a00e9c161d08383624840","DISC-G2-A1-NL-L0003","g2/a1/nl|Finger|idx:188|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","Finger|idx:188","lv","pirksts","Finger","","Vinger","Vinger","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL Finger/lv: «Vinger» is the expected Dutch noun for finger/pirksts.","INDIVIDUAL_LINGUISTIC"
"BATCH-112","d5a0808e0fd98cad","d5a0808e0fd98cadb1c8d80e4b27f36f21503368d74cffe0c37d3ce1923ef3b7","DISC-G2-A1-NL-L0005","g2/a1/nl|frei|idx:199|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","frei|idx:199","lv","brīvs","frei","","Vrij","Vrij","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL frei/lv: «Vrij» correctly translates free/brīvs.","INDIVIDUAL_LINGUISTIC"
"BATCH-111","5831c4b89b717582","5831c4b89b717582ed5164676b14b5ec2e7d226c2424af68c3774a48934a4c38","DISC-G2-A1-NL-L0006","g2/a1/nl|früh|idx:205|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","früh|idx:205","lv","agrs","früh","","Vroeg","Vroeg","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL früh/lv: «Vroeg» is valid Dutch for early/agrs.","INDIVIDUAL_LINGUISTIC"
"BATCH-112","f80b9370892de248","f80b9370892de2487de28f7c9b85d64611f9c242d5e9cc1f7864f0e786da1a04","DISC-G2-A1-NL-L0001","g2/a1/nl|Gruß|idx:256|lv|WRONG_LANGUAGE|gpt-5.6-luna","nl","","crowdin-staging/g2/nl-a1.json","Gruß|idx:256","lv","sveiciens","Gruß","","Groet","Groet","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","NELABOT","","NL Gruß/lv: «Groet» correctly maps greeting/sveiciens.","INDIVIDUAL_LINGUISTIC"
