appCode,standardCode,masterRegistryUrl,proposedDictionaryUrl,proposedDictionaryName,platform,sourceClass,entryEditorialType,entryEditorialLabelLv,pilotHaus,pilotAbholen,pilotRoute,pilotGetriebe,automaticTranslationOnlyWords,finalStatus,ownerApprovalRequired,ownerDecision
"bg","bg","https://bgde.dict.cc/","https://en.pons.com/translate/german-bulgarian","PONS German–BG Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"bs","bs","https://bsde.dict.cc/","https://glosbe.com/de/bs","Glosbe German–BS (dictionary)","glosbe","E","COMMUNITY_LEXICON_GLOSBE","Kopienas leksikons (Glosbe vārdnīcas sadaļa; automātiskie tulkojumi atdalīti/no pilotiem noraidīti)","FOUND","FOUND","FOUND","NOT_FOUND","","DICTIONARY_PARTIALLY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"cs","cs","https://csde.dict.cc/","https://en.pons.com/translate/german-czech","PONS German–CS Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"da","da","https://dade.dict.cc/","https://en.pons.com/translate/german-danish","PONS German–DA Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"en","en","https://www.dict.cc/","https://en.pons.com/translate/german-english","PONS German–EN Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"es","es","https://dees.dict.cc/","https://en.pons.com/translate/german-spanish","PONS German–ES Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"et","et","https://www.keelevara.ee/","https://glosbe.com/de/et","Glosbe German–ET (dictionary)","glosbe","E","COMMUNITY_LEXICON_GLOSBE","Kopienas leksikons (Glosbe vārdnīcas sadaļa; automātiskie tulkojumi atdalīti/no pilotiem noraidīti) BRĪDINĀJUMS: pilotos abholen = tikai automātiskā sadaļa (nav vārdnīcas ieraksts).","FOUND","AUTOMATIC_TRANSLATION_ONLY","FOUND","NOT_FOUND","abholen","DICTIONARY_PARTIALLY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"fi","fi","https://defi.dict.cc/","https://en.pons.com/translate/german-finnish","PONS German–FI Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"fr","fr","https://defr.dict.cc/","https://en.pons.com/translate/german-french","PONS German–FR Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
"gr","el","https://deel.dict.cc/","https://en.pons.com/translate/german-greek","PONS German–EL Dictionary","pons","B","HUMAN_EDITED_PROFESSIONAL","Cilvēku rediģēta profesionāla vārdnīca (izdevējs/redaktors; nav MT)","FOUND","FOUND","FOUND","FOUND","","DICTIONARY_READY","OWNER_APPROVAL_REQUIRED","PENDING"
