source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,provenance_type
"BATCH-216","14362ca48e117ae1","14362ca48e117ae14f5a1cbbcad0098469ed8f7614e3635f13d468e5812446be","G2A1P3-PL-0087","g2/a1/pl|a1-land|a1.card.a1-land.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-land","a1.card.a1-land.study.translation","valsts • zeme","Land","Kraj • Ziemia","Kraj • Ziemia","Kraj • Ziemia","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/Land laukā 'a1.card.a1-land.study.translation': pašreizējais 'Kraj • Ziemia' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","9f6d1e7982d9bbd3","9f6d1e7982d9bbd37b819369c2b803cba0387731b2f9fc41195d658a165c338b","G2A1P3-PL-0092","g2/a1/pl|a1-laufen|a1.card.a1-laufen.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-laufen","a1.card.a1-laufen.native","skriet • darboties","laufen","Biegać • Działać","Biegać • Działać","Biegać • Działać","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/laufen laukā 'a1.card.a1-laufen.native': pašreizējais 'Biegać • Działać' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","871f99484c0ac3ae","871f99484c0ac3ae1feea8b8e017d5ff2d7edfcdee1de6bbcc6c97545c282867","G2A1P3-PL-0093","g2/a1/pl|a1-laufen|a1.card.a1-laufen.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-laufen","a1.card.a1-laufen.study.translation","skriet • darboties","laufen","Biegać • Działać","Biegać • Działać","Biegać • Działać","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/laufen laukā 'a1.card.a1-laufen.study.translation': pašreizējais 'Biegać • Działać' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-218","eba5eb6c440d295d","eba5eb6c440d295d080526717a8e0bae56c915ad655d041d1a5c6d3918f28b67","G2A1P3-PL-0098","g2/a1/pl|a1-mann|a1.card.a1-mann.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-mann","a1.card.a1-mann.native","vīrietis • vīrs","Mann","Mężczyzna • Mąż","Mężczyzna • Mąż","Mężczyzna • Mąż","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/Mann laukā 'a1.card.a1-mann.native': pašreizējais 'Mężczyzna • Mąż' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","a16e51effbfa61b7","a16e51effbfa61b7f966d3b2d060dcc9b118600251ac7465b5f5243fdb19de67","G2A1P3-PL-0099","g2/a1/pl|a1-mann|a1.card.a1-mann.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-mann","a1.card.a1-mann.study.translation","vīrietis • vīrs","Mann","Mężczyzna • Mąż","Mężczyzna • Mąż","Mężczyzna • Mąż","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/Mann laukā 'a1.card.a1-mann.study.translation': pašreizējais 'Mężczyzna • Mąż' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","3dc4d28829bd8c08","3dc4d28829bd8c08048dd6259d6f6bb506a1384f68bc383449a2f65b3a7537ef","G2A1P3-PL-0100","g2/a1/pl|a1-nach|a1.card.a1-nach.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-nach","a1.card.a1-nach.native","uz • pēc","nach","Do • Po","Do • Po","Do • Po","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/nach laukā 'a1.card.a1-nach.native': pašreizējais 'Do • Po' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","c4b4f81f651251a9","c4b4f81f651251a9930c264b900631444e227db5ff1d35e1a1a4aa696bccca46","G2A1P3-PL-0101","g2/a1/pl|a1-nach|a1.card.a1-nach.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-nach","a1.card.a1-nach.study.translation","uz • pēc","nach","Do • Po","Do • Po","Do • Po","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/nach laukā 'a1.card.a1-nach.study.translation': pašreizējais 'Do • Po' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","ad2dd4dbee097db4","ad2dd4dbee097db4ba3d5181f05598541d97270a90a1305c1eeed6de1acb2eb3","G2A1P3-PL-0102","g2/a1/pl|a1-natuerlich|a1.card.a1-natuerlich.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-natuerlich","a1.card.a1-natuerlich.native","protams • dabisks","natürlich","Oczywiście • Naturalne","Oczywiście • Naturalne","Oczywiście • Naturalne","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/natürlich laukā 'a1.card.a1-natuerlich.native': pašreizējais 'Oczywiście • Naturalne' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","d7403b205e31d1a6","d7403b205e31d1a625a8917896614c531cb3856da1892521fe1631779c7f3e71","G2A1P3-PL-0103","g2/a1/pl|a1-natuerlich|a1.card.a1-natuerlich.study.translation|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-natuerlich","a1.card.a1-natuerlich.study.translation","protams • dabisks","natürlich","Oczywiście • Naturalne","Oczywiście • Naturalne","Oczywiście • Naturalne","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/natürlich laukā 'a1.card.a1-natuerlich.study.translation': pašreizējais 'Oczywiście • Naturalne' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
"BATCH-217","2c3b710189a5f8e6","2c3b710189a5f8e64c18cecf1dabbdef3f2628a645c49bbeb93a1d2e9bfa41c3","G2A1P3-PL-0113","g2/a1/pl|a1-probieren|a1.card.a1-probieren.native|MULTI_TRANSLATION|deterministic/multi-translation","pl","","crowdin-staging/g2/pl-a1.json","a1-probieren","a1.card.a1-probieren.native","izmēģināt • nogaršot","probieren","Spróbować • Skosztować","Spróbować • Skosztować","Spróbować • Skosztować","PASS","","MULTI_TRANSLATION","MULTI_TRANSLATION_REVIEW_REQUIRED","","MEDIUM","NONE","UNCHANGED_SINCE_DISCOVERY","EXACT_FIELD","PENDING","","","Individuāli pārskatīts pl/probieren laukā 'a1.card.a1-probieren.native': pašreizējais 'Spróbować • Skosztować' ir idiomātisks poļu ekvivalents konkrētajai LV nozīmei.",""
