source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category,provenance_type
"BATCH-098","4d9d14d91da601a9","4d9d14d91da601a92018e3680bb3e0009e2956d290b9f8ae0376200bc2d4e5b8","DISC-G2-A1-IS-L0004","g2/a1/is|Ostern|idx:467|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Ostern|idx:467","lv","Lieldienas","Ostern","","Lihavögted","Lihavögted","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""páskar""}","IS Ostern lv: ET Lihavögted→páskar for Lieldienas Easter. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-188","7557edcd62dd7812","7557edcd62dd78120e07f5fb9c8973b671a9d5ecac41beb4232e87a343dc8e61","DISC-G2-A1-IS-L0005","g2/a1/is|Paar|idx:468|lv|ORTHOGRAPHY|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Paar|idx:468","lv","pāris","Paar","","Par","Par","PASS","","ORTHOGRAPHY","ORTHOGRAPHY_SPELLING_OR_DIACRITICS","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""par""}","IS Paar lv: ET Par→par for pāris couple/pair. DE untouched.","ORTHOGRAPHY_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-100","c4d283aa4796231b","c4d283aa4796231b022fa8a657060c194b2d5a0928dc481567ece54125bcc38a","DISC-G2-A1-IS-L0006","g2/a1/is|Papier|idx:469|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Papier|idx:469","lv","papīrs","Papier","","Papir","Papir","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""pappír""}","IS Papier lv: NO Papir→pappír for papīrs paper. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-164","b6aadbca4baf23d0","b6aadbca4baf23d09b64d2b9cc9f66338973a587ce3d00a045f7ba4be7df6165","DISC-G2-A1-IS-L0007","g2/a1/is|Park|idx:470|lv|MISTRANSLATION|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Park|idx:470","lv","parks","Park","","Parkere","Parkere","PASS","","MISTRANSLATION","SEMANTIC_OR_MEANING_ERROR","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""almenningsgarður""}","IS Park lv: NO Parkere→almenningsgarður for parks park. DE untouched.","SEMANTIC_MEANING_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-098","6dacdfe76a66bee1","6dacdfe76a66bee10510fb0414ea3aa2a9ae04af7e1df1b697e7742583d2ac16","DISC-G2-A1-IS-L0005","g2/a1/is|passen|idx:471|lv; study.translation; study.explanation; study.examples|TARGET_LANGUAGE_ISSUE|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","passen|idx:471","lv; study.translation; study.explanation; study.examples","derēt • piestāvēt","passen","","{""lv"":""Sobima • Hest sobima"",""study.translation"":""Sobima • Hest sobima"",""study.explanation"":""[\""Põhiidee: passen jähä sobima, häst istuma või paras olema.\"",\""Riiete poulah tähä passen säili seureuse pohälä sobima.\"",\""Värvide või stiili kohta tähää passen häst sobima.\"",\""Väga sage fraas på Das passt. = Se passer.\""]"",""study.examples"":""[{\""de\"":\""Die Jacke passt mir.\"",\""lv\"":\""Jakke passer til multe.\""},{\""de\"":\""Das Kleid passt gut.\"",\""lv\"":\""Kjolen sitter godt.\""},{\""de\"":\""Die Farbe passt zu dir.\"",\""lv\"":\""Se varve sobib sulle.\""},{\""de\"":\""Das passt.\"",\""lv\"":\""Se passe.\""}]""}","{""lv"":""Sobima • Hest sobima"",""study.translation"":""Sobima • Hest sobima"",""study.explanation"":""[\""Põhiidee: passen jähä sobima, häst istuma või paras olema.\"",\""Riiete poulah tähä passen säili seureuse pohälä sobima.\"",\""Värvide või stiili kohta tähää passen häst sobima.\"",\""Väga sage fraas på Das passt. = Se passer.\""]"",""study.examples"":""[{\""de\"":\""Die Jacke passt mir.\"",\""lv\"":\""Jakke passer til multe.\""},{\""de\"":\""Das Kleid passt gut.\"",\""lv\"":\""Kjolen sitter godt.\""},{\""de\"":\""Die Farbe passt zu dir.\"",\""lv\"":\""Se varve sobib sulle.\""},{\""de\"":\""Das passt.\"",\""lv\"":\""Se passe.\""}]""}","PASS","","TARGET_LANGUAGE_ISSUE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","DECIDED","LABOT","{""lv"":""passa • henta"",""study.translation"":""passa • henta"",""study.explanation"":[""Meginhugsun: passen þýðir að passa, henta eða vera rétt stærð."",""Um föt þýðir passen oft að þau passa vel á mann."",""Um lit eða stíl þýðir passen að eitthvað passar vel saman."",""Das passt. = Það passar.""],""study.examples[0].lv"":""Jakkin passar mér."",""study.examples[1].lv"":""Kjóllinn passar vel."",""study.examples[2].lv"":""Liturinn passar við þig."",""study.examples[3].lv"":""Það passar.""}","IS passen composite: ET/NO Sobima/passer→passa•henta throughout lv/study for derēt•piestāvēt. DE untouched.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER","INDIVIDUAL_LINGUISTIC"
"BATCH-098","52087e46c7eb5ee1","52087e46c7eb5ee1b77b1f931b5c1194d7d793cc2126a7e125a48b57295df117","DISC-G2-A1-IS-L0008","g2/a1/is|Pause|idx:472|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Pause|idx:472","lv","pārtraukums","Pause","","Vaheag","Vaheag","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""hlé""}","IS Pause lv: ET Vaheag→hlé for pārtraukums break. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-099","894082a3d2fcd92b","894082a3d2fcd92ba32b5a72876f49326da6ae73add3600b40de3a504ec0cfa5","DISC-G2-A1-IS-L0009","g2/a1/is|Person|idx:473|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Person|idx:473","lv","persona","Person","","Isik","Isik","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""manneskja""}","IS Person lv: ET Isik→manneskja for persona person. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-100","bf01668a1bf69ab1","bf01668a1bf69ab16851698d468300f85d61f8142ed1f5b860eb116006329d6c","DISC-G2-A1-IS-L0010","g2/a1/is|Pferd|idx:474|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Pferd|idx:474","lv","zirgs","Pferd","","Hobune","Hobune","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""hestur""}","IS Pferd lv: ET Hobune→hestur for zirgs horse. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-100","cc7227597098684b","cc7227597098684bda59fa75479be728faa18665beb74f7f8c46ced4ce08d396","DISC-G2-A1-IS-L0011","g2/a1/is|Pflanze|idx:475|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Pflanze|idx:475","lv","augs","Pflanze","","Taim","Taim","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""planta""}","IS Pflanze lv: ET Taim→planta for augs plant. DE untouched.","TARGET_LANGUAGE_REWRITE_REQUIRED","INDIVIDUAL_LINGUISTIC"
"BATCH-188","58da10dbb018d51c","58da10dbb018d51cc2363d49ea700bfb4e4d2bd4ef1499b476733cbd1d752c9a","DISC-G2-A1-IS-L0012","g2/a1/is|Plan|idx:477|lv|ORTHOGRAPHY|gpt-5.6-luna","is","","crowdin-staging/g2/is-a1.json","Plan|idx:477","lv","plāns","Plan","","Plan","Plan","PASS","","ORTHOGRAPHY","ORTHOGRAPHY_SPELLING_OR_DIACRITICS","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","{""lv"":""áætlun""}","IS Plan lv: loan Plan→áætlun for plāns plan. DE untouched.","ORTHOGRAPHY_REVIEW_REQUIRED","INDIVIDUAL_LINGUISTIC"
