source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note,unresolved_category
"BATCH-077","361566b63005211d","361566b63005211ddb4ac69bc0c18a0c3abac864a3216122549f55f168c56d1d","DISC-G2-A1-FI-L0010","g2/a1/fi|Weg|idx:647|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Weg|idx:647","lv","ceļš","Weg","","Tee","Tee","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On Weg|idx:647, Finnish field lv contains “Tee”, an Estonian/foreign headword for Latvian “ceļš” (German “Weg”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-081","fc77ccb885a2c4e7","fc77ccb885a2c4e7c01c7c1374ef28857fea02e76163a32bfd5fb6e8cc1c9b21","DISC-G2-A1-FI-L0011","g2/a1/fi|Weihnachten|idx:648|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Weihnachten|idx:648","lv","Ziemassvētki","Weihnachten","","Jõulud","Jõulud","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On Weihnachten|idx:648, Finnish field lv contains “Jõulud”, an Estonian/foreign headword for Latvian “Ziemassvētki” (German “Weihnachten”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-078","7457ab37090f45e8","7457ab37090f45e85e767d87d65ea8fe50cedb19909b688ccc32f00bc1177116","DISC-G2-A1-FI-L0012","g2/a1/fi|Wein|idx:649|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Wein|idx:649","lv","vīns","Wein","","Vein","Vein","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On Wein|idx:649, Finnish field lv contains “Vein”, an Estonian/foreign headword for Latvian “vīns” (German “Wein”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-079","c5ac7128703be233","c5ac7128703be2337a87908a257f009d100c2118ce0d6cbf73b658a81842db65","DISC-G2-A1-FI-L0013","g2/a1/fi|weinen|idx:650|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","weinen|idx:650","lv","raudāt","weinen","","Nutma","Nutma","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On weinen|idx:650, Finnish field lv contains “Nutma”, an Estonian/foreign headword for Latvian “raudāt” (German “weinen”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-079","ab55f48856d79488","ab55f48856d79488c9f43296f7d7c8f017a7d3083f4503e2e3712f0fa6e5c0f2","DISC-G2-A1-FI-L0014","g2/a1/fi|weiß|idx:651|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","weiß|idx:651","lv","balts","weiß","","Valge","Valge","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On weiß|idx:651, Finnish field lv contains “Valge”, an Estonian/foreign headword for Latvian “balts” (German “weiß”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-076","2cfe10cdaa261c0b","2cfe10cdaa261c0b3b9c1bf5b54440d84a86657fe7ab034ff5f652c2a3ddae51","DISC-G2-A1-FI-L0015","g2/a1/fi|welcher|idx:652|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","welcher|idx:652","lv","kurš","welcher","","Milline","Milline","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On welcher|idx:652, Finnish field lv contains “Milline”, an Estonian/foreign headword for Latvian “kurš” (German “welcher”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-077","47a6fc66a85f337d","47a6fc66a85f337d595f5fb78aba75d2788e04dc3418c0c33d1fc86843f51c3e","DISC-G2-A1-FI-L0016","g2/a1/fi|Welt|idx:653|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","Welt|idx:653","lv","pasaule","Welt","","Maailm","Maailm","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On Welt|idx:653, Finnish field lv contains “Maailm”, an Estonian/foreign headword for Latvian “pasaule” (German “Welt”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-079","9c2c9677cf0fd70f","9c2c9677cf0fd70fe4621f781b80b38552d7c8bdd88d2becdee32ef987515317","DISC-G2-A1-FI-L0017","g2/a1/fi|wenig|idx:654|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","wenig|idx:654","lv","maz","wenig","","Vähe","Vähe","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","PENDING","","","PENDING — On wenig|idx:654, Finnish field lv contains “Vähe”, an Estonian/foreign headword for Latvian “maz” (German “wenig”). A Finnish speaker must supply the exact Finnish lexical form, including any required alternatives, before owner_new can be set.","TARGET_LANGUAGE_REWRITE_REQUIRED"
"BATCH-080","e7cb8ec764bf8964","e7cb8ec764bf896402229b7962c3b46c0d4e4c7fd9bd6d4c1088b5bdd26e56eb","DISC-G2-A1-FI-L0004","g2/a1/fi|wenn|idx:655|study|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","wenn|idx:655","study","ja • kad","wenn","","{""study.translation"":""Kui (tingimus) • Kui (aeg)"",""study.explanation"":""[\""Põhiidee: wenn väljendab olenevalt olukorrast tingimust või korduvat aega ja vastab eesti keeles sõnale kui.\"",\""Kui jutt on tingimusest, tõlgi see sõnaga kui.\"",\""Kui jutt on korduvast või üldisest ajast, tõlgitakse see sõnaga kui.\"",\""Pärast wenn on tegusõna saksa lauses tavaliselt lõpus.\""]"",""study.examples"":""[{\""de\"":\""Wenn du Zeit hast, komm vorbei.\"",\""lv\"":\""Kui sul on aega, astu läbi.\""},{\""de\"":\""Wenn es regnet, bleibe ich zu Hause.\"",\""lv\"":\""Kui sajab, jään ma koju.\""},{\""de\"":\""Wenn ich müde bin, trinke ich Kaffee.\"",\""lv\"":\""Kui olen väsinud, joon kohvi.\""},{\""de\"":\""Ich weiß nicht, ob er kommt.\"",\""lv\"":\""Ma ei tea, kas ta tuleb.\""}]"",""study.comparison"":""[{\""word\"":\""wenn\"",\""meaning\"":\""Kui (tingimus) / kui (aeg)\"",\""example\"":\""Wenn du Zeit hast...\""},{\""word\"":\""ob\"",\""meaning\"":\""Kas kaudses küsimuses\"",\""example\"":\""Ich weiß nicht, ob...\""},{\""word\"":\""wann\"",\""meaning\"":\""Millal küsimuses\"",\""example\"":\""Wann kommst du?\""},{\""word\"":\""weil\"",\""meaning\"":\""Sest\"",\""example\"":\""Ich bleibe, weil ich krank bin.\""}]"",""study.tip"":""{\""text\"":\""Atceries: nosacījums → wenn; jautājums “kad?” → wann.\""}"",""study.important"":""[\""wenn ja wann eivät ole samaa.\"",\""Wann kommst du? on kysymys. Wenn du kommst... on ehto/aika.\""]""}","{""study.translation"":""Kui (tingimus) • Kui (aeg)"",""study.explanation"":""[\""Põhiidee: wenn väljendab olenevalt olukorrast tingimust või korduvat aega ja vastab eesti keeles sõnale kui.\"",\""Kui jutt on tingimusest, tõlgi see sõnaga kui.\"",\""Kui jutt on korduvast või üldisest ajast, tõlgitakse see sõnaga kui.\"",\""Pärast wenn on tegusõna saksa lauses tavaliselt lõpus.\""]"",""study.examples"":""[{\""de\"":\""Wenn du Zeit hast, komm vorbei.\"",\""lv\"":\""Kui sul on aega, astu läbi.\""},{\""de\"":\""Wenn es regnet, bleibe ich zu Hause.\"",\""lv\"":\""Kui sajab, jään ma koju.\""},{\""de\"":\""Wenn ich müde bin, trinke ich Kaffee.\"",\""lv\"":\""Kui olen väsinud, joon kohvi.\""},{\""de\"":\""Ich weiß nicht, ob er kommt.\"",\""lv\"":\""Ma ei tea, kas ta tuleb.\""}]"",""study.comparison"":""[{\""word\"":\""wenn\"",\""meaning\"":\""Kui (tingimus) / kui (aeg)\"",\""example\"":\""Wenn du Zeit hast...\""},{\""word\"":\""ob\"",\""meaning\"":\""Kas kaudses küsimuses\"",\""example\"":\""Ich weiß nicht, ob...\""},{\""word\"":\""wann\"",\""meaning\"":\""Millal küsimuses\"",\""example\"":\""Wann kommst du?\""},{\""word\"":\""weil\"",\""meaning\"":\""Sest\"",\""example\"":\""Ich bleibe, weil ich krank bin.\""}]"",""study.tip"":""{\""text\"":\""Atceries: nosacījums → wenn; jautājums “kad?” → wann.\""}"",""study.important"":""[\""wenn ja wann eivät ole samaa.\"",\""Wann kommst du? on kysymys. Wenn du kommst... on ehto/aika.\""]""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING — On fi card wenn|idx:655, the finding spans study; the captured production value begins “{""study.translation"":""Kui (tingimus) • Kui (aeg)"",""study.explanation"":""[\""Põhiidee: wenn väljendab olenevalt olukorrast tingimust või korduvat aega ja vastab eesti keeles sõnale kui.\"",\""Ku…”. Review the listed subfields separately against Latvian “ja • kad” / German “wenn” and name each exact field-level replacement; one scalar owner_new cannot safely encode this composite change.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER"
"BATCH-076","30faa2e0005a928d","30faa2e0005a928db84b7ab719bc4a488183051d5e9f699bcbbea85b0480d926","DISC-G2-A1-FI-L0005","g2/a1/fi|wer|idx:656|study|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","fi","","crowdin-staging/g2/fi-a1.json","wer|idx:656","study","kas • kurš","wer","","{""study.translation"":""Kes • Kumb"",""study.explanation"":""[\""Põhiidee: wer on küsisõna inimese identiteedi kohta — eesti keeles on see kes.\"",\""Wer küsib inimeste kohta, mitte asjade või sündmuste kohta.\"",\""Asjade ja sündmuste kohta küsitakse was, mitte wer.\"",\""Wer on saksa keeles tavaliselt lause alus (Nominativis) — Wer ist das? = Kes see on?\"",\""Kui küsid, kes täpselt mitmest inimesest, kasutatakse wer sageli koos von (wer von euch = kes teist).\"",\""Wer muudab vormi käände järgi: wen (Akkusativ), wem (Dativ), wessen (Genitiv) — A1 tasemel esineb kõige sagedamini just vorm wer.\""]"",""study.examples"":""[{\""de\"":\""Wer ist das?\"",\""lv\"":\""Mis see on?\""},{\""de\"":\""Wer bist du?\"",\""lv\"":\""Kes sa oled?\""},{\""de\"":\""Wer kommt heute?\"",\""lv\"":\""Kes täna tuleb?\""},{\""de\"":\""Wer ist deine Lehrerin?\"",\""lv\"":\""Kes on sinu õpetaja?\""},{\""de\"":\""Wer von euch spricht Deutsch?\"",\""lv\"":\""Kes teist räägib saksa keelt?\""},{\""de\"":\""Wer hat das gesagt?\"",\""lv\"":\""Kes seda ütles?\""},{\""de\"":\""Wer möchte Kaffee?\"",\""lv\"":\""Kes soovib kohvi?\""}]"",""study.tip"":""[\""wer kysyy henkilöistä (kuka/ketkä) - asioista ja tapahtumista käytetään was.\"",\""Kysyäksesi valinnasta useiden ihmisten välillä, käytä wer von... (kuka... joukosta).\""]"",""study.important"":""[\""wer kysyy vain henkilöistä, ei koskaan asioista.\"",\""Asioista ja tapahtumista kysytään was, ei wer.\"",\""wer muuttuu sijan mukaan: wen, wem, wessen - mutta perusmuoto on wer.\"",\""Väärin: Wer ist passiert? → Oikein: Was ist passiert?\""]""}","{""study.translation"":""Kes • Kumb"",""study.explanation"":""[\""Põhiidee: wer on küsisõna inimese identiteedi kohta — eesti keeles on see kes.\"",\""Wer küsib inimeste kohta, mitte asjade või sündmuste kohta.\"",\""Asjade ja sündmuste kohta küsitakse was, mitte wer.\"",\""Wer on saksa keeles tavaliselt lause alus (Nominativis) — Wer ist das? = Kes see on?\"",\""Kui küsid, kes täpselt mitmest inimesest, kasutatakse wer sageli koos von (wer von euch = kes teist).\"",\""Wer muudab vormi käände järgi: wen (Akkusativ), wem (Dativ), wessen (Genitiv) — A1 tasemel esineb kõige sagedamini just vorm wer.\""]"",""study.examples"":""[{\""de\"":\""Wer ist das?\"",\""lv\"":\""Mis see on?\""},{\""de\"":\""Wer bist du?\"",\""lv\"":\""Kes sa oled?\""},{\""de\"":\""Wer kommt heute?\"",\""lv\"":\""Kes täna tuleb?\""},{\""de\"":\""Wer ist deine Lehrerin?\"",\""lv\"":\""Kes on sinu õpetaja?\""},{\""de\"":\""Wer von euch spricht Deutsch?\"",\""lv\"":\""Kes teist räägib saksa keelt?\""},{\""de\"":\""Wer hat das gesagt?\"",\""lv\"":\""Kes seda ütles?\""},{\""de\"":\""Wer möchte Kaffee?\"",\""lv\"":\""Kes soovib kohvi?\""}]"",""study.tip"":""[\""wer kysyy henkilöistä (kuka/ketkä) - asioista ja tapahtumista käytetään was.\"",\""Kysyäksesi valinnasta useiden ihmisten välillä, käytä wer von... (kuka... joukosta).\""]"",""study.important"":""[\""wer kysyy vain henkilöistä, ei koskaan asioista.\"",\""Asioista ja tapahtumista kysytään was, ei wer.\"",\""wer muuttuu sijan mukaan: wen, wem, wessen - mutta perusmuoto on wer.\"",\""Väärin: Wer ist passiert? → Oikein: Was ist passiert?\""]""}","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","COMPOSITE_SCOPE_CAPTURED","COMPOSITE_SCOPE_CAPTURED","PENDING","","","PENDING — On fi card wer|idx:656, the finding spans study; the captured production value begins “{""study.translation"":""Kes • Kumb"",""study.explanation"":""[\""Põhiidee: wer on küsisõna inimese identiteedi kohta — eesti keeles on see kes.\"",\""Wer küsib inimeste kohta, mitte asjade või sündm…”. Review the listed subfields separately against Latvian “kas • kurš” / German “wer” and name each exact field-level replacement; one scalar owner_new cannot safely encode this composite change.","COMPOSITE_SCOPE_REQUIRES_FIELD_LEVEL_OWNER"
