source_batch_id,review_group_id,decision_target_key,finding_member_ids,finding_stable_ids,languages,source_cluster_id,production_file,card_object_id,field_path,lv_source,de_reference,discovery_current,production_current,production_current_mirror,primary_www_parity,proposed,raw_category,canonical_bucket,reason,severity,conflict_status,post_crowdin_state,mapping_resolution,owner_status,owner_decision,owner_new,owner_note
"BATCH-088","18ff5a106fc0146d","18ff5a106fc0146d025f4e26c75ebb0ed501520a2218742aa3a5758ce8f9bcca","DISC-G2-A1-HR-L0009","g2/a1/hr|Aprikose|idx:40|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Aprikose|idx:40","lv","aprikoze","Aprikose","","Kajsija","Kajsija","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","marelica","Individuāli pārskatīts hr/Aprikose pret LV 'aprikoze': pašreizējais 'Kajsija' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'marelica'."
"BATCH-088","1da13e9db738f844","1da13e9db738f844ef9e03c9e9c931d954091ef720e9d330bfce6fc6ee891971","DISC-G2-A1-HR-L0008","g2/a1/hr|kochen|idx:317|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","kochen|idx:317","lv","gatavot","kochen","","Подгответе се","Подгответе се","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","kuhati","Individuāli pārskatīts hr/kochen pret LV 'gatavot': pašreizējais 'Подгответе се' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'kuhati'."
"BATCH-088","1ba6a1d2c0016cf0","1ba6a1d2c0016cf042379efab16bf81a268a56feef9e8749138614813edd57ba","DISC-G2-A1-HR-L0006","g2/a1/hr|Kopf|idx:342|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Kopf|idx:342","lv","galva","Kopf","","-Glava.","-Glava.","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","MEDIUM","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","glava","Individuāli pārskatīts hr/Kopf pret LV 'galva': pašreizējais '-Glava.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'glava'."
"BATCH-088","10a4af3f0109df2f","10a4af3f0109df2f266c19692acb2a7b50096ff179eb5d08e74811e95a694869","DISC-G2-A1-HR-L0002","g2/a1/hr|laufen|idx:357|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","laufen|idx:357","lv","skriet • darboties","laufen","","Run • Work","Run • Work","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","trčati • raditi","Individuāli pārskatīts hr/laufen pret LV 'skriet • darboties': pašreizējais 'Run • Work' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'trčati • raditi'."
"BATCH-088","0a638a61ae1bac69","0a638a61ae1bac690604b06c12984c9f7b6bf48b063006d8445a21b28e9732b9","DISC-G2-A1-HR-L0019","g2/a1/hr|leer|idx:362|lv|TARGET_LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","leer|idx:362","lv","tukšs","leer","","Празен","Празен","PASS","","TARGET_LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","prazan","Individuāli pārskatīts hr/leer pret LV 'tukšs': pašreizējais 'Празен' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'prazan'."
"BATCH-088","03677730b3cb9b72","03677730b3cb9b72dd2aad00164810f7c548fa51d2c9924585a3f1047dd007fc","DISC-G2-A1-HR-L0012","g2/a1/hr|Luft|idx:384|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Luft|idx:384","lv","gaiss","Luft","","Vazduh","Vazduh","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","zrak","Individuāli pārskatīts hr/Luft pret LV 'gaiss': pašreizējais 'Vazduh' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'zrak'."
"BATCH-088","19e33a9879948c38","19e33a9879948c3833df0eea896a9b0166dbdc34f49ef49196520e17032816dd","DISC-G2-A1-HR-L0001","g2/a1/hr|Mann|idx:394|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Mann|idx:394","lv","vīrietis • vīrs","Mann","","Мъж • Съпруг","Мъж • Съпруг","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","muškarac • muž","Individuāli pārskatīts hr/Mann pret LV 'vīrietis • vīrs': pašreizējais 'Мъж • Съпруг' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'muškarac • muž'."
"BATCH-088","17b551b14c56bb75","17b551b14c56bb7520320086618ede496c6f281aebf2c344436e63aff859f913","DISC-G2-A1-HR-L0006","g2/a1/hr|Million|idx:406|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Million|idx:406","lv","miljons","Million","","Милион","Милион","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","milijun","Individuāli pārskatīts hr/Million pret LV 'miljons': pašreizējais 'Милион' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'milijun'."
"BATCH-088","191bcbd23d5aa422","191bcbd23d5aa422db8b5addfe38f699ff7a4659c50a250faa15283f6020212e","DISC-G2-A1-HR-L0003","g2/a1/hr|mögen|idx:413|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","mögen|idx:413","lv","patikt","mögen","","Sviđa mi se","Sviđa mi se","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","sviđati se","Individuāli pārskatīts hr/mögen pret LV 'patikt': pašreizējais 'Sviđa mi se' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'sviđati se'."
"BATCH-088","08aa1b012ad5714b","08aa1b012ad5714b8344971b7dc8fe567edd9bb9dc69c84adf78c2ca0a98ecca","DISC-G2-A1-HR-L0014","g2/a1/hr|Montag|idx:416|lv|WRONG_TARGET_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Montag|idx:416","lv","pirmdiena","Montag","","Понеделник","Понеделник","PASS","","WRONG_TARGET_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","ponedjeljak","Individuāli pārskatīts hr/Montag pret LV 'pirmdiena': pašreizējais 'Понеделник' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'ponedjeljak'."
"BATCH-088","1ddb1da1662861ff","1ddb1da1662861ffd27a7d0a052c65a1a5dc1333bc8dadbc35edafb396b289ae","DISC-G2-A1-HR-L0019","g2/a1/hr|Null|idx:454|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Null|idx:454","lv","nulle","Null","","Нула","Нула","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","nula","Individuāli pārskatīts hr/Null pret LV 'nulle': pašreizējais 'Нула' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'nula'."
"BATCH-088","15ae2bd914bab577","15ae2bd914bab5772441c1e9ecdd21393132cf7603c35dd831bdd7591e1a80eb","DISC-G2-A1-HR-L0001","g2/a1/hr|probieren|idx:482|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","probieren|idx:482","lv","izmēģināt • nogaršot","probieren","","Опитайте • Опитайте","Опитайте • Опитайте","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","probati • kušati","Individuāli pārskatīts hr/probieren pret LV 'izmēģināt • nogaršot': pašreizējais 'Опитайте • Опитайте' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'probati • kušati'."
"BATCH-088","0d2e1c0bfe432394","0d2e1c0bfe43239402f145f4aa88eb25bfc3fe1ea63d3f0da7810f60f359a0de","DISC-G2-A1-HR-L0002","g2/a1/hr|Reis|idx:496|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","Reis|idx:496","lv","rīsi","Reis","","Rice.","Rice.","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","riža","Individuāli pārskatīts hr/Reis pret LV 'rīsi': pašreizējais 'Rice.' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'riža'."
"BATCH-088","1781bf065b59a53d","1781bf065b59a53dedc35871f490f86080469f78bcedf0759b674da3b0f45afb","DISC-G2-A1-HR-L0008","g2/a1/hr|rot|idx:499|lv|WRONG_LANGUAGE|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","rot|idx:499","lv","sarkans","rot","","Црвено","Црвено","PASS","","WRONG_LANGUAGE","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","crven","Individuāli pārskatīts hr/rot pret LV 'sarkans': pašreizējais 'Црвено' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'crven'."
"BATCH-088","10dd7377afa5d584","10dd7377afa5d584e3b04eb8700eaadd0a5680bc12de6511aef531818f6019be","DISC-G2-A1-HR-L0004","g2/a1/hr|schauen|idx:510|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","schauen|idx:510","lv","skatīties","schauen","","Pogledaj","Pogledaj","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","gledati","Individuāli pārskatīts hr/schauen pret LV 'skatīties': pašreizējais 'Pogledaj' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'gledati'."
"BATCH-088","0e5214478f361d53","0e5214478f361d53fc46da4545760b782d8e63a835ab171a3227bfb0948155e3","DISC-G2-A1-HR-L0001","g2/a1/hr|schnell|idx:519|lv|LANGUAGE_MISMATCH|gpt-5.6-luna","hr","","crowdin-staging/g2/hr-a1.json","schnell|idx:519","lv","ātrs","schnell","","Бързо","Бързо","PASS","","LANGUAGE_MISMATCH","WRONG_OR_MIXED_TARGET_LANGUAGE","","HIGH","NONE","CHANGED_SINCE_DISCOVERY","EXPLICIT_FIELD_ALIAS","DECIDED","LABOT","brz","Individuāli pārskatīts hr/schnell pret LV 'ātrs': pašreizējais 'Бързо' nav pareiza horvātu pamatforma; precīzais aizstājums šim izolētajam laukam ir 'brz'."
