language,currentTarget,verdict,findingType,proposedTarget,targetEntryUrl,sourceAccessStatus,ownerReviewRequired
bs,kuća,NEEDS_SOURCE_REVIEW,,,,SOURCE_ENTRY_NOT_FOUND,true
en,House,PASS,,,https://www.oxfordlearnersdictionaries.com/definition/english/house_1,SOURCE_ENTRY_VALIDATED,false
cs,Dům,NEEDS_SOURCE_REVIEW,,,https://prirucka.ujc.cas.cz/?id=915#ref_id_2019_15_1,SOURCE_ENTRY_NOT_FOUND,true
da,Hus,PASS,,,https://ordnet.dk/ddo/ordbog/Hus,SOURCE_ENTRY_VALIDATED,false
et,maja,PASS,,,https://sonaveeb.ee/search/unif/dlall/dsall/maja/1/eng,SOURCE_ENTRY_VALIDATED,false
es,casa,PASS,,,https://dle.rae.es/casa,SOURCE_ENTRY_VALIDATED,false
fr,Maison,NEEDS_SOURCE_REVIEW,,,https://www.dictionnaire-academie.fr/#/recherche/Maison,SOURCE_ENTRY_NOT_FOUND,true
hr,Куќа,NEEDS_SOURCE_REVIEW,,,https://rjecnik.hr/?query=%D0%9A%D1%83%D1%9C%D0%B0,SOURCE_ENTRY_NOT_FOUND,true
is,Maya,NEEDS_SOURCE_REVIEW,,,https://bin.arnastofnun.is/beygingarstodur/nidur.php?adgerdir=leit&nafn=Maya,SOURCE_ENTRY_NOT_FOUND,true
it,casa,NEEDS_SOURCE_REVIEW,,,https://www.lessicografia.it/search?q=casa,SOURCE_ENTRY_NOT_FOUND,true
lv,māja,PASS,,,https://tezaurs.lv/m%C4%81ja,SOURCE_ENTRY_VALIDATED,false
lb,Haus,NEEDS_SOURCE_REVIEW,,,https://lod.lu/search/Haus,SOURCE_ENTRY_NOT_FOUND,true
lt,namas,NEEDS_SOURCE_REVIEW,,,https://ekalba.lt/zodynas?q=namas,SOURCE_ENTRY_NOT_FOUND,true
hu,Ház,NEEDS_SOURCE_REVIEW,,,https://nagyszotar.nytud.hu/dictsearch.html?query=H%C3%A1z&mode=normal&hwonly=true,SOURCE_ENTRY_NOT_FOUND,true
nl,Huis,NEEDS_SOURCE_REVIEW,,,https://woordenlijst.org/#/zoeken/Huis,SOURCE_ENTRY_NOT_FOUND,true
nb,Maya,PASS,,,https://ordbokene.no/nob/bm/maya,SOURCE_ENTRY_VALIDATED,false
nn,Maya,PASS,,,https://ordbokene.no/nob/nn/maya,SOURCE_ENTRY_VALIDATED,false
pl,Dom,NEEDS_SOURCE_REVIEW,,,,SOURCE_ENTRY_NOT_FOUND,true
pt,)saber,NEEDS_SOURCE_REVIEW,,,https://dicionario.acad-ciencias.pt/#/search/)saber,SOURCE_ENTRY_NOT_FOUND,true
ro,Casa,NEEDS_SOURCE_REVIEW,,,https://doom.lingv.ro/cautare?q=Casa,SOURCE_ENTRY_NOT_FOUND,true
sq,Për në shtëpi.,NEEDS_SOURCE_REVIEW,,,,SOURCE_ENTRY_NOT_FOUND,true
sk,Domov,FINDING,SEMANTIC_MISMATCH,dom,https://slovnik.juls.savba.sk/?w=dom&s=exact&k=Md03&cs=&d=kssj4&d=psp&d=ogs&d=sssj&d=orter&d=scs&d=sss&d=peciar&d=ssn&d=hssj&d=bernolak&d=noundb&d=orient&d=locutio&d=obce&d=priezviska&d=un&d=onom&d=pskfr&d=pskcs&d=psken#,SOURCE_ENTRY_VALIDATED,true
sl,hiša,PASS,,,https://fran.si/iskanje?View=1&Query=hi%C5%A1a,SOURCE_ENTRY_VALIDATED,false
sr,Куќа,NEEDS_SOURCE_REVIEW,,,,SOURCE_ENTRY_NOT_FOUND,true
fi,Maja,PASS,,,https://www.kielitoimistonsanakirja.fi/#/maja?source=suggestion&searchMode=all,SOURCE_ENTRY_VALIDATED,false
sv,Maja,NEEDS_SOURCE_REVIEW,,,https://svenska.se/saol/#/search/Maja,SOURCE_ENTRY_NOT_FOUND,true
tr,Ev,PASS,,,https://sozluk.gov.tr/gts?ara=Ev,SOURCE_ENTRY_VALIDATED,false
gr,Σπίτι,PASS,,,https://www.greek-language.gr/greekLang/modern_greek/tools/lexica/triantafyllides/search.html?lq=%CE%A3%CF%80%CE%AF%CF%84%CE%B9,SOURCE_ENTRY_VALIDATED,false
bg,Къща,NEEDS_SOURCE_REVIEW,,,https://beron.mon.bg/dictionary/search?q=%D0%9A%D1%8A%D1%89%D0%B0,SOURCE_ENTRY_NOT_FOUND,true
mk,Куќа,NEEDS_SOURCE_REVIEW,,,,SOURCE_ENTRY_NOT_FOUND,true
ru,Дом,PASS,,,https://orfo.ruslang.ru/search/word,SOURCE_ENTRY_VALIDATED,false
uk,будинок,NEEDS_SOURCE_REVIEW,,,https://lcorp.ulif.org.ua/dictua/#search=%D0%B1%D1%83%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA,SOURCE_ENTRY_NOT_FOUND,true
