sequence,language,key,lvSource,current,ownerStatus,newValue,reason
"1","lb","buttons.autoplayAriaOff","{label} (automātiski izslēgts)","{label} (automātiski izslēgts)","LABOT","{label} (automatesch ausgeschalt)","REAL_UNTRANSLATED"
"2","lb","buttons.autoplayAriaOn","{label} (automātiski ieslēgts)","{label} (automātiski ieslēgts)","LABOT","{label} (automatesch ageschalt)","REAL_UNTRANSLATED"
"3","lb","buttons.autoplayLabel","Automātiska izruna","Automātiska izruna","LABOT","Automatesch Aussprooch","REAL_UNTRANSLATED"
"4","lb","buttons.autoplayOff","Automātiska izruna izslēgta","Automātiska izruna izslēgta","LABOT","Automatesch Aussprooch ausgeschalt","REAL_UNTRANSLATED"
"5","lb","buttons.autoplayOn","Automātiska izruna ieslēgta","Automātiska izruna ieslēgta","LABOT","Automatesch Aussprooch ageschalt","REAL_UNTRANSLATED"
"6","lb","buttons.cancel","Atcelt","Atcelt","LABOT","Ofbriechen","REAL_UNTRANSLATED"
"7","lb","buttons.check","Pārbaudīt","Pārbaudīt","LABOT","Iwwerpréiwen","REAL_UNTRANSLATED"
"8","lb","buttons.chooseAnotherGroup","Izvēlēties citu grupu","Izvēlēties citu grupu","LABOT","Eng aner Grupp auswielen","REAL_UNTRANSLATED"
"9","lb","buttons.close","Aizvērt","Aizvērt","LABOT","Zoumaachen","REAL_UNTRANSLATED"
"10","lb","buttons.continue","Turpināt","Turpināt","LABOT","Weider","REAL_UNTRANSLATED"
"11","lb","buttons.delete","Dzēst","Dzēst","LABOT","Läschen","REAL_UNTRANSLATED"
"12","lb","buttons.disableAutoplay","Izslēgt automātisko izrunu","Izslēgt automātisko izrunu","LABOT","Automatesch Aussprooch ausschalten","REAL_UNTRANSLATED"
"13","lb","buttons.enableAutoplay","Ieslēgt automātisko izrunu","Ieslēgt automātisko izrunu","LABOT","Automatesch Aussprooch aschalten","REAL_UNTRANSLATED"
"14","lb","buttons.known","Zinu pareizi","Zinu pareizi","LABOT","Ech weess et","REAL_UNTRANSLATED"
"15","lb","buttons.knownWithCount","Zināmi ({count})","Zināmi ({count})","LABOT","Bekannt ({count})","REAL_UNTRANSLATED"
"16","lb","buttons.knownWords","Zināmi","Zināmi","LABOT","Bekannt","REAL_UNTRANSLATED"
"17","lb","buttons.listen","Klausīties","Klausīties","LABOT","Lauschteren","REAL_UNTRANSLATED"
"18","lb","buttons.listenPlural","Klausīties daudzskaitli","Klausīties daudzskaitli","LABOT","D'Méizuel lauschteren","REAL_UNTRANSLATED"
"19","lb","buttons.listenWithWord","Klausīties: {word}","Klausīties: {word}","LABOT","Lauschteren: {word}","REAL_UNTRANSLATED"
"20","lb","buttons.markMastered","100% zinu","100% zinu","LABOT","Ech kann et zu 100 %","REAL_UNTRANSLATED"
"21","lb","buttons.markSessionLearned","🏅 Atzīmēt sesiju kā iemācītu","🏅 Atzīmēt sesiju kā iemācītu","LABOT","🏅 Sessioun als geléiert markéieren","REAL_UNTRANSLATED"
"22","lb","buttons.markUnwanted","Atzīmēt kā nevajadzīgu","Atzīmēt kā nevajadzīgu","LABOT","Als net gebraucht markéieren","REAL_UNTRANSLATED"
"23","lb","buttons.masteredWords","100% zināmi","100% zināmi","LABOT","Zu 100 % bekannt","REAL_UNTRANSLATED"
"24","lb","buttons.monthlyReview","Mēneša pārskats","Mēneša pārskats","LABOT","Mountsiwwersiicht","REAL_UNTRANSLATED"
"25","lb","buttons.restartSession","🔄 Pārskatīt sesiju no jauna","🔄 Pārskatīt sesiju no jauna","LABOT","🔄 D'Sessioun nach eng Kéier iwwerpréiwen","REAL_UNTRANSLATED"
"26","lb","buttons.shuffleVerbs","Jaukt darbības vārdus","Jaukt darbības vārdus","LABOT","Verbe mëschen","REAL_UNTRANSLATED"
"27","lb","buttons.unknown","Nezinu","Nezinu","LABOT","Ech weess et net","REAL_UNTRANSLATED"
"28","lb","buttons.unwantedWords","Nevajadzīgie vārdi","Nevajadzīgie vārdi","LABOT","Net gebraucht Wierder","REAL_UNTRANSLATED"
"29","lb","buttons.weeklyReview","Nedēļas pārskats","Nedēļas pārskats","LABOT","Wocheniwwersiicht","REAL_UNTRANSLATED"
"30","lb","card.cardNotFound","Kartīte netika atrasta","Kartīte netika atrasta","LABOT","Kaart net fonnt","REAL_UNTRANSLATED"
"31","lb","card.lastSessionLabel","Pēdējā sesija","Pēdējā sesija","LABOT","Lescht Sessioun","REAL_UNTRANSLATED"
"32","lb","card.levelCompleteDesc","Tu esi apguvis visus šīs grupas vārdus. Laiks spert nākamo soli!","Tu esi apguvis visus šīs grupas vārdus. Laiks spert nākamo soli!","LABOT","Du hues all d'Wierder aus dëser Grupp geléiert. Zäit fir den nächste Schrëtt!","REAL_UNTRANSLATED"
"33","lb","card.levelCompleteTitle","Izcili! {label} līmenis ir pabeigts! 🎉","Izcili! {label} līmenis ir pabeigts! 🎉","LABOT","Exzellent! Niveau {label} ass ofgeschloss! 🎉","REAL_UNTRANSLATED"
"34","lb","card.noActiveWords","Šajā grupā nav aktīvu vārdu.","Šajā grupā nav aktīvu vārdu.","LABOT","Et gëtt keng aktiv Wierder an dëser Grupp.","REAL_UNTRANSLATED"
"35","lb","card.noCardsInSession","Šajā sesijā nav kartīšu.","Šajā sesijā nav kartīšu.","LABOT","Et gëtt keng Kaarten an dëser Sessioun.","REAL_UNTRANSLATED"
"36","lb","card.problemLabel","Problemātiskie","Problemātiskie","LABOT","Problemwierder","REAL_UNTRANSLATED"
"37","lb","card.spelling","Pareizrakstība","Pareizrakstība","LABOT","Rechtschreiwung","REAL_UNTRANSLATED"
"38","lb","card.spellingVerbs","Pareizrakstība · Darbības vārdi","Pareizrakstība · Darbības vārdi","LABOT","Rechtschreiwung · Verben","REAL_UNTRANSLATED"
"39","lb","card.verbsShuffleTraining","Darbības vārdi · Jaukts treniņš","Darbības vārdi · Jaukts treniņš","LABOT","Verben · Gemëschten Training","REAL_UNTRANSLATED"
"40","lb","extra.settings","Iestatījumi","Iestatījumi","LABOT","Astellungen","REAL_UNTRANSLATED"
"41","lb","extra.wordManagement","Vārdu pārvaldība","Vārdu pārvaldība","LABOT","Wierder verwalten","REAL_UNTRANSLATED"
"42","lb","groups.sentences","Teikumi","Teikumi","LABOT","Sätz","REAL_UNTRANSLATED"
"43","lb","hints.chooseModeOrReturn","Izvēlies citu režīmu vai atgriezies vēlāk pārskatīšanai.","Izvēlies citu režīmu vai atgriezies vēlāk pārskatīšanai.","LABOT","Wiel en anere Modus oder komm méi spéit fir d'Iwwerpréiwung zeréck.","REAL_UNTRANSLATED"
"44","lb","hints.chooseNextStep","Izvēlies, ko darīt tālāk.","Izvēlies, ko darīt tālāk.","LABOT","Wiel, wat s du als Nächst maache wëlls.","REAL_UNTRANSLATED"
"45","lb","hints.tapToReveal","Klikšķini uz kartītes, lai redzētu tulkojumu.","Klikšķini uz kartītes, lai redzētu tulkojumu.","LABOT","Klick op d'Kaart, fir d'Iwwersetzung ze gesinn.","REAL_UNTRANSLATED"
"46","lb","hints.trainingCard","{title} vingrinājuma kartīte","{title} vingrinājuma kartīte","LABOT","Übungskaart: {title}","REAL_UNTRANSLATED"
"47","lb","info.answersBody","<strong>Zinu pareizi</strong> — zini atbildi. <strong>Nezinu</strong> — palīdz atcerēties un pievieno problemātiskajiem. <strong>Nākamais vārds</strong> — izlaiž bez vērtējuma.","<strong>Zinu pareizi</strong> — zini atbildi. <strong>Nezinu</strong> — palīdz atcerēties un pievieno problemātiskajiem. <strong>Nākamais vārds</strong> — izlaiž bez vērtējuma.","LABOT","<strong>Ech weess et</strong> — du kenns d'Äntwert. <strong>Ech weess et net</strong> — hëlleft beim Erënneren a füügt d'Wuert bei d'Problemwierder derbäi. <strong>Nächst Wuert</strong> — iwwerspréngt ouni Bewäertung.","REAL_UNTRANSLATED"
"48","lb","info.directionBody","Nospied, lai pārslēgtu starp <strong>DE→{code}</strong> un <strong>{code}→DE</strong>.","Nospied, lai pārslēgtu starp <strong>DE→{code}</strong> un <strong>{code}→DE</strong>.","LABOT","Klick, fir tëscht <strong>DE→{code}</strong> an <strong>{code}→DE</strong> ze wiesselen.","REAL_UNTRANSLATED"
"49","lb","info.extraBody","Atver <strong>Papildu opcijas</strong>, lai skatītu nedēļas un mēneša pārskatu, Zināmos vārdus un atgrieztu paslēptos.","Atver <strong>Papildu opcijas</strong>, lai skatītu nedēļas un mēneša pārskatu, Zināmos vārdus un atgrieztu paslēptos.","LABOT","Maach <strong>Zousätzlech Optiounen</strong> op, fir d'Wochen- a Mountsiwwersiicht, déi bekannt Wierder an déi verstoppte Wierder ze gesinn.","REAL_UNTRANSLATED"
