id,language,key,lvSource,current,ownerStatus,newValue,crowdinLock,lockEnforced,crowdinProtection,reasonCategory,ownerReason,sourceManifestStatus,jsonUiMatch,currentEqualsLvSource
"1","lt","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"2","lt","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"3","lt","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"4","lt","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"5","lt","languageSelect.footer","Deutsch lernen","Deutsch lernen","LABOT","Mokykitės vokiečių kalbos","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"6","lt","languageSelect.title","Sprache wählen","Sprache wählen","LABOT","Pasirinkite kalbą","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"7","lt","splash.subtitle","Deutsch lernen","Deutsch lernen","LABOT","Mokykitės vokiečių kalbos","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"8","lt","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"9","lt","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","NELABOT_CANDIDATE","true","true"
"10","lt","verb.infinitiv","Infinitiv","Infinitiv","LABOT","Bendratis","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Mērķvalodā terminam ir sava lokalizēta forma; identiskā vācu forma nav OWNER lock.","NELABOT_CANDIDATE","true","true"
"11","ru","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"12","ru","direction.nativeToDe","🔄 {code} ➔ DE","🔄 {code} ➔ DE","NELABOT","🔄 {code} ➔ DE","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
"13","ru","kurss.lessonItems.19.menuDesc","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","NELABOT","Wechselpräpositionen: vor, hinter, unter, über, neben, zwischen.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"14","ru","kurss.lessonItems.21.menuDesc","woher / wohin / wo, von / aus / mit + Dativ.","woher / wohin / wo, von / aus / mit + Dativ.","NELABOT","woher / wohin / wo, von / aus / mit + Dativ.","YES","NO","PENDING_APPROVAL","GERMAN_PEDAGOGY","Virkne satur vācu valodas mācību terminus/piemērus; nav palicis tulkojams LV teksts.","NELABOT_CANDIDATE","true","true"
"15","ru","languageSelect.footer","Deutsch lernen","Deutsch lernen","LABOT","Учите немецкий","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"16","ru","languageSelect.title","Sprache wählen","Sprache wählen","LABOT","Выберите язык","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"17","ru","splash.subtitle","Deutsch lernen","Deutsch lernen","LABOT","Учите немецкий","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Neiztulkots vācu UI teksts; citās mērķvalodās šī atslēga ir lokalizēta.","NELABOT_CANDIDATE","true","true"
"18","ru","study.table.german","DE","DE","NELABOT","DE","YES","NO","PENDING_APPROVAL","DE_CODE","DE ir vācu valodas kolonnas kods.","NELABOT_CANDIDATE","true","true"
"19","ru","verb.hintSessionProgress","{label}: {current} / {total}. {tap}","{label}: {current} / {total}. {tap}","NELABOT","{label}: {current} / {total}. {tap}","YES","NO","PENDING_APPROVAL","PLACEHOLDER","Virkne sastāv tikai no placeholderiem un pieturzīmēm; lokalizētais teksts tiek ievietots caur placeholderiem.","NELABOT_CANDIDATE","true","true"
"20","ru","verb.infinitiv","Infinitiv","Infinitiv","LABOT","Инфинитив","NO","NO","NOT_APPLICABLE","REAL_UNTRANSLATED","Mērķvalodā terminam ir sava lokalizēta forma; identiskā vācu forma nav OWNER lock.","NELABOT_CANDIDATE","true","true"
"21","pl","direction.deToNative","🔄 DE ➔ {code}","🔄 DE ➔ {code}","NELABOT","🔄 DE ➔ {code}","YES","NO","PENDING_APPROVAL","DE_CODE","Tehnisks virziena indikators; DE kods un {code} placeholder ir apzināti vienādi.","NELABOT_CANDIDATE","true","true"
